01-201002-002057_bem_fb0_elicit_0  IFWE TWATAMPA UKUMUFWAYA PA KUMUBWEDESHA KUNO MUSHI
01-201002-002057_bem_fb0_elicit_13  KABILI BAYAMA NABO BALI BALEFWAYA UKUNSHIMIKILAKO NOMBA NA MWISHIBA ABAKALAMBA BALI BALEPITA MUMBALI NSHACUMFWISHA UMO BACILOSHE 
01-201002-002057_bem_fb0_elicit_14  NA INE NSHISHIBE IFYONINGACITA NA ULYA MUKASHANA NAMPULA MU MAAPA
01-201002-002057_bem_fb0_elicit_15  ROBIN ATI IWE WIYESHA KUYAMUMA PANTU ALI PA BUKULU KUTI WAYAMBULAKO ISHA PA KUBEYA 
01-201002-002057_bem_fb0_elicit_16  ULINGILE UKUMUFUNDA FYE PAKANWA NGA WAMONA CAKWANSHA WATALA WAMUTUMA KULI BANYINA KU LUSAKA
01-201002-002057_bem_fb0_elicit_17  PAUL NAO ASUMINISHA AMASHIWI YASOSA ROBIN ATI IYOO MUNE TE CAKWESHA UKUMUUMA KWENA
01-201002-002057_bem_fb0_elicit_18  JONI ATI CISUMA BANE NAYALANDA NANKWE PANONO NGA ATAMPA UKUCUSHA NISHI MAILO AKALONGA UKUYA KULI BANYINA KU LUSAKA
01-201002-002057_bem_fb0_elicit_19  JONI ALAYA ABABIYE ABWELELAMO KUMWAKWE ASANGA JANET NASENDAMA KWATI MULWELE JONI AMWIPUSHA ATI CINSHI USENDAMINE
01-201002-002057_bem_fb0_elicit_20  JANET NDEUMFWA IMPEPO NO MUTWE UBWAFITA NA FITITI
01-201002-002057_bem_fb0_elicit_21  JONI NGA FITAMPILE LILALI
01-201002-002057_bem_fb0_elicit_22  JANET KWENA NI KALE NOMBA NSHIPIKISHE FYE NATI PANTU ELYO UMUNANDI ABWELA KU CIPATALA TETI AMONE UKUIBOMBELA
01-201002-002057_bem_fb0_elicit_23  JONI AIKALA PA MUPANDO ATAMPA KWIPUSHA JANET ICALENGELE UKUTI AYE KU BIAOLO NELYO AMULESHA JANET TONDOLO
01-201002-002057_bem_fb0_elicit_24  JONI ULEMFINDA NO KUMFINDA UKAMONA NGA WAPOLA IFYO NKAKUCITA PAMO NA ULYA WINE KOLWE MUBEMBUSHANYA NANKWE
01-201002-002057_bem_fb0_elicit_25  ULUCELO JONI ASAMBA ALUNGAMA NA KU NCITO YAKWE JANET WENA TE WAKUBUKA NA PA BETI BUKOMENEMO NE SEMBE UKUCINI PAMWABO
01-201002-002057_bem_fb0_elicit_26  ILYO JANET AMONA UKUTI UMULUME AYA KU NCITO LYENA NA NGANDA YAYANGUKA 
01-201002-002057_bem_fb0_elicit_27  PAPITA FYE INSHITA INONO ABUUKA ALATONTONKANYA IFYAKUCITA 
01-201002-002057_bem_fb0_elicit_28  AMAFUNDISHO ALEUMFWA KULI BAKAPENTA AYA KUPATA ICUPO NO BUFYASHI YAISULA UMUTIMA PAA ALAFULUKA NEFYO ALEYANGALILA ILYO ASHALI ASHILAUPWA 
01-201002-002057_bem_fb0_elicit_29  ATONTONKANYA IFYO JONI AKAMUCITA PALI BUMPULAMAFUNDE BWAKWE APO PENE KWATI BUSHILU BWAMWIKATA APANGA UKUBUTUKA APO PENE
01-201002-002057_bem_fb0_elicit_30  UMWABELA ISHAMO UBU BUSHIKU JONI AKUPWIKE FYE PA KUYA KU NCITO ALABA NO KUSENDA INKOLOKO YAKWE IYO ASHITILE PALI E TWENTY THREE  TEN 
01-201002-002057_bem_fb0_elicit_31  KWENA UMUTIMA TAWAKALIPISHE ATILE NDEISAISANGA NGA NAINUKA UBUSHIKU BWA LELO NAKULAIPUSHA INKOLOKO  KU MUSUNGU WANDI NA BANANDI 
01-201002-002057_bem_fb0_elicit_32  KANSHI TATA INKOLOKO IYO UBO BWINE BUSHIKU ILELOLOMA PAPITILE INSHITANTALI PA KUILONDOLA NAKABILI
01-201002-002057_bem_fb0_elicit_33  JANET APO PENE ATENDEKA NO KULONGA UTUPE TWAKWE UMO ALI EKA MU NGANDA 
01-201002-002057_bem_fb0_elicit_34  ALONGA AMALAYA YAKWE YONSE MULI SUTIKESHI AKAKA NA MABULANGETI YABILI NA MASHITIBETI 
01-201002-002057_bem_fb0_elicit_35  KUTI ATI ALOLESHE MUMBALI AMONA INKOLOKO YAKWA JONI PA TEBULO 
01-201002-002057_bem_fb0_elicit_36  AIBULA AYALAULA ULUNKUMBWA BWAMWISHILA NAYO ALONGA NA MULI SUTIKESHI 
01-201002-002057_bem_fb0_elicit_37  NA TUMBI UTUPE TWAKWA JONI UTO ASHAKWATILE NA MULIMO ALONGALA KUMO
01-201002-002057_bem_fb0_elicit_38  KUTI CILYA ATI EMYE KATUNDU AUMFWA KUFINA E PA KUFUMINA PANSE KU KUFWAYA UTWAICE TUTATU TULETEYA BOOLA ATWITA PAMO TWAISA FYE ULUBILO
01-201002-002057_bem_fb0_elicit_39  ATWEBA ATI ALENI BATATA NJAFWENIKO UKUSENDA UTUPE UTU KU STESHENI YA BASI NDEYAMULIPILA
01-201002-002057_bem_fb0_elicit_40  TATIFINE NI SUTIKESHI NA MABULANGETI EPELA 
01-201002-002057_bem_fb0_elicit_41  ABAICE BASUMINA BASENA NA FYONSE BALAYA
01-201002-002057_bem_fb0_elicit_42  NE NDALAMA E TWENTY FOUR ISHO JONI ASUNGILE MU NGANDA JANET ABULAPO TENS ASENDA
01-201002-002057_bem_fb0_elicit_43  LILYA BAFIKA KU CITESHENI CA BASI BAMONA NA MOTOKA WINE UWA KUYA KU NDOLA ALI MUPEPI NO KWIMA 
01-201002-002057_bem_fb0_elicit_44  KONDALITA PA KUMONA KAPENTA WAWAMA FILYA AFUMA NA MULI MOTOKA ATI NI SHANI BASISITA MULEYA KWI
01-201002-002057_bem_fb0_elicit_45  JANET MUKWAI NDEYA KU NDOLA
01-201002-002057_bem_fb0_elicit_46  KONDAKITA APOKA IFIPE AFIBIKA PA MULU WA BASI 
01-201002-002057_bem_fb0_elicit_47  NAMUTEKENYA KUTI ALOLESHA UKULEFUMA JANET ALASWA KU MAFIGA YAKWE NOMBA ALOLEKESHA AMONA UKUTI ALI NE FUMO MU MUTIMA ATI NO KUTI 
01-201002-002057_bem_fb0_elicit_48  EYA MWANDI MAYO KANSHI ULI MUNTU WINEWINE TAULI KAPENTA
01-201002-002057_bem_fb0_elicit_49  JANET CILYA AIKALA PA CIPUNA NA BASI AIMA KONDAKITA AYAIMININA MUPEPI NA JANET 
