01-200922-000917_bem_d31_elicit_0  YESU WENE TANENWIKE NANGU ABANTU ABO ALEKUSHA BELEFILWA MU TUNTU UTWINGI
01-200922-000917_bem_d31_elicit_18  EICO KANSHI CIKANKALA NGANSHI UKUKWATA ICI CITABO PANTU KUTI CATWAFWA UKWISHIBA IFINTU IFINGI MU CIPINGO ELYO NOKUKULA KU MUPASHI
01-200922-000917_bem_d31_elicit_19  FWAYENI MU CHRISTIAN BOOKSHOP MU MUSUMBA WENU
01-200922-000917_bem_d31_elicit_20  MU CIPANDE CAKUBALILAPO TWALANDILE PABUNTE BWESU UBWE PUSUKILO 
01-200922-000917_bem_d31_elicit_21  NOKULANDA PAFYO UBUNTE BWEPUSUKILO BWINGAFWILISHA ABANTU ILYO BAUMFWA PAFYO YESU ACITA MU MYEO YESU NO MWALOLA UBUNTE BWEPUSUKILO
01-200922-000917_bem_d31_elicit_22  CIPANDE CA BUBILI TWALAKONKANYAPO NAKABILI UKULANDA PABUNTE BWE PUSUKILO 
01-200922-000917_bem_d31_elicit_23  CILA MWINA KRISTU ONSE ALIBA NO BUNTE BWAKUPUSUKA KWAKWE 
01-200922-000917_bem_d31_elicit_24  NGA CAKUTILA TAMWAKWATA UBUNTE BWE PUSUKILO LYENU KUTI TWATWISHIKA NGA CAKUTILA MWALIPUSUKA
01-200922-000917_bem_d31_elicit_25  LELO MULI CINO CIPANDE CABUBILI TWALALANDA PALI PAULO NGE CAKUMWENAKO CESU MU BUNTE BWE PUSUKILO LYESU 
01-200922-000917_bem_d31_elicit_26  LIMO LIMO CILATUSHUPA IFYO TWINGATENDEKA UKWEBA ABANTU PE PUSUKILO LYESU IFYO TWAPITAMO IFYO TWALECITA ILYO TUSHILAISHIBA YESU NGO MUPUSUSHI WESU
01-200922-000917_bem_d31_elicit_27  MU MILIMO YA BATUMWA CHAPTER TWENTY TWO NA CHAPTER TWENTY SIX KUTI TWASAMBILILAKO KULI PAULO IFYO APELE UBUNTE BWAKWE 
01-200922-000917_bem_d31_elicit_28  UBUNTE KUTI BWAAFWILISHA ABANTU UKUMFWA NANGU UKWISHIBA PAFYO WABA NOMO WAPITA PAFYO WALEBOMBA NEFYO WALI PALI IYO NSHITA 
01-200922-000917_bem_d31_elicit_29  UBUNTE BULABOMBA NOKWAFWILISHA APAKALAMBA MU NSHITA ISHAPUSANA PUSANA MUFIFULO NE NCENDE ISHA PUSANA
01-200922-000917_bem_d31_elicit_30  ILYO TULELANDA UBUNTE BWESU 
01-200922-000917_bem_d31_elicit_31  TULANDE MULULIMI ULO ABANTU TULELANDAKO BENGOMFWA
01-200922-000917_bem_d31_elicit_32  TULANDE NO MUCINSHI KULI BENA UKULANDA IFYO TWALI 
01-200922-000917_bem_d31_elicit_33  PAULO ALANDILE ATI INE NALI NGA IMWE BENE NEMILIMO ALEBOMBA
01-200922-000917_bem_d31_elicit_34  ALONDOLWELE NOKO AFUMA IFIKOLWE FYAKWE
01-200922-000917_bem_d31_elicit_35  KABILI PAULO ALONDOLWELE NEFYO AKUMENYE SHIKULU ILYO ALEYA KU DAMASEKE MUKUCUSHA ABENA KRISTU
01-200922-000917_bem_d31_elicit_36  ALANDILE NAPABA MWAFWILISHE KULI BASHIMAPEPO ABO APOKELEKO BAKALATA KABILI ALANDA NA PALI KASESEMA UWAMWAFWILISHEKO PAKUTENDEKA UKUMONA 
01-200922-000917_bem_d31_elicit_37  NANGU UKULOLESHA ICINTU ICIKALAMBA 
01-200922-000917_bem_d31_elicit_38  MUKUPEELA UBUNTE BWE PUSUKILO LYESU TULEFWAYA ABANTU BENGOMFWA IFYO TWALI 
01-200922-000917_bem_d31_elicit_39  IFYO TWAISHIBE YESU NEFYO ACITA MU MYEO YESU NEFYO ATULUBULAKO KUFYO TWAENDELEMO KALE ILYO TWALETEKWA MUBUTEKO BWAPALI LINO ISONDE
01-200922-000917_bem_d31_elicit_40  KABILI ILYO TULELANDA PA BUNTE BWESU TUFWILE TWALANDA NOKUTANTIKA BWINO NANGU UKWEBA ABANTU IFISHINKA BWINO 
01-200922-000917_bem_d31_elicit_41  NACIMBI TULEEBA ABANTU UKUTI BENGOMFWA IFYO LESA ABOMBA NOKUPILIBULA IMYEO YESU
01-200922-000917_bem_d31_elicit_42  NA PAULO WINE AAFWILISHE ABANTU PAKUMFWA UBUNTE BWAKWE NEFYO BAFWAILE UKUTI BA MUCITE PALI ILYA INE NSHITA CALIBAFWILE BATILE UYU MWINA MWESU
01-200922-000917_bem_d31_elicit_43  PAKUPOKELELA KRISTU KUFWILE KWABA BAMO ABAKUTULONDOLWELA PALWA KWA YESU PAKUTI TWINGESHIBA BWINO UKUPUSUKA KWESU 
01-200922-000917_bem_d31_elicit_44  LYENA KUTI TWAISHIBA NEFYO TWALI IFYO TWAPITAMO ICALENGELE UKUTI TUPOKELELE YESU
01-200922-000917_bem_d31_elicit_45  KABILI ILYO TULEPEELA UBUNTE TWIBUKISHE ICAKUMWENAKO KULI PAULO IFYO APELE UBUNTE BWAKWE PA MFUMU NAKWIBUMBA ILIKALAMBA MWIBUKU LYA MILIMO YA BATUMWA
01-200922-000917_bem_d31_elicit_46  ILYO TWASAMBILILA KULI PAULO KUTI CATWAFWA NAIFWE PAFYO TWINGALANDA PABUNTE BWESU KULI BONSE ABATWISHIKA PAKUPEELA UBUNTE 
01-200922-000917_bem_d31_elicit_47  ICI KUTI CATWAFWILISHAKO NOKUBA ABAILUKA UKUTILA CILA UMO TWALIKWATA UBUNTE NGATAMWISHIBE IPUSHENI KULI BAKALAMBA KUTI BAMWAFWILISHAKO
01-200922-000917_bem_d31_elicit_48  NATULANDE UBUNTE BWESU NOKWAFWA ABANENSU
01-200922-000917_bem_d31_elicit_49  MAGAZINE MUSUMA AKABILA IFIKOPE NEFILANGILILO IFISUMA
