01-201005-224141_bem_fb0_elicit_0  AMATUKUTO YA FYULA
01-201005-224141_bem_fb0_elicit_30  PA KUSOKOLA FILETI FYATOLOKELA IBAKA MU MULU ELYO FILEITIMBULA MU MENSHI FILI NA NTUMBWI NTUMBWI
01-201005-224141_bem_fb0_elicit_31  ILYO ISABI LYAMWENE BACULA BALETOLOKELA MU MULU LYATILE ALA BANE TWASHALA UKO CILI LELO KULI INSHIKU NKULU 
01-201005-224141_bem_fb0_elicit_32  NALYO LYAYAMBA UKUIPABULA PA MENSHI
01-201005-224141_bem_fb0_elicit_33  KUTI UMUTA CILYA WAIPABULA PA MENSHI NA PABU IFYULA FYAFULUMUKAKO ULUBILO 
01-201005-224141_bem_fb0_elicit_34  CILYA CIMO CATI AHA UYU NAO UMWENSO KUTI WATIINA KABILI NO MUNANI ULEFWAYA UKWIPAYA 
01-201005-224141_bem_fb0_elicit_35  CIMBI NACO CAYASUKA ACII MM BUSHE TAWAISHIBA UKUTI KWABA LIMO ILIKALI NGANSHI ILYAKUTI NGA WATWALAKO AMASANGE KUTI LYAKUMINA 
01-201005-224141_bem_fb0_elicit_36  NOMBA FYAWA FYE KU NSEKO NA HEHE HEHE HEHE HEHE 
01-201005-224141_bem_fb0_elicit_37  ICIKALAMBA CALIPO CAKALIPA NGANSHI ACITI MWE BANA KANSHI MWALITUMPA BUSHE KUTI MULEBAMBA UMUNANI KABILI MWABIKAPO NE FIMASEKO MWA 
01-201005-224141_bem_fb0_elicit_38  MWATUMPA NGANSHI ALENI TUBOMBE UMULIMO TUMONE UMUTONKOLO 
01-201005-224141_bem_fb0_elicit_39  KABILI FYABIKAPO UKUTOLOKELA MU MULU NA TUBWA TUBWA TUBWA
01-201005-224141_bem_fb0_elicit_40  KUTI CILYA FYAFIKA KU MASUMBU YAFIKO FYAMONA TAMWIKETWE ISABI NELYO LIMO
01-201005-224141_bem_fb0_elicit_41  FYAIKALA FYE SHILILI
01-201005-224141_bem_fb0_elicit_42  ICALIPO CIMBI ICIKALAMBA CASOSA ACITI OH NAISHIBA UMULANDU ISABI LISHIKATILWE LELO MU MASUMBU YESU 
01-201005-224141_bem_fb0_elicit_43  LELO TE BUSHIKU BWA KUSOKALA ISABI KULEKA FYE AMASUMBU MU MUMANA ISABI LILEIKARILWA FYE ILINE LYEKA 
01-201005-224141_bem_fb0_elicit_44  BUSHE TAMWACIMONA KU BALONDO ILYO BESHILE TABALI TABASOKWELE BASANGILE ILINE NALIIKATILWA
01-201005-224141_bem_fb0_elicit_45  FYONSE FYASUMINA AFITI EYA MWANDI ALA IWE SHILUWO ECO WABELA NA MANO WABA NA MANO NGE NKONSHI IYAKWATA IFINSENDA MU MUTWE IFIYEBA AMANO
01-201005-224141_bem_fb0_elicit_46  FYONSE FYATASHA SHILUWA PA MANO YAKWE
01-201005-224141_bem_fb0_elicit_47  FYALOLELA KASUBA KONSE TETI FIMONE ISABI LIKATWEMO NAKALYA FYE 
01-201005-224141_bem_fb0_elicit_48  KABILI CIMBI CASOSA ACITI ALA ISABI LIKATWA ILINE LYEKA UBUSHIKU TE KASUBA IYO 
01-201005-224141_bem_fb0_elicit_49  LILYA MWALI MUMWENE ABALONDO BEPEYE LYALI LIKETWE UBUSHIKU TE MUNO KASUBA IYO
01-201005-224141_bem_fb0_elicit_50  KABILI FYONSE AFITI EYA MWANDI NA IWE KWAKWEKWI NIWE MWALINGANA NA SHILUWO AMANO 
01-201005-224141_bem_fb0_elicit_51  AWE FYAYA NA KU KULALA
01-201005-224141_bem_fb0_elicit_52  KUTI KU MALIKI NAFIMA AFITI TWIKATE ISABI MU MASUMBU FYASANGA AMASUMBU YALEFILOLESHA FYE 
01-201005-224141_bem_fb0_elicit_53  NOMBA IFYAKUSOSA FYABULA FYALALOLESHANYA FYE NO WAKUTI APOSEPO ABULA NA BAMANO BENE BASOSELE MAILO NABO AMANO YAPWILA APO PENE
01-201005-224141_bem_fb0_elicit_54  ICISHELE NOMBA FYONSE KUFUMAPO FYE ICIPYU FYASALANGANINA NA MU NIKA
01-201005-224141_bem_fb0_elicit_55  PAPITA FYE INSHIKU ISHA CIPEPELELA APO IFYULA FYASALANGANINE ICIPYU PA KUKAANAIPAYA ISABI MU MASUMBU 
01-201005-224141_bem_fb0_elicit_56  CIMO CATONTONKANYA ACITI KANJEMONA KULYA KUNTU TWASHILE AMASUMBU YESU NALIMO KUTI NOMBA ISABI LYALIKATWA 
01-201005-224141_bem_fb0_elicit_57  EKO CALAYA  KUTI CATI CILOLESHE CAMONA AMASUMBU TAPALI 
01-201005-224141_bem_fb0_elicit_58  LELO PESWILE FYE TUTOMBOLILO UTWINGI TUFITILEPO NA FITITI 
01-201005-224141_bem_fb0_elicit_59  CASUNGUKA SANA 
