03-200925-050356_bem_798_elicit_0  BUSHE IMWE NINSHI TAMWALWISHISHE UKUTI BAMUCINJE UKUYA KU MUSUMBA UKALAMBA
03-200925-050356_bem_798_elicit_40  BUSHE CILEPILIBULA UKUTILA ICILONGANINO ICIKALAMBA KABILI ICISUMA CILYA MULONGANINAMO SHINO NSHIKU CAKUULILWE NA BENA KRISTU ABENE
03-200925-050356_bem_798_elicit_41  EE CONSEFYE BENA KRISTU BA MU CHOZI
03-200925-050356_bem_798_elicit_42  BUSHE KULI IFINTU FIMO IFYO MUMWENE IFIFWILE FYABOMBELWA MU NSHILA IMBI ILYO MULESHIMPA ICILONGANINO CIMBI
03-200925-050356_bem_798_elicit_43  KUTI NABOMBELA MU NSHILA IMBI LELO IFINGI TWAIBOMBELE FYE FWE BENE 
03-200925-050356_bem_798_elicit_44  PALI INO INSHITA EKO FILI IFILONGANINO NO TUBUNGWE TWA BENA KRISTU UTWAFWILISHA IFYO TWINGATEMWA UKUBOMFYA
03-200925-050356_bem_798_elicit_45  ICO TAKWALI NA BABOMFI BA NSHITA SHONSE ABA CILONGANINO UBUYANTANSHI BWALESHINGASHINGA PANTU TWALEBOMBA FYE ILYO TWAKWATA INSHITA YESU
03-200925-050356_bem_798_elicit_46  NDEMONA AKUBA UKUBOMBELA PAMO NA BENA KRISTU BONSE ICILONGANINO NGA CALIKUULILE MU FYAKWA LESA
03-200925-050356_bem_798_elicit_47  BUSHE ULUPWA LWENU LWACILOSESHE MWISA PAKUMONA UKUTI MWAITUMPA MU KUSHIMPA ICILONGANINO
03-200925-050356_bem_798_elicit_48  IFYO NATEMWA LESA EFYALENGA UKUTI MBE UMUFYASHI KABILI UMULUME UWATEMWIKWA 
03-200925-050356_bem_798_elicit_49  NO LUPWA LONSE LULATOTELA 
03-200925-050356_bem_798_elicit_50  NOMBA ABANA NO MWINA MWANDI LIMO LIMO BALAILISHANYA UKUTI NSHIFWAYA UKUNSESHA UKUYA KU FIFULO IFISUMA
03-200925-050356_bem_798_elicit_51  PAMULANDU WAKUTEMWA ICILONGANINO ECALENGA UKUTI NINGABA KULYA 
03-200925-050356_bem_798_elicit_52  PA NSHITA IMO NALYESESHE LELO TAFYABOMBELE ICAKUTI ABAKALAMBA BA NCITO BASESESHEMOFYE BAMBI 
