01-200917-185936_bem_d31_elicit_0  SENDAMENIPO
01-200917-185936_bem_d31_elicit_19  UMWINE ASAMBILISHE NTUNGULUSHI SHANTANSHI NO KUPELA MUPASHI WA MUSHILO PAMO NE FYABUPE FYA MUPASHI KULI CILA MWINA KRISTU 
01-200917-185936_bem_d31_elicit_20  ALIPEKANYA FYONSE IFYAKULENGA NABWINGA AKAFIKE UMUTENDE KULI BULYA BUSHIKU UBWABUSEKO ILYO AKESAMUSENDA PAKUTI AKABE NAO PE NA PE 
01-200917-185936_bem_d31_elicit_21  CACINE ALITEMWE CILONGANINO
01-200917-185936_bem_d31_elicit_22  NAIFWE BENE ABASHIMPA IFILONGANINO BACILOLO BAKAPYUNGA INTUNGULUSHI SHA MISEPELA INTUNGULUSHI SHA BANAMAYO NA BONSE ABAMONE FINTU PANO ISONDE MULI BU LESA TWALICITEMWA 
01-200917-185936_bem_d31_elicit_23  ILI BUMBA LYA BANTU ABAPALANA MU MATONTONKANYO NO KWIKATANA MU MWEO UNTU LESA ABAPELA NO KUKAKANA PAMO UKUPITILA MU CIBWESHA PAMO NO BUYO LYACINGILILWA KULI KASEBANYA UKUPITILA MWI SENGE 
01-200917-185936_bem_d31_elicit_24  KUTI CATUWAMINA UKUBIKA MANO KULI UKU KUPEKANYA UKWA KU MULU 
01-200917-185936_bem_d31_elicit_25  SHIKULU YESU ALEFWAYA UKUTUBOMFYA MU MULIMO WA KUKULE CILONGANINO CAKWE
01-200917-185936_bem_d31_elicit_26  ULI NO KUBELENGA NA FIMBI PAMULANDU WA KUBOMBA KWA UYU MAGAZINI PAMPELA YAUKO 
01-200917-185936_bem_d31_elicit_27  LELO PAKUBALA MWAISENI KWITEBULO ILYO TULELILA PAMO ICAKULYA ICISUMA ICO ABABWANANYINA BAMO BATUPEKANISHE PA MABULA FOUR VERSE FIFTEEN 
01-200917-185936_bem_d31_elicit_28  PANUMA YA AYA MABULA ELYO TWALAKONKA ICALEMBWA UKUTI UKUPITILA MU CIPINGO UKULOLA KU MIKALILE YA LELO 
01-200917-185936_bem_d31_elicit_29  UKUBELENGA UBUPILIBULO BWA LUPAPULO LWA CILONGONINO CA CMML NO KUMONA PAMULANDU WA BUKWEBO BWAKWA MUNYINA UMO NO KUTONTOKANYA PAFYO IMIPEPELE IPYA KABILI YAIBELA ILECITA MU MYEO YA MISEPELA 
01-200917-185936_bem_d31_elicit_30  PAMO NO KUBELENGA ILYASHI 
01-200917-185936_bem_d31_elicit_31  KABILI TWIBUKISHE UKUTI AMANO YAFWAIKWA UKUYABOMFYA NATULEYA TUFIKILISHE ICINTU LESA ATWITILA
01-200917-185936_bem_d31_elicit_32  ISHIWI LYA KUSONTWA LYALOLA MU KUSALA NO KULUMBULESHINA LYA MUNTU UULI NO KUBOMBA UMULIMO UMO 
01-200917-185936_bem_d31_elicit_33  ELYO ICIFULO CA BUFUMU CISONTA KU MUNTU UWAPELWA AMAKA NELYO INSAMBU SHAKUTEKE CALO NELYO MUTUNDU
01-200917-185936_bem_d31_elicit_34  MU CALO ABANTU BABIKA UMUNTU PA BUMFUMU MU MUSANGO WA KUSALA 
01-200917-185936_bem_d31_elicit_35  LELO KULI LESA TE IFYO
01-200917-185936_bem_d31_elicit_36  ENA ABOMFYA INSHILA ISHAPUSANA PUSANA PAKUBIKA UMUNTU PA BUMFUMU
01-200917-185936_bem_d31_elicit_37  PAMO NGE NSHITA LESA ALESONTA SHAULI UKUBA IMFUMU PA MUTUNDU WAKWA ISRAELE ASOKOLWELELE KASESEMA
01-200917-185936_bem_d31_elicit_38  KABILI ILINTU LESA AFWAILE IMPYANI YAKWA SHAULI AEBELE SAMWELE UMUBOMFI WAKWE UKUYA KU BETELEHEMU NO KUMULONDOLWELA IFYO ALI NO KWENDA
01-200917-185936_bem_d31_elicit_39  MU KUSONTA KWA BABOMFI LESA TABOMBA NGA BANTU ABALOLESHA KU MIMONEKELE CUMA NELYO AMASAMBILILO YA MUNTU
01-200917-185936_bem_d31_elicit_40  LELO ENA ALOLESHA KU MUTIMA WA MUNTU
01-200917-185936_bem_d31_elicit_41  UKUTEKA KWAKWA SHAULI KWALI NGE FI 
01-200917-185936_bem_d31_elicit_42  KWALI UKULWA UKWAKOSA KU BAPELISHITI INSHIKU SHONSE SHAKWA SHAULI EICO ALETI AMONO MUNTU IMPALUME ATEMWA ONSE UWABULAMBA AMULUNDA KU BALI NANKWE
01-200917-185936_bem_d31_elicit_43  ILEMBO LILETWEBO KUTI SHAULI PAKUSALA IFITA FYAKWE ALELOLESHA PALI BUMPALUME PAMO NO BULAMBA BWA MUNTU 
01-200917-185936_bem_d31_elicit_44  TALETONTONKANYA NELYO PANONO PA MUTIMA WA MUNTU NELYO IFYO UMUNTU ABA NA LESA 
01-200917-185936_bem_d31_elicit_45  UYU MUSANGO TAWALI MU BUFWAYO BWAKWA LESA
01-200917-185936_bem_d31_elicit_46  NA KUCILA SHAULI TAKWETE CUMFWILA KULI SHIKULU WA MAKA YONSE
01-200917-185936_bem_d31_elicit_47  KUTI TWASHININKISHA IFI UKUPITILA UMU
01-200917-185936_bem_d31_elicit_48  TABOMBELE KU KUFIKILISHA UBUSESEMO BWAKONAULA BENA AMALEKE PAMULANDU WA BUNKALWE BWABO PA BENA ISRAELE
01-200917-185936_bem_d31_elicit_49  ANAKILE LESA ILYO AFILILWE UKONAULA IMFUMU AGAG PAMO NE FIKWATWA IFYAPALA IFITEKWA
