12-201010-081738_bem_526_elicit_0  IMILANDU IFYO YALUBULWILWE
12-201010-081738_bem_526_elicit_28  NAUMFWA IMFUMU YATALA YATALALA FYE TONDOLO ELYO PANUMA YA KASHITA KANONO YASOSA AITI UYU MUNTU ALINGILE UKUKUPELA IFYAKUFWALA FIMBI 
12-201010-081738_bem_526_elicit_29  NELYO INDALAMA ISHILINGENE NO MUTENGO WA FYAKUFWALA FILYA AONAWILE 
12-201010-081738_bem_526_elicit_30  UMUNTU NAO ATI MUKWAI KWENA NINSHI LEKENI NDELIPILA FYE INGOMBE PANTU INDALAMA SHINGALINGANA NE FYAKUFWALA TETI NSHIMONE 
12-201010-081738_bem_526_elicit_31  NAUMFWA BANJIPUSHA ABATI BUSHE WASUMINA IFYO UYU MUNTU ASOSA
12-201010-081738_bem_526_elicit_32  NA INE NJEBELE EE MUKWAI 
12-201010-081738_bem_526_elicit_33  NAUMFWA KABILI ABATI KANSHI KABIYE KU NGANDA UYU MUNTU ALELETE NGOMBE KU NGANDA KUMOBE NGA TALETELE WISE UTWEBE 
12-201010-081738_bem_526_elicit_34  NAILE NO MUTIMA UWASEKELA NGANSHI PA KUMONA UKUTI NAPELWA INGOMBE APABULA NANGU KAMO 
12-201010-081738_bem_526_elicit_35  KUTI UKUYASHIMIKILA UMUNANDI NAO ATI AWE MUNE CAWAMA NOMBA FILYA FYAKUFWALA AITILEKO UBWALWA WISE UMUPELE PAKUTI ELAISOSHA 
12-201010-081738_bem_526_elicit_36  KUTI CILYA TWAPWA FYE UKULANDA TWAMONA NO KUFIKA AFIKA ALECEMA NE NGOMBE 
12-201010-081738_bem_526_elicit_37  NACINE NAUMFWILE ULUSE NGANSHI NAMUPELA NE FYAKUFWALA FILYA FYAITIKILEKO UBWALWA 
12-201010-081738_bem_526_elicit_38  ATI AKANE LELO TWAMUPATIKISHA ASUKA APOKA 
12-201010-081738_bem_526_elicit_39  ASOSA NO KUSOSA ATI KULILA NGA IMFUMU YALANCUSHA MUKALONDOLOLE MWATI NIFWE TWAMUPATIKISHE UMWINE ALIKENE 
12-201010-081738_bem_526_elicit_40  ULYA MUNTU ABWELELAMO NA KU NG'ANDA KUMWAKWE 
12-201010-081738_bem_526_elicit_41  ICO AKASUBA KABA MU PEPI NO KUWA UKWAKUTI KULALE ING'OMBE KWABULA
