03-200921-214144_bem_798_elicit_0  UKUSEMBULULWA NANGU UKUPUTULWA KWA BANAKASHI
03-200921-214144_bem_798_elicit_18  ONE EIGHT ZERO ZERO RESPECT KABUNGWE KAMU CALO CA AUSTRALIA AKABOMBELA MUKUPANDA AMANO MU MILANDU YA KULUNGANA NABANTU KU MAKA ELYO NO BUNKALWE NO MUTITIKISHA MU MAYANDA 
03-200921-214144_bem_798_elicit_19  AKA KABUNGWE KALAPELAKO ILYASHI LYA BUMPANDA MANO ILYA LUTU KABILI ILYA NKAMA PALI LAMYA ELYO NAPA INTANETI 
03-200921-214144_bem_798_elicit_20  BA MPANDAMANO BAKOMFWA KULI FINTU MULELANDA UKWASUKA AMEPUSHO YENU ELYO NOKUMITUMA KUMBI UKO MWINGASANGA UBWAFWILISHO MU NCENDE YENU
03-200921-214144_bem_798_elicit_21  NGACAKUTI IMWE NANGU UMUNTU UMBI UNTU MWAISHIBA ALISENDWAKO KUNSE YA CALO PAKUTI BAYEMUSEMBULULA 
03-200921-214144_bem_798_elicit_22  NANGU LIMBI MULETONTONKANYA UKUTI UYO MUNTU KUTI ABA MUBWAFYA BWA KUSENDWA KUNSE YA CALO PAKUTI BAYE MUSEMBULULA 
03-200921-214144_bem_798_elicit_23  TUMENI LAMYA PA NAMBALA IISHISALWA UBUSHIKU NAKASUBA IYA BWAFWILISHO BWAMUKAMPAMPA PA ONE THREE ZERO ZERO FIVE FIVE FIVE ONE THREE FIVE NGA MWIKALA MU AUSTRALIA
03-200921-214144_bem_798_elicit_24  NANGU PA PLUS SIX TWO SIX TWO SIX ONE THREE THREE ZERO FOUR KU BALI KUFYALO FIMBI
03-200921-214144_bem_798_elicit_25  NANGU LANSHANYENI NE OFESHI LYA CALO CA AUSTRALIA ILILI MUPEPI NAIMWE PA DFATGOVAU
03-200921-214144_bem_798_elicit_26  BUSHE MULEKABILA UWAKUMIPILIBWILAKO ICITUNDU
03-200921-214144_bem_798_elicit_27  TUMINENI AKABUNGWE KA KUPILIBULA NO KWALULA IFITUNDU PA ONE THREE ONE FOUR FIVE ZERO 
03-200921-214144_bem_798_elicit_28  BAKAPILIBULA WA FITUNDU UKUFUMA KU TIS KUTI BAMYAFWILISHAKO UKUPILIBULA IFITUNDU LELO TEKUTI BABOMBELE KULI BUMPANDA MANO 
03-200921-214144_bem_798_elicit_29  UKUTUMA KWA LAMYA KONSE KWA LUTU KABILI UKWA NKAMA
