01-201004-205737_bem_fb0_elicit_0  ELYO MFUBU ATENDEKA UKUKULA IFIBULA KUTI NGA NALULIKA PA MUKU UMO KWATI NI KANKUNGWE ALEFUMAKE
01-201004-205737_bem_fb0_elicit_48  AWE MWENA BAUMFWA NO BUTANSHI BWA MULILO BWATALALAKO KU MENSHI YATALALA
01-201004-205737_bem_fb0_elicit_49  NINSHI INKANDA NAIFOPOKA 
01-201004-205737_bem_fb0_elicit_50  NOMBA TABAFUMINE MU MENSHI UMO MPAKA EMO BAPOLECLA NA MASAKO E MIPWILE PA MUBILI INKANDA YABA FYE IYABUTULUKA NGA FILYA FINE IMONEKA NA NOMBA
01-201004-205737_bem_fb0_elicit_51  ILYO BAPOLELE BATI NO KUTI NOMBA ABANTU BANYA TUKAMONA UKO BAKALOLA 
01-201004-205737_bem_fb0_elicit_52  KANSHI CINECINE ABANTU BACABE 
01-201004-205737_bem_fb0_elicit_53  WE MWANA IFYO NAMWAFWILE ULYA MUNTUNSE E WANCITA UMUSANGO UNO
01-201004-205737_bem_fb0_elicit_54  APO PENE E PAFUMA NO BUKALI BWA MFUBU KU BANTU NO KULALYA IFYAKULYA MU MABALA YABO PANTU ILANDULA PA MILIMO ILYA YABOMBELE UMUNTUNSE 
01-201004-205737_bem_fb0_elicit_55  LELO ILYA FYE IFYAKULYA MUPEPI NO MUMANA TAIYA MU KULYA IFYAKULYA IFYABELA MU MPANGA UMUTALI PANTU ITIINA UMULILO UKUTI NAKABILI UKAYOCA 
01-201004-205737_bem_fb0_elicit_56  E CILYA MUMONA NGA MWASENDAMINA MU LULAMBA LWA MUMANA NAMUKOSHA NO MULILO IMFUBU ISA NAIFUBATA AMENSHI NO KWISAPAALA PA MULILO 
01-201004-205737_bem_fb0_elicit_57  UMULILO NGA WASHIMA ELYO YALATAMFYA ABANTU APA E PAFUMINE UBUKALI BWAIKO
01-201004-205737_bem_fb0_elicit_58  E FYABA NA BANTU BAMO KUTI UMUNABO ALEBABOMBELA BWINO BENA E PA KUMUCITA IFYABIPA
01-201004-205737_bem_fb0_elicit_59  PALI KANTUNSE KAPELA
