01-201006-090721_bem_fb0_elicit_0  ABO BAKONA AMALA
01-201006-090721_bem_fb0_elicit_35  ELYO BAPINGUSHANYA ABATI PA KUSHININKISHA UKUMONA IFI FINTU FILELISHA INOMA 
01-201006-090721_bem_fb0_elicit_36  MAILO NGA TWAYA MU MPANGA TUKASHE ABANENSU BAMO NABAFISAMA KU MULU WA MITI NA KU MITABA MUNO MUSHI 
01-201006-090721_bem_fb0_elicit_37  EBO BAKASHALE BAMONA IFI FINTU FYATUPESHA AMANO
01-201006-090721_bem_fb0_elicit_38  BONSE BASUMINISHANYA 
01-201006-090721_bem_fb0_elicit_39  NAKAENDI ILYO BWACELE ULUCELO BABTULA ABANABO BAMO BABAFISA KU MULU WA FIMUTI BAYA NA KU MILIMO
01-201006-090721_bem_fb0_elicit_40  BAKAPANGA BASHUMFWA UKUTI MU MUSHI MWATALALA BAISAFUMA MU MAYANDA NA BANABO BALETATANYA NE NOMA 
01-201006-090721_bem_fb0_elicit_41  ABANTU KU MITI BALETI FYE MWANDI TULEMONA LELO IFILECITA BAKAPANGA
01-201006-090721_bem_fb0_elicit_42  BAKAPANGA BAKANGA NE NOMA ABENE BALISHA BATENSHAPO 
01-201006-090721_bem_fb0_elicit_43  BAMBI BATANTAMA NO MULENGO BATAMPAKO NO LWIMBO
01-201006-090721_bem_fb0_elicit_44  MWINE MUSHI TALIPO
01-201006-090721_bem_fb0_elicit_45  PA LUBELEBELE PA LUNCECESA 
01-201006-090721_bem_fb0_elicit_46  FWEBO BAKONA AMALA
01-201006-090721_bem_fb0_elicit_47  PA LUBELEBELE PA LUNCECESA
01-201006-090721_bem_fb0_elicit_48  KUTI NGA KAPANGA ACECEFUKA ACECEFUKA ASERNPWILA UMUBIYE NE FIPAPA BAMUTUMBULA FICENAMINE NA KUNSE
01-201006-090721_bem_fb0_elicit_49  ABANININE KU MITABA BAISAPUKA NA MU NSEKO 
01-201006-090721_bem_fb0_elicit_50  BAKAPANGA WA KANTU KULUBA NEFYO BASENDELE INOMA NO KUYANIKA NABAYAYANIKA NA PA NJINO NGA MAILO
01-201006-090721_bem_fb0_elicit_51  ABAFISEME BONSE BASOKOLOKA ELYO BALASOSHANYA ABATI 
01-201006-090721_bem_fb0_elicit_52  BANE UYU WENA MUPAMBA LELO TWABALA ATUMONA UKO BAKAPANGA ABAFWA ABO BAYANIKA EBO BALECINDA ICLILA AWE MWANDI TWATOOLA UWA MBALA
01-201006-090721_bem_fb0_elicit_53  ILYO ABANABO BONSE BABWELA MU MUSHI BABASHIMIKILA UMULANDU AWE BONSE BALAPAPA FYE BABUULA NA BAKAPANGA BONSE BAYABAPOOSA NA PA NIKA 
01-201006-090721_bem_fb0_elicit_54  ULUCELO BAYA NA KU KUSOKOLA UMUSHI UMBI ABATI PANTU APA PANTU PABA IFIWA IFYAIMINA MULI BAKAPANGA 
01-201006-090721_bem_fb0_elicit_55  PALI KASHIMI KAPELA
