05-200917-105852_bem_a40_elicit_0  PATILE AKANTU  
05-200917-105852_bem_a40_elicit_26  ATI KANABESA NEBO NSHILI MU WELE WELE  ATI AKO USULILE EKOPA NOKO 
05-200917-105852_bem_a40_elicit_27  AWE IFYO FINE IMFUMU ILYA KWISA UMFWA ICIFUKUSHI ATI KALETENI UBWALWA 
05-200917-105852_bem_a40_elicit_28  BATWALA NO BWALWA MU NSAKA NA MENSHI BABIKAMO
05-200917-105852_bem_a40_elicit_29  KA KALULU KEBELE AWE TEFYO NEBO NINGA TAMPA UBWALWA INO NSHITA NKESA MAILO
05-200917-105852_bem_a40_elicit_30  KA KALULU EFYO KABWELELEMO 
05-200917-105852_bem_a40_elicit_31  NOMBA KAYA PITA MULI TU KALULU TUNANKWE TONSE TU KALULU 
05-200917-105852_bem_a40_elicit_33  BANE NEBO NA BANTEBETA NA BANTEBETA AMATEBETO KU MFUMU  
05-200917-105852_bem_a40_elicit_34  NOMBA PAKUYA TUKALAYA UNGA UNGA UMO UMO PAKUTILA TUKAPWISHE INSUPA YA BWALWA KWENA NINJI MONA IKULU
05-200917-105852_bem_a40_elicit_35  AKA KALULU KALI PEKENYE ABANANKWE TWENTY BA KALULU  
05-200917-105852_bem_a40_elicit_37  ODINI KANABESA NAKONKA UBUPANGANO TWA PANGENE 
05-200917-105852_bem_a40_elicit_38  NDEFWAYA MPWILIKISHE BWANGU BWANGU UBWALWA NKWATE UMUKASHI
05-200917-105852_bem_a40_elicit_39  IMFUMU YAKALOLEKESHA KAPASO LETA UBWALWA
05-200917-105852_bem_a40_elicit_40  ATWALA NO BWALWA BULYA BAKUNKA NO MULILO  
05-200917-105852_bem_a40_elicit_41  FESHITI AMENSHIFYE AYA KUSALULA BA KABIKILAPO BWAFUTUMA NO BWALWA 
05-200917-105852_bem_a40_elicit_42  KUTI UKULASAPO BENDE KA KUNTAPO KA KUNTAPO 
05-200917-105852_bem_a40_elicit_43  ATI AWE KWENA UBWALWA BONSE BALANWA MUKWAI TEMISULA KUTALA WAYAPOSAKO AMENSHI
05-200917-105852_bem_a40_elicit_44  ELYO KAILE MUKUPOSA AMENSHI UKUYAFIKA KULYA ATI OOHO MWANA NOBE KABIYEKO  
05-200917-105852_bem_a40_elicit_45  NI FULATI KENA KALYA TAKABWEKELEKO NALIBILI AWE NAKA KOLWA 
05-200917-105852_bem_a40_elicit_47  ALALE KAINGILA MU CIPANGO TAKULI NO KUTOTA
05-200917-105852_bem_a40_elicit_48  IMFUMU YEBELE AAHA KAKOLWA AKA  KANSHI IYOO NIKA 'OLIJINO'
05-200917-105852_bem_a40_elicit_49  KUTI UKWISA LASAPO BENDE KA KUNTAMO KA KUNTAMO KA KUNTAMO KABWEKELAMO  
05-200917-105852_bem_a40_elicit_50  YAA  MUKWAI NABALA NAYA POSAKO AMENSHI KUNSE UKU UBWALWA NABO UBU UUNHU
05-200917-105852_bem_a40_elicit_51  KUYA FIKA KULYA KABULA OOHO MWANA KABIYE  KALYA KAKOLWA  
05-200917-105852_bem_a40_elicit_52  TU KALULU TONSE TWENTY TWANWA UBWALWA NA MASHI YASHALA 
05-200917-105852_bem_a40_elicit_53  NOMBA UMWINE ABALILEPO NOKU KOLOLOKA 
05-200917-105852_bem_a40_elicit_54  NA KOLOLOKA KWISA ATI NOMBA KU MFUMU 
05-200917-105852_bem_a40_elicit_55  KANABESA NDEFWAYA NA BUMBI UBWALWA 
05-200917-105852_bem_a40_elicit_56  UBWALWA BWACEPA EBWALWA MWINGA MPELA UBU INSUPA YA CEPA 
05-200917-105852_bem_a40_elicit_57  KAPASO BALA LOLESHAMO MULYA MUNTU
05-200917-105852_bem_a40_elicit_58  KUSANGAFYE MASHI YEKA YEKA  
05-200917-105852_bem_a40_elicit_59  EFYO ABULILE NO MUKASHANA 
05-200917-105852_bem_a40_elicit_60  NO KUPELA KA KALULU NO KUKUTA ABANTU ATI LELO UMWANA WA MFUMU AUPWA
