03-200923-215451_bem_798_elicit_0  FULWE ALEENDAFYE PANONO PANONO
03-200923-215451_bem_798_elicit_19  ELYO NGA CABEFYO MWIBUKISHE UKUTI NA UMBI UMWINA KRISTU NGA IMWE ALEKABILA UKUKOSELESHIWA KUMO KWINE 
03-200923-215451_bem_798_elicit_20  MULANGISHENI IYI MAGAZINE 
03-200923-215451_bem_798_elicit_21  LANDENI NANKWE PAFYO MWASANGAMO ELYO LANDENI NA LESA PALWA UYO MULIMO
03-200923-215451_bem_798_elicit_22  BUSHE KUKI WACITA SHANI NGA CAKUTI UMWINA MOBE AFWA BALUPWA BASUMINISHANYA UKUKUPYANIKA NELYO IWE TAULEFWAYA
03-200923-215451_bem_798_elicit_23  BUSHE KUTI WACITA SHANI NGA CAKUTI ABAKALAMBA BA NCITO YOBE BALEFWAYA ULECITA UBUCENJESHI 
03-200923-215451_bem_798_elicit_24  KABILI BAKUTINYA UKUKUTAMFYA INCITO CIBE PA NG'ANDA NAUKWATA BANA BASANO ABALEKABILA UKULYA PAMO NO KUSAMBILILA
03-200923-215451_bem_798_elicit_25  NATUTILE PA CILONGANINO PAISA UMUNTU KUKUPATIKISHA UKUTI BONSE BALELANDILA MU NDIMI 
03-200923-215451_bem_798_elicit_26  BUSHE KUTI WAITA SHANI IWE PAMO NGA MWINA KRISTU NGA CAKUTI ABENA KRISTU BAMO BATONTONKANYA UKUFUMA MU CILONGANINO PANUMA YA KUTUNGANYO KUTILA INTUNGULUSHI TASHILEBOMBELA MU MUSHILO
03-200923-215451_bem_798_elicit_27  BUSHE UCITA SHANI NGA CAKUTI MU MWEO OBE MWAISA ICINTU ICAYAFYA
03-200923-215451_bem_798_elicit_28  UKULENGWA UMWENSO
03-200923-215451_bem_798_elicit_29  IFI EFYO CALI MU NSHIKU SHAKWA SHAULI
03-200923-215451_bem_798_elicit_30  ABA PELISHITI BALISHILE NAKABILI NE FITA FYABO
03-200923-215451_bem_798_elicit_31  CILA BUSHIKU ABA PELISHITI BALETANTAMIKA ABASHILIKA BABO PA LUPILI NO KULATINYA ABENA ISREALI LUBALI LUMBI 
03-200923-215451_bem_798_elicit_32  PA NSHIKU AMAKUMI YANE ABENA ISREALI BALISHIBE UKUTI BALI NO MULIMO WAKUCINGILILE NDUPWA KABILI BALISHIBE UKUTI MULI UBU BULWI KUTI MWAFWA IFITA IFINGI 
03-200923-215451_bem_798_elicit_33  LELO ABA PELISHITI BALILOLELE NGANSHI BATOMPWE BAKWA SHAULI NA BANTU BAKWE BACUCUTIKE NGA PALI KAPASHI 
03-200923-215451_bem_798_elicit_34  ICABAKALIPISHE CAKUTI IPAKA LYA MUNKAMBI YA BA PELISHITI ILYALEPELE MIKONO MUTANDA NA CITIKA 
03-200923-215451_bem_798_elicit_35  LYALIFWELE FYANSO FYA BULWI LYALEISA PA NTANSHI CILA NSHITA MUKUTINYA NO KUTUMFYA ABENA ISREALI
03-200923-215451_bem_798_elicit_36  LYALEBASONSOMBA UKUTUMA UMO UWAKULWA NALYO PAKUTI UWACIMFYA NINSHI APOKOLOLA ICALO CAKWE 
03-200923-215451_bem_798_elicit_37  IMFUMU SHAULI TAYASANGILE NELYO UMO PA BANTU BWAIKO UWINGEMININA MUKULWISHA NO KUCIMFYA CILYA CIPONDO PANTU BONSE BALI NO MWENSO
03-200923-215451_bem_798_elicit_38  EICO BALELOLELA UKUMONA ICALAKONKAPO
03-200923-215451_bem_798_elicit_39  IFI EFYO TUCITA ILINGI TEFYO FINE 
03-200923-215451_bem_798_elicit_40  PALI UBWAFYA LELO TATULEFWAYA UKUBUBOMBELAPO  EICO TWALOLELA 
03-200923-215451_bem_798_elicit_41  ILINGI TABUIPWISHA UBWINE LELO BULAKULILAKO 
03-200923-215451_bem_798_elicit_42  PAMO NGA FINTU CALI KULI SHAULI NA BANTU BAKWE UKULOLELA PANSHIKU AMAKUMI YANE 
03-200923-215451_bem_798_elicit_43  UKWABULA UKUTUUSHA KWINE KWINE 
03-200923-215451_bem_798_elicit_44  NO KOLOLOLA IFILUNDWA FYA MIBILI YABO 
03-200923-215451_bem_798_elicit_45  LELO NAMISANGO YAKULABA NENUNA 
03-200923-215451_bem_798_elicit_46  YALIBANASHISHEKO 
03-200923-215451_bem_798_elicit_47  YALI NINSHITA YAKUSAKAMIKWA
03-200923-215451_bem_798_elicit_48  CINSHI CALI NO KUKONKAPO
03-200923-215451_bem_798_elicit_49  BUSHE UBWAFWILISHO BWALI NO KUFUMA KWI 
