03-200925-062606_bem_798_elicit_0  TWAISHIBO KUTI YESU KRISTU AKWATA UMUBILI WAKWE PANO ISONDE 
03-200925-062606_bem_798_elicit_18  EKUTILA NGA CAKUTI KULI NO KUBA UKULONGANA KWA MIKUPE NELYO AMASAMBILISHO PA LUKUTA ULULI LONSE 
03-200925-062606_bem_798_elicit_19  KUTI CAWAMA UKWISHIBISHA BAMUNYINA NE NKASHI UKUPITILA MULI CI CITABO PAKUTI BAISA SANGWAKO 
03-200925-062606_bem_798_elicit_20  KUMFWA NGA CAKUTI BAMINSHIONI BENU BABWELA KU CIFULO KUNTU BAILE TANDALA 
03-200925-062606_bem_798_elicit_21  KUTI CAWAMA UKWISHIBISHA BABWAMANYINA BAMBI UKUPITILA MULI ICI CITABO EPALI NALIMO BAMO BALEFWAYA UKULANSHANYA NABO
03-200925-062606_bem_798_elicit_22  NOMBA TULEFWAYA UKULANDA PAMULANDU WA FINTU FIBILI
03-200925-062606_bem_798_elicit_23  MU CITABO CANTANSHI TWALONDOLWELE IFYO ULUPAPULO LWA 'CHRISTIAN BRETHREN' LWALEMBELWE PAKUTENDEKA 
03-200925-062606_bem_798_elicit_24  PAMULANDU WAKUTI BAMUNYINA NE NKASHI BAMO TABAUMFWIKISHE TULEFWAYA UKULANDA APABUTA UKUTI TATULELWISHA UKUPILIBULA ULU LUPAPULO IYOO
03-200925-062606_bem_798_elicit_25  TWAISHIBA UKUTI IFWE PAMO NGE NKUTA TWALIKWATA IFINTU IFYALINGA UKUBIKAKO AMANO PAKUTI TUKAFIKILISHE AMAPANGE YAKWA LESA PALI LINO ISONDE 
03-200925-062606_bem_798_elicit_26  UKUPILIBULA KWA LUPAPULO TEKUTI KUTWAFWE UKUFIKILISHA UBU BUYO LELO ICILEFWAIKWA UKUCILA FYONSE KUPILIBULA IMITIMA YESU
03-200925-062606_bem_798_elicit_27  NAKUBA ULO LUPAPULO ULWABAPO TALWABAMO ICINTU NANGU CIMO ICINGATULESHA UKUFIKILISHA ICIMONWA ICILI CONSE ICO LESA ENGAPEELA PA LUKUTA NELYO MU CITUNGU NANGU MU CALO CONSE
03-200925-062606_bem_798_elicit_28  ICA CIBILI TULEFWAYA UKULONDOLOLA IFYO TUKALASALANGANYA ICI CITABO MU NKUTA SHESU 
03-200925-062606_bem_798_elicit_29  UKUSALANGANYA ICI CITABO E NSHILA IMO INTU LESA ATUPEELE IYAKWAFWILAMO ABANTU BAMBI 
03-200925-062606_bem_798_elicit_30  NATUBOMBE BWINO
03-200925-062606_bem_798_elicit_31  PANUMA YAKULANSHANYA NE NTUNGULUSHI SHA NKUTA MU FITUNGU FYESU NACILINGA UKULONDOLOLA IFYO ICI CITABO CIKALASALANGANISHIWA 
03-200925-062606_bem_798_elicit_32  ICI CITABO CIKALASHITISHIWA MU NKUTA SHESU NA KU CINTUBWINGI PAMO NA KU BABWANANYINA MU NKUTA SHIMBI 
03-200925-062606_bem_798_elicit_33  ABANTU ABAKALASHITISHA BABWANANYINA ABA MU NKUTA SHESU ABAKAIPEELA KUKUITEMENWA
03-200925-062606_bem_798_elicit_34  UMUNTU ONSE UKUBIKAPOFYE NA BALYA ABASHABA MU NKUTA SHA CHRISTIAN BRETHREN BALI ABANTUNGWA UKUSHITAKO ICI CITABO
03-200925-062606_bem_798_elicit_35  PANUMA YA MILUNGU INE UKUFUMA PA BUSHIKU IFITABO FYALETWA MU CITUNGU 
03-200925-062606_bem_798_elicit_36  INDALAMA ISHASHITISHIWAMO SHILINGILE UKUTUMWA KU KASAMA PAKUTI SHAYAFWA PAKULEMBA IFITABO IFILI NO KUKONKAPO
03-200925-062606_bem_798_elicit_37  IFITABO FIKALAFUMA KULI BAKALEMBA KU KASAMA NO KWISA KULI BACOORDINATOR MU CITUNGU 
03-200925-062606_bem_798_elicit_38  COORDINATOR AKALAPEELA ABAKASALANGANYA MU MIPUTULE IMISUMBA NELYO IMISHI YA CITUNGU CAKWE 
03-200925-062606_bem_798_elicit_39  KUMFWA BAKASALANGANYA NABO BAKALAPEELA ABAKASHITISHA ABA BAKASHITISHA BAKALASENDA IFITABO UKULINGANA NE MPENDWA BENGASHITISHA 
03-200925-062606_bem_798_elicit_40  KABILI BALINGILE UKUSONTWA NE NTUNGULUSHI SHA LUKUTA MUNTU BALONGANA 
03-200925-062606_bem_798_elicit_41  MU KUYA KWA NSHITA BAKALASENDA IMPENDWA YA FITABO UKULINGANA NE NDALAMA BASHITISHE MU FITABO IFYALEKELESHE
03-200925-062606_bem_798_elicit_42  BAKASHITISHA NGA BATEMWA KUTI BAFWAYA UMUNTU UWAKUBAFWA UKUSHITISHA
03-200925-062606_bem_798_elicit_43  UMUNTU ONSE UULI MU MULIMO WA IFI FITABO CIBE NI MU KULEMBA NELYO MUKUSALANGANYA NANGU NI MU KUSHITISHA ALINGILE UKWISHIBO KUTI ALEBOMBELA LESA MUKWAFWA ABABWANANYINA
03-200925-062606_bem_798_elicit_44  EKUTILA ALEBOMBELA MU KUIPEELA MU BUFUMU BWAKWA LESA UKWABULA UKUCETEKELA AMALIPILO
03-200925-062606_bem_798_elicit_45  ICINTU CIMBI CASUMINISHIWE CAKUTI UMUNTU ONSE UWASHITISHE CITABO CIMO AKULAKWATAMO TWO HUNDRED KWACHA
03-200925-062606_bem_798_elicit_46  IFYO INDALAMA SHAKULAFIKA KU KASAMA
03-200925-062606_bem_798_elicit_47  PANUMA YA MILUNGU INE UKUFUMA PABUSHIKU IFITABO FYALETWA MU CITUNGU INDALAMA ISHASHITISHIWAMO SHILINGILE UKUTUMWA KU KASAMA 
03-200925-062606_bem_798_elicit_48  UYU MUSANGO UKALAAFWA UKWISHIBA IMPENDWA YA FITABO IFILINGILE UKULEMBWA MUKUKONKANYAPO 
03-200925-062606_bem_798_elicit_49  ELYO INDALAMA SHIKALAAFWA MUKULEMBA IFITABO MU KUKONKANYAPO 
03-200925-062606_bem_798_elicit_50  KUMFWA IFITABO IFYASHALAPO KUTI FYASHITISHIWA PANUMA 
03-200925-062606_bem_798_elicit_51  ECALENGA MUKUYA KWA NSHITA KASHITISHA ONSE AKALASENDA IMPENDWA YA FITABO IFYALINGANA NO MUTENGO WA NDALAMA ASHITISHE MU FITABO FYALEKELESHEKO
03-200925-062606_bem_798_elicit_52  KASALANGANYA AKALATUMA INDALAMA ISHIKALAFUMA KULI BAKASHITISHA BAKWE KULI COORDINATOR WA ICO CITUNGU ELYO COORDINATOR NAO AKALATUMA KU KASAMA
03-200925-062606_bem_798_elicit_53  COORDINATOR WA CITUNGU PAMO NGA KAFWA WAKWA KALEMBA ALINGILE UKWANGALILA UMULIMO ONSE UKUPITILA MUKUSAMBILISHA PAMO NO KULUNGIKA IFINTU FYONSE FILELUBANA 
03-200925-062606_bem_798_elicit_54  INTUNGULUSHI SHA NKUTA NASHO SHILINGILE UKWANGALILA UMULIMO WA KUSHITISHA IFITABO MU NKUTA SHABO
03-200925-062606_bem_798_elicit_55  NGA CAKUTI UMULIMO WA KUSHITISHA IFITABO WALUBANA TEKUTI KUBE UKUPOKELELA IFITABO IFYAKULAKONKAPO PALI LULYA LUKUTA
03-200925-062606_bem_798_elicit_56  MUKWAI MULI ABANTUNGWA UKWIPUSHA APO TAMUMFWILE 
