12-201010-070823_bem_526_elicit_0  UMUCELE MU KAMANA
12-201010-070823_bem_526_elicit_30  KWENA NELYO NALELANDA IFI MU MUTIMA NALISHIBE SKUTI AKAICE KALELANDA ICACINE 
12-201010-070823_bem_526_elicit_31  NAUMFWA UMWAICE ATI ALA ISENI KUNO MULANGE APAKOWELA AWE NALAKONKA FYE UMWAICE PANUMA NGE MBWA YAUMIWA UBWEMA BWA CISWANGO 
12-201010-070823_bem_526_elicit_32  TWASUKA TWAFIKA NA MU MUMANA UMO AKO KENE KAMANA KAITA AKATI EMO TOWA NI UMU
12-201010-070823_bem_526_elicit_33  APO PENE NINSOTOLA NE FYAKUFWALA NAIPOSA NA MU MENSHI KWENA NAMO MWINE TAYATALALISHE SANA YALI FYE AYAKABILILA PANTU E PA MAWILO YA KALYA KAMANA 
12-201010-070823_bem_526_elicit_34  NDEPWA FYE UKOWA NAPOKA NO TWAKUFWALA KU MWAICE NAFWALA TWALAYA NA KU MUSHI 
12-201010-070823_bem_526_elicit_35  TWAFIKA FYE NA KASUBA KAWA NO KUWA 
12-201010-070823_bem_526_elicit_36  ICO TWALIKOKWELE KO NGANSHI UMUNANDI KANSHI NASAKAMANA ALEFWAYA NO KWISATUKONKELA 
12-201010-070823_bem_526_elicit_37  TWASANGA NINSHI NO BWALI NABANAYA KALE EPO TWAFIKILILA FYE 
12-201010-070823_bem_526_elicit_38  CILYA PABA FYE MUNTUNGULYA NAIMYA NO MWAICE UKUMUTWALA KUMWABO 
12-201010-070823_bem_526_elicit_39  LILYA NDEBWELA KU KUTWALA UMWAICE NALATONTONKANYA NEKA NATI BUSHE INE MFIKA KULI ULYA MUMANA UKWABULA UKUTI MBE NO MUKAAYA BUSHE NGA NSHOWELEMO MULI YALYA MENSHI 
12-201010-070823_bem_526_elicit_40  KABILI BUSHE NGA CINSHI CAMPONENE NSAMBAMO  
12-201010-070823_bem_526_elicit_41  IFI EFYO NALETONTONKANYA ILYO NALEBWELELA KU NGANDA 
12-201010-070823_bem_526_elicit_42  KWENA NAPANGA NKOWAMO UKALEKE NKAWINE ILYA NOMBE
12-201010-070823_bem_526_elicit_44  CINECINE NGA WAUMA UMULOSHI NO KUSUULA WASUULAKO TETI PABE NELYO CIMO ICINGAMONEKAPO 
12-201010-070823_bem_526_elicit_45  LELO NGA WACIBIKA KU MUTIMA WAFUFYA NO TULO KU MULANDU WA KUTONTONKANYA UKUTI NAUMA UMULOSHI ALENDOWA 
12-201010-070823_bem_526_elicit_46  LYENA CINECINE KUTI BASANGA FYE UMINE NGA MAILO
12-201010-070823_bem_526_elicit_47  KANSHI UKULOWEKWA KWENA TUILETELELA FYE FWE BENE MU KUTONTONKANYA IFYA BULOSHI UKUTI FYABA NA MAKAYA KWIPAYA UMUNTU 
