03-200916-015847_bem_798_elicit_0   WENU AFYALE WILOWA
03-200916-015847_bem_798_elicit_24  MU NSAKA YA SEMPYA BA KATUMBI NABA KATUMBA BALALETAMO ICILA 
03-200916-015847_bem_798_elicit_25  NGABAFIKAMO INSHI MWABA AKATAMBEYA
03-200916-015847_bem_798_elicit_26  AKAMUTI UKWETE EKO BOMINAKO INSOKA NANGU IMBWA
03-200916-015847_bem_798_elicit_27  ILYO UMUNTU ALEENDA MU MPANGA NANGU MU MUSHI AFWILE UKWENDA NA KAMUTI MUMINWE NANGU INKONTO  
03-200916-015847_bem_798_elicit_28  PANTU MUNSHILA KUTI ASANGE NSOKA NANGU IMBWA
03-200916-015847_bem_798_elicit_29  INSOKA CISWANGO PAMOPENE NEMBWA IISUMA ABANTU ABALEIPITILA
03-200916-015847_bem_798_elicit_30  UMUFYASHI ONSE ALAFUNDA UMWANA WAKWE UKWISHIBA UKWAFWA UMUNTU ULI ONSE  
03-200916-015847_bem_798_elicit_31  LEELO KUMWAFWA UKULINGANA NAPALINGILE AMAKA YAKWE
03-200916-015847_bem_798_elicit_32  BA KATUMBI NABA KATUMBA KONSE UKOBAYA BALAPIITA AKUMUTI AKAKUMINAKO INSOKA 
03-200916-015847_bem_798_elicit_33  EICO TABALABA KWAFWA MUNTU UKULINGANA NAPO BAKWAATULE 
03-200916-015847_bem_798_elicit_34  TABEEMBA LUPIYA KABILI TABAKWATA ICAPU CAKUPANGA ULUPIYA 
03-200916-015847_bem_798_elicit_35  NABO BALALUFWAAILISHAFYE
03-200916-015847_bem_798_elicit_36  APOCILIFI TACILINGILE UKUBALOOMBA IFYO TABAKWETE LEELO TUBATASHE PAFYO BATUCITILA 
03-200916-015847_bem_798_elicit_37  TWILABOMFWILA ICIPYU PAKUMONA UKUTI BA AFWAKO BAKANTWA ELO IFWE TABATWAFWILE 
03-200916-015847_bem_798_elicit_38  UBUSHIKU BUMBI NALIMO NAIFWE BAKATWAFWA 
03-200916-015847_bem_798_elicit_39  TWILABA UKUTI BANTU BA BONSE  KANSHI TUMONE MBALE ICO BATWAFWAKO FWE BONSE UKUCILA UKUMONA PALI INENEKA
03-200916-015847_bem_798_elicit_40  TULEEBA NE NSANSA PAKUTUMINAKO INSOKA IYALETUSUMA FWE BONSE
03-200916-015847_bem_798_elicit_41  NAIFWE TWISHIBE UKUFUNGULULA UKUBOKO PAKWAFWILISHAKO ABANTU BESU
03-200916-015847_bem_798_elicit_42  APO WAIKALA EPABUKULU BWA MPANGA
03-200916-015847_bem_798_elicit_43  UMUNTU ONSE ALIBA NAPO AIKALA KABILI ALISHIBA NAPAPELELA APO AIKALA  APAPENE EPABUKULU BWA MPANGA
03-200916-015847_bem_798_elicit_44  ABAFYASHI BALALETA AMAFUNDE KUBANA BABO PA MULANDU WAKUBEEBA ATI UMUNTU TAFWILE UKULAKUMBWAKUMBWA IFINTU 
03-200916-015847_bem_798_elicit_45  LEELO ALINGILE UKUSAKAMANA FYE IFYO AIKWATILE  IFI FINE E FIKULU 
03-200916-015847_bem_798_elicit_46  MUKUFIKANA NO KUFWAYA FIMBI UKALUFYA NAKO UKWETEKO
03-200916-015847_bem_798_elicit_47  NGATWALOLEKESHA UBUMI BWABA KATUMBI NA KATUMBA TULEMONA UKUTI UKOBAFUMA BANTU ABAISHIBA UKUTI APO BAIKALA EPABUKULU BWA MPANGA YABO
03-200916-015847_bem_798_elicit_48  BALAWAMYA IMPANGA SHABO UKULINGANA NAPABUKULU BWAIKO 
03-200916-015847_bem_798_elicit_49  KABILI TABALABA IMPANGA YABO 
