01-200929-215409_bem_fb0_elicit_0  UWAKALEMA TAKALEKA
01-200929-215409_bem_fb0_elicit_20  NE MWINE NINE JOHN NOMBA BENA BATILA JONIE
01-200929-215409_bem_fb0_elicit_21  ELYO JONI ATONTONKANYA UKUTI UMUKASHANA AISHIBA ISHINA LYAKWE NGA ENA CINSHI ASHINGAFWAILA KWISHIBA ISHINA LYAKWE 
01-200929-215409_bem_fb0_elicit_22  ASUKA AIPUSHA ATI NGA KANSHI IMWE ISHINA LYENU NIMWE BANI
01-200929-215409_bem_fb0_elicit_23  CIKASHANI YANGU NA CINE ALA MUKWAI NINDALA NINE JANET PHIRI 
01-200929-215409_bem_fb0_elicit_24  KWENA MUNO MUFULIRA NSHILAKOKOLAMO SANA NDI MWENI NAFUMINE NOMBALINE KU LUSAKA UKWIKALA ABAFYASHI BANDI 
01-200929-215409_bem_fb0_elicit_25  BATATA BANSENGA BAKU PETAUKE LELO BAMAYO BENA BASEZURU BA KU SALISBURY KU RHODESIA
01-200929-215409_bem_fb0_elicit_26  NISHI APO JONI NAPWA FYE KALE UKUPOMPE NCINGA AMONO KUTI CIKASHANA TALEFWAYA KUMUSHA BWANGU ATI NO KUTI LELO LYENA NOKULUMUNA ICAMUCILA UTALI
01-200929-215409_bem_fb0_elicit_27  IFYAKULANDA FYATI FICEPE ELYO JANET AIPUSHA JONI ATI BUSHE MWIKALA KWI MUNO MUFULIRA
01-200929-215409_bem_fb0_elicit_28  JONI MUKWAI NJIKALA KU MINE COMPOUND
01-200929-215409_bem_fb0_elicit_29  JANET OH KASHA NATWENDELE PAMO PANTU NA INE WINE UYU WINE MUSEBO WALOLA UKO NJIKALA
01-200929-215409_bem_fb0_elicit_30  JONI MWIKALA KWI
01-200929-215409_bem_fb0_elicit_31  JANET NJIKALA PA YADI PA MR THORNCROFT EPO NDELA ABANA BAKWE
01-200929-215409_bem_fb0_elicit_32  JONI OH PA MR THORNCROFT NALIPESHIUBA SANA MPITAPO FYE PEE KASHA EPO MWIKALA
01-200929-215409_bem_fb0_elicit_33  JANET EE MUKWAI
01-200929-215409_bem_fb0_elicit_34  AWE BONSE BABILI BANINA PA NCINGA SHABO SHATWAMBA NA LILYA IPENDA CIBEMBA UTILA CUFYA BASHIMBE LYAFIKISHIWA 
01-200929-215409_bem_fb0_elicit_35  MU SHILA JONI ALASHIMIKILA JANET IFYO INCITE ABOMBA YAYAFYA KABILI IFYO IFWAYA UKUTONTONKANYA JANET NAO AMUSHIMIKILE ILYASHI LYA KU LUSAKA NA KU SALISBURY 
01-200929-215409_bem_fb0_elicit_36  BATI BAFIKE APAPATUKILE AKAMUSEBO KALOLA PA MR THORNCROFT BAIKA PA NCINGA BONSE JANET ATAMBIKA JONI UKUBOKO UKUMUSHALIKAPO 
01-200929-215409_bem_fb0_elicit_37  ATI KAFIKENIPO MUKWAI NATOTELE SANA PA KUNGAFWA UKUPOMPE NCINGA 
01-200929-215409_bem_fb0_elicit_38  NDESUBILA TUKAMONANA NA LIMBI
01-200929-215409_bem_fb0_elicit_39  JONI NAO ATI EFYO MUKWAI SHALENIPO ALA NA INE WINE NATOTELA SANA PA KUNSANSAMUSHAKO PA KASHITA AKA TWAPOSA BABILI NENU 
01-200929-215409_bem_fb0_elicit_40  NGA MULAPITILA KU BIAOLO KUTI MWAISAMFWAILA KU MUTUPULE WA MABOTOLO EKO NKABA MAILO AKASUBA
01-200929-215409_bem_fb0_elicit_41  JANET NATOTELA SANA MUKWAI NKESHA UKWISAFIKAKO
