01-201001-234513_bem_fb0_elicit_0  ILYO BANALUME KWA JONI BALELANDA JANET ATALELE FYE TONDOLO ALELOLESHA NA PANSHI
01-201001-234513_bem_fb0_elicit_21  CILYA ABWELELA PANSE ALAEBA BAMUKA NALUME KWA JONI ATI MUKWAI NABENGILE MU NGANDA 
01-201001-234513_bem_fb0_elicit_22  BAINGILA BABAPELA AMENSHI PAKUTI BASAMBE BALYEKO UBWALI BAKAANA
01-201001-234513_bem_fb0_elicit_23  BANAKULU BANTU BAIKELE AKASHITA KANONO KU KUMONA JONI NO KUYA BAYA 
01-201001-234513_bem_fb0_elicit_24  JONI E PA KUTAMPA UKULYA UBWALI ALYAPO FYE ISHA KUPENDA AEBA JANET UKUTI AMUPEELE UMUNKOYO 
01-201001-234513_bem_fb0_elicit_25  JANET ALETA BALANWA BONSE BABILI
01-201001-234513_bem_fb0_elicit_26  UBUSHIKU BWAKONKAPO JONI AYA KU KUMONA ABASUNGU BAKWE KU NCITO AWE BAYANUPEELA UBUSHIKU BUMBI UBWA KUTUUSHA PAKUTI ABWESHE AMAKA
01-201001-234513_bem_fb0_elicit_27  PAUL NA ROBIN BALI BAKALALIKI MU GAVANENTI BALEINUKA KU NCITO NE NSHITA YA FOUR KOLOKO 
01-201001-234513_bem_fb0_elicit_28  KANSHI BATILE BASHIBWELA KU NCITO BAIPUSHANYA INSHITA YA KULANDILAMO NO MUNABO JONI 
01-201001-234513_bem_fb0_elicit_29  BAUMFWANA UKUTI TACAFISHE BAFWILE UKUMUSHIMIKILA NGA BAMWITA KU CAKULYA
01-201001-234513_bem_fb0_elicit_30  ILYO JONI ALEBWELA KU KUMONA ABASUNGU BAKWE APITA KU MULUMENDO UMO IFI UO AISHIBA UKUTI ALISHIBA ICINDEBELE PAKUTI AYEMULONDOLWELA ULYA KALATA WAKWA CLARA NKOSI MU CIBEMBA 
01-201001-234513_bem_fb0_elicit_31  CILUMENDO ULYA PA KUMONA JONI AMWENDELA ATEMWA NGANSHI PANTU ALEMONA JONI UWAMISUULA UUSHINGASAKAMANA UKUTANALILA ABABIYE 
01-201001-234513_bem_fb0_elicit_32  UYU MULUMENDO UMUTUNDU WAKWE MUNGONI KABILI ALISHIBE ICINDEBELE NE CIBEMBA SANA
01-201001-234513_bem_fb0_elicit_33  JONI ATI EKALE PANONO ATAMPAKO ATI MWANDINI BA BANDA WESU NAISANDEIPUSHA NGA KUTI MWANGAFWAKO UKUPILIBWILA AYA MASHIWI MU CIBEMBA
01-201001-234513_bem_fb0_elicit_34  BANDA BWANGUBWANGU APOKA KALATA ATAMPA NO KUSOMA EKA MU KAPOOPO 
01-201001-234513_bem_fb0_elicit_35  ELYO AIPUSHA JONI ATI BUSHE MULEFWAYA NSOSE FYE KU KANWA ATEMWA MULEFWAYA NEMBE
01-201001-234513_bem_fb0_elicit_36  JONI WE MFUMU KUTI CAWAMISHA UKULEMBA
01-201001-234513_bem_fb0_elicit_37  AWE BANDA ABUULA NE PEPALA ATAMPA NO KWALULA KALATA ULYA MU CIBEMBA 
01-201001-234513_bem_fb0_elicit_38  CILYA APWA APEELA JONI ASOMAPO AMONA NE FILEMBO FYONSE NGA NAFILUNGAMA 
01-201001-234513_bem_fb0_elicit_39  AWE ASOMA ONSE UKWABULA NO BWAFYA 
01-201001-234513_bem_fb0_elicit_40  ASANGA ICIBEMBA CONSE CILI ICATAMBALALA 
01-201001-234513_bem_fb0_elicit_41  EPA KUTOTELA BANDA ATI NASANTIKA SAN ABA BANDA NOMBA NAUMFWA UMO KALATA ALOLELE
01-201001-234513_bem_fb0_elicit_42  BANDA AMWIPUSHA ATI BA BOWA SHI NALIMO MULEFWAYA UKUSAMBILILA ICINDEBELE
01-201001-234513_bem_fb0_elicit_43  JONI ASEKA ATI EE MUKWAI ULU LULIMI NALUTEMWA SANA NOMBA FYE UKUKOSA ICI MWABA NO KUITOMONA NGA WE ULELYA INSONGWA
01-201001-234513_bem_fb0_elicit_44  JONI PA KUBWELA KUMWAKWE TE PA BUKALI PA MULANDU JANET ALEMUFISA ICISHINKA 
01-201001-234513_bem_fb0_elicit_45  KABILI ALISHININKISHE UKUTI ULYA KALATA TAFUMINE KULI BANYINA MWAICE YAFUMINE KULI KAPENTA KU LUSAKA
01-201001-234513_bem_fb0_elicit_46  NGA FILYA TULANDILE KALE JONI ATILE FYE ASHIFUMA PA NGANDA NA CILUMENDO UMO UO BALEBOMBA NANKWE ALETA NA KALATA UYU KALATA ALUNGEME JANET NAO WINE UWALEMBELE NI CLARA NKOSI 
01-201001-234513_bem_fb0_elicit_47  JANET ASHUKA SANA KALATA PA KUFIKA ILYO JONI ASHILIKO BWANGUBWANGU AISULA ATAMPA NO KUSOMA LUBALI ALECEBACEBA NO KUCEBACEBA PAKUTI JONI EMUSANGILISHA 
01-201001-234513_bem_fb0_elicit_48  MULI UYU KALATA CLARA ASOSELE ATI NALI NO BULANDA SANA PA KUMFWA UKUTI NA IWE ULI NE FUMO KABILI WALASWA UBE NO MWANA PAMO NGA ELIZABETH ZULU 
01-201001-234513_bem_fb0_elicit_49  AWE MWANDI CABULANDA SANA
