03-200921-114142_bem_798_elicit_0  UKUSHITISHA KWA BANTU ELYO NO KUSUNGA MU BUSHA
03-200921-114142_bem_798_elicit_27  ALEPATIKISHIWA UKUTINISHIWA NANGU UKUPATIKISHIWA UKUBOMBA
03-200921-114142_bem_798_elicit_28  ALEBOMBA MUMIBOMBELE IYABULA UKULONDOLOKA
03-200921-114142_bem_798_elicit_29  TALELIPILWA AMALIPILO YAPA MILIMO YAKWE NANGU AMONEKA UKUTI ALELIPILA INKONGOLE KU WAMWINGISHA INCITO NANGU UMUNTU UMBI
03-200921-114142_bem_798_elicit_30  NANGU IFITUPA FYA KWENDELA NANGU IFITUPA FIMBI NAFISUNGWA NO MUNTU UMBI ELYO TEKUTI AFIKWATE ILYO ALEFIFWAYA
03-200921-114142_bem_798_elicit_31  BUSHE IMWE NANGU UMUNTU UMBI ALI MUBUSANSO
03-200921-114142_bem_798_elicit_32  NGACAKUTI IMWEBENE NANGU UMUNTU UMBI UNTU MWAISHIBA ALI MUBUSANSO UBWAKUSHITISHIWA NANGU UKUSUNGWA MU BUSHA
03-200921-114142_bem_798_elicit_33  KUTI MWATUMINA BA KAPOKOLA BA CALO CA AUSTRALIA BA AUSTRALIAN FEDERAL POLICE AFP PA ONE THREE ONE TWO THREE SEVEN ONE THREE ONE AFP 
03-200921-114142_bem_798_elicit_34  NANGU KABIYENI PE BUULA LYAPA INTANETI PA WWWAFPGOVAU PAKUTI MUFWAYEPO UBWAFWILISHO 
03-200921-114142_bem_798_elicit_35  BA AFP KUTI BA MISUNGA BWINO 
03-200921-114142_bem_798_elicit_36  UKUMIPANDAKO AMANO ELYO NOKUMITUMA KU TUBUNGWE TUMBI UTWINGAMIPELAKO UBWAFWILISHO PAMO NGA UMWAKWIKALA INDALAMA
03-200921-114142_bem_798_elicit_37  BUMPANDA MANO ELYO NOBWAFWILISHO BWA MILANDU NE MIKALILE YA MUCALO CINO
03-200921-114142_bem_798_elicit_38  AKABUNGWE AKATUNGILILA ABANTU ABASHITISHIWA KABUNGWE AKATUNGILILWA NO BUTEKO NOKUBOMBELWAPO NABA AUSTRALIAN RED CROSS 
03-200921-114142_bem_798_elicit_39  MUKUPELAKO UBWAFWILISHO KU BANTU ABASHITISHIWA NOKUSUNGWA MU BUSHA
03-200921-114142_bem_798_elicit_40  MWALIBAKO UTUBUNGWE UTWALEKENALEKANA MU CALO CA AUSTRALIA UTWINGAMYAFWILISHA
03-200921-114142_bem_798_elicit_41  ONE EIGHT ZERO ZERO RESPECT KABUNGWE KAMU CALO CA AUSTRALIA AKABOMBELA MUKUPANDA AMANO MU MILANDU YA KULUNGANA NABANTU KU MAKA ELYO NO BUNKALWE NO MUTITIKISHA MU MAYANDA 
03-200921-114142_bem_798_elicit_42  AKA KABUNGWE KALAPELAKO ILYASHI LYA BUMPANDA MANO ILYA LUTU KABILI ILYA NKAMA PALI LAMYA ELYO NAPA INTANETI 
03-200921-114142_bem_798_elicit_43  BA MPANDAMANO BAKOMFWA KULI FINTU MULELANDA UKWASUKA AMEPUSHO YENU ELYO NOKUMITUMA KUMBI UKO MWINGASANGA UBWAFWILISHO MU NCENDE YENU
03-200921-114142_bem_798_elicit_44  ILYASHI LIMBI PA MULANDU WA KUSHITISHA KWA BANTU NO KUSUNGA MUBUSHA MU CALO CA AUSTRALIA
03-200921-114142_bem_798_elicit_45  NGA MULEFWAYA UKWISHIBILAPO NAFIMBI PALI BA SUPPORT FOR TRAFFICKED PEOPLE PROGRAM KABIYENI PE BUULA LYAPA INTANETI
03-200921-114142_bem_798_elicit_46  ILYA CIPUTULWA ICILOLESHA PA MILIMO YA BWAFWILISHO ICA DEPARTMENT OF SOCIAL SERVICES PA WWWDSSGOVAU 
03-200921-114142_bem_798_elicit_47  NANGU PE BUULA LYAPA INTANETI ILYA CIPUTULWA CA AUSTRALIAN RED CROSS PA WWWREDCROSSORGAU 
03-200921-114142_bem_798_elicit_48  KUTI MWATUMA INKALATA YAPA INTANETI KULI BA AUSTRALIAN RED CROSS PA NATIONAL_STPPREDCROSSORGAU
03-200921-114142_bem_798_elicit_49  NGAMULEFWAYA ILYASHI NALIMBI PA MULANDU WA KUSHITISHA KWA BANTU NO KUSUNGA MUBUSHA KABIYENI PE BUULA LYAPA INTANETI 
03-200921-114142_bem_798_elicit_50  ILYA CIPUTULWA ICILOLESHA PAFYA MUKATI KA CALO ICA DEPARTMENT OF HOME AFFAIRS PA WWWHOMEAFFAIRSGOVAU 
03-200921-114142_bem_798_elicit_51  NANGU PE BUULA LYAPA INTANETI ILYABA AUSTRALIAN FEDERAL POLICE PA WWWAFPGOVAU 
03-200921-114142_bem_798_elicit_52  NANGU MUFWAYEFYE IFILEMBO IFYAKUTILA UKUSHITISHA KWA BANTU
