12-201008-130449_bem_526_elicit_0  INKALAMO SHAISA
12-201008-130449_bem_526_elicit_14  AMENSHI NAYO NALEOWAMO YATALELE NGANSHI NOMBA PA KUTI IFIKO FYALIFULISHE NASUKILE NAIKOSELESHA NAYA NA KU KONTA MULILO 
12-201008-130449_bem_526_elicit_15  ILYO NABWELELE KU KOWA NINSHI NA BAPATILI NABAPWA UKULYA NABULA NE FIPE NALASAMBA UMUNANDI NAO AYA KU KOWA 
12-201008-130449_bem_526_elicit_16  NASUKA NAPWA UKUSAMBA IFIPE UMUNANDI NAO ABWELA KU KOWA NO MWESHI NINSHI WABALIKA 
12-201008-130449_bem_526_elicit_17  TWAIKALA NA KU MULILO TWALAPUMA NE LYASHI
12-201008-130449_bem_526_elicit_18  INE UMUTIMA ULETONTONKANYA FYE UKUFYUKA 
12-201008-130449_bem_526_elicit_19  ICO TWANAKISHE TATWAIKALISHE TWASENDAMA NO KUSENDAMA 
12-201008-130449_bem_526_elicit_20  MUKWAI KUTI FYE CILYA TWALASEPUKILWA FYE TWAUMFWA SHALILILA FYE PA ISHILYA LYA KAMANA 
12-201008-130449_bem_526_elicit_21  ISHO NKALAMO SHALI SHIBILI KUTI NGA SHALILA NA MACOLOLO MUNDA NAYO YALAILILILA FYE 
12-201008-130449_bem_526_elicit_22  SHALUNGAMA NA APO PENE TWASENDEME 
12-201008-130449_bem_526_elicit_23  UMULILO NAO NINSHI NAULOTA 
12-201008-130449_bem_526_elicit_24  INE NATI KAMBIKEPO INKUNI KUTI CILYA NAIMYA FYE UMUTWE NAUMFWA SHALILILA FYE NGO MU AWE NATIINA NO KUSONKELESHAPO NATOBAPO NO MUTWE 
12-201008-130449_bem_526_elicit_25  AWE  UMUPATILI ENA AIMA ABUULA NA MAPEPALA AYENGI ABIKA NA PA MULILO ABIKAPO NE NKUNI ALA TWAMUSANTIKE NGANSHI
12-201008-130449_bem_526_elicit_26  ICO PABE CENGELO CA MULILO AWE SHALASHINGULUKA FYE MU MBALI KWATI MIMBULU KUTI SHAPITILA UKU SHAPITILA NOKU 
12-201008-130449_bem_526_elicit_27  ICAMUPAMBA ABAPATILI NABO TABAKWETE NA MFUTI NAKALYA FYE ALA BULANDA MUKWAI 
12-201008-130449_bem_526_elicit_28  NELYO ABAKWATA IMFUTI NGA TABASHIPEYE PANTU TASHALEMONEKA IYO 
12-201008-130449_bem_526_elicit_29  SHATUPUNSHA BUSHIKU BONSE KUTI CILYA BWAYA BULECA TWAMONA SHATUNGULUKA SHALAYA NO KUYA PESHILYA LYA KAMANA 
12-201008-130449_bem_526_elicit_30  NA IFWE CATWANSHA UKULALA PANTU NO KUCA NINSHI NABUCA
12-201008-130449_bem_526_elicit_31  NGA FILYA BATILA IKANGA LILELE FIBI NO MUTWE MUKUMPULO 
12-201008-130449_bem_526_elicit_32  TWAYAMBA NO KUTIKULULA MOTOKA 
12-201008-130449_bem_526_elicit_33  KUTI TWAFUNDUMANAKO FYE UMUKU UMO AWE NA MOTOKA ATIKULUKA TWALONGAMO NE FIPE FYONSE TWAYAMBA NO BULENDO TWALAYA
12-201008-130449_bem_526_elicit_34  NECO FWE BENGI TATWAISHIBE KUNTU TWALEYA KUTI TUBIKILEPO FYE UKWIPUSHA UYO MUPATILI UWALETEKENYA MOTOKA 
12-201008-130449_bem_526_elicit_35  NAO KUTI NGA WAMWIPUSHA UKTI KWASHALA SHANI 
12-201008-130449_bem_526_elicit_36  ALA MUKWAI KUTI WAUMFWA ATI FYE EPO TUCILI 
12-201008-130449_bem_526_elicit_37  NOMBA NA WE WIPWISHE NA KU MUKOSHI KWAFITA
12-201008-130449_bem_526_elicit_38  UMO TWALI TULEENDA TWASUKA TWAFIKA NA PA KAMANA 
12-201008-130449_bem_526_elicit_39  ICO KENA KALI NA MAMBWE TWAYABUKA FYE BWANGUBWANGU 
12-201008-130449_bem_526_elicit_40  CILYA TWABA PA ISHILYA TWATI AWE INSALA YACILAMO NATWIPIKE ICAKULYA 
12-201008-130449_bem_526_elicit_41  TWATAMPA NO KWIPIKA INE NAYA KU KUTAPA AMENSHI UMUNANDI ASHALA ALEIPIKA ICAKULYA CA BAPATILI KUTI WESU NAO ALEKOSHO UMULILO 
12-201008-130449_bem_526_elicit_42  KUTI CILYA NDETAPA AMENSHI NAMONA FYE ICISABI NACUMINWA MU MATIPA 
12-201008-130449_bem_526_elicit_43  NABALA NATIINA NATI NALIMO CISOKA 
12-201008-130449_bem_526_elicit_44  NALOLEKESHA NAMONA FYE CISABI ICIKULU NGANSHI 
12-201008-130449_bem_526_elicit_45  PA NSHITA II NINSHI NA KU KUFYUKA NINDABAKO UMWENSO NINSHI NAUNJIKATA PA MULANDU WA NKALAMO SHILYA SHATUPUNSHISHE BUSHIKU BONSE
12-201008-130449_bem_526_elicit_46  TWABIKA NE SABI LILYA MU MUPIKA KUTI TWALIFULUMISHA FYE AWE TWATEKAPO NO BWALI BWAPYA UMUNANDI ANAYA NO KUNAYA 
12-201008-130449_bem_526_elicit_47  NECO ISABI LYA CIMONEKESHA KUTI UBWALI BULEIPITILA FYE KWATI LISHITIMA LYA MALAMBA 
12-201008-130449_bem_526_elicit_48  TUSHIPWA FYE UKULYA TWALAKAKA NO TUPE TWABIKA NA MULI MOTOKA TWALALINDILA  ABAPATILI BALYE AWE BASUKA NABO BAPWA NO KULYA TWASAMBA NE FIPE TWABIKA NA MULI MOTOKA 
12-201008-130449_bem_526_elicit_49  KABILI TWABIKAPO UBULENDO BWESU 
12-201008-130449_bem_526_elicit_50  MOTOKA NAO PA KUBUTUKA NECO BATALAIFA BALILE YALAYAKA NGO MULILO WAFIKA PA MISANSE
