03-200921-143443_bem_798_elicit_0  UKUUFYA ABAICE MUKUPATIKISHIWA
03-200921-143443_bem_798_elicit_15  UBUTEKO BWA CALO CA AUSTRALIA MULANDU UKUSENDA NANGU UKUTWALA UMUNTU KUCALO CIMBI KUCUPO CAKUPATIKISHIWA 
03-200921-143443_bem_798_elicit_16  NANGU UKWEBA UMBI UKUPEKANYA ICI CUPO UKUYAUPA UMUNTU UMO KULYA 
03-200921-143443_bem_798_elicit_17  ELYO NABALEPEKANYA UBU BWINGA KUTI BAKAKWA MU CIFUNGO
03-200921-143443_bem_798_elicit_18  INSHITA SHIMO ABANTU BALASENDWA KU FYALO FYA KUNSE MUKUPATIKISHIWA NANGU UKUBELELEKWA UKUYA KUNSE YA CALO NOKUYAPATIKISHIWA UKWINGILA MU FYUPO 
03-200921-143443_bem_798_elicit_19  ICI CILAPINKANA NA MAFUNDE ELYO KUTI MWAFUMA NO KUKAKWA
03-200921-143443_bem_798_elicit_20  BUSHE IWE NANGU UMO UWO WAISHIBA ALI MUBWAFYA
03-200921-143443_bem_798_elicit_21  NGACAKUTI IWE NANGU UMUNTU UMBI UNTU WAISHIBA ALI MU CUUPO 
03-200921-143443_bem_798_elicit_22  NANGU ALI MU BUSANSO BWA KWINGILA MU CUUPO CA KUPATIKISHIWA 
03-200921-143443_bem_798_elicit_23  KUTI WATUMINA BA KAPOKOLA BA CALO CA AUSTRALIA BA AFP PA ONE THREE ONE TWO THREE SEVEN PAKUTI UKWATEKO UBWAFWILISHO
03-200921-143443_bem_798_elicit_24  MWALIBA UTUBUNGWE NATUMBI UTWAPOSAKO SANA AMANO KULYASHI LYANDUPWA MU CALO CA AUSTRALIA UTWINGAFWILISHA
03-200921-143443_bem_798_elicit_25  MY BLUE SKY KABUNGWE AKABOMFYA INTANETI AKAIPELESHA MUKUPEELA UBWAFWILISHO PA MILANDU YA KUCINGILILA IFYUPO FYAKUPATIKISHIWA 
03-200921-143443_bem_798_elicit_26  UKUPANDA AMANO ELYO NOKUTUMA ABANTU KUNCENDE SHA BWAFWILISHO KUMBI
03-200921-143443_bem_798_elicit_27  TUMENI LAMYA PA ZERO TWO NINE FIVE ONE FOUR EIGHT ONE ONE FIVE 
03-200921-143443_bem_798_elicit_28  TUMENI KAKALATA KAPALI MUSANGE PALI ZERO FOUR EIGHT ONE ZERO SEVEN ZERO EIGHT FOUR FOUR 
03-200921-143443_bem_798_elicit_29  TUMENI INKALATA YAPA INTANETI PA HELP MYBLUESKYORGAU 
03-200921-143443_bem_798_elicit_30  NANGU TANDALENI PE BUULA LYAPA INTANETI ILYABA MY BLUE SKY PA WWW MYBLUESKY ORG AU
03-200921-143443_bem_798_elicit_31  ONE EIGHT ZERO ZERO RESPECT KABUNGWE KAMU CALO CA AUSTRALIA AKABOMBELA MUKUPANDA AMANO MU MILANDU YA KULUNGANA NABANTU KU MAKA ELYO NO BUNKALWE NO MUTITIKISHA MU MAYANDA
03-200921-143443_bem_798_elicit_32  AKA KABUNGWE KALAPELAKO ILYASHI LYA BUMPANDA MANO ILYA LUTU KABILI ILYA NKAMA PALI LAMYA ELYO NAPA INTANETI 
03-200921-143443_bem_798_elicit_33  BA MPANDAMANO BAKOMFWA KULI FINTU MULELANDA UKWASUKA AMEPUSHO YENU ELYO NOKUMITUMA KUMBI UKO MWINGASANGA UBWAFWILISHO MU NCENDE YENU
03-200921-143443_bem_798_elicit_34  TUMENI LAMYA PALI ONE EIGHT ZERO ZERO SEVEN THREE SEVEN SEVEN THREE TWO NANGU KABIYENI PE BULA LYAPA INTANETI ILYABA ONE EIGHT ZERO ZERO RESPECT PA WWWONE EIGHT ZERO ZERO RESPECTORGAU
03-200921-143443_bem_798_elicit_35  NGA ULEFWAYA UKWISHIBILAPO NAFIMBI PAFYUPO FYAKUPATIKISHIWA
03-200921-143443_bem_798_elicit_36  KABIYE PE BUULA LYAPA INTANETI ILYA CIPUTULWA CILOLESHA PAFYA MUKATI KA CALO ICA PA WWWHOMEAFFAIRSGOVAU 
03-200921-143443_bem_798_elicit_37  UFWAYE IFILEMBO IFYAKUTILA ICUUPO CAKUPATIKISHIWA
