01-201002-011519_bem_fb0_elicit_0  CIPANDE CALENGA IKUMI
01-201002-011519_bem_fb0_elicit_27  JONI AISAFWITUKA NE CIPYU MU NGANDA MWA BANALUME ABWELELA NA KUMWAKWE 
01-201002-011519_bem_fb0_elicit_28  BANALUME BASHALA BALEEBA ABAKASHI ABATI TAUMFWILE NAKULU CEWE MWANO UYU NALEMWEBA SHANI 
01-201002-011519_bem_fb0_elicit_29  ABALUMENDO BA UNO MWAKA TABOMFWA 
01-201002-011519_bem_fb0_elicit_30  UMONE IFYO NAKONKOMENE PA MWANA ULYA NATI WIESHA KUUPA BAKASHANA BA MUNO KALALE AWE CAKAANA FYE NGA MU LUBUKO
01-201002-011519_bem_fb0_elicit_31  ABAKASHI LELO ABANA BAMUNO NSHIKU KUTI WAMUFUNDA AKUMFWA ALA FEW BALEUMFWA NIFWE MULILO WA KALE 
01-201002-011519_bem_fb0_elicit_32  KABILI UWAMABELE TALANGA NSHILA WENA ATI MABELE YANDI BAMWENE
01-201002-011519_bem_fb0_elicit_33  PAUL NA ROBIN ILYO BATESHA UKUTI JANET NAFYUKA BAYA KU NGANDA KWA JONI PAKUTI BAMUTALALIKEKO UMUTIMA 
01-201002-011519_bem_fb0_elicit_34  E KUTI APO JONI ASHILE MU MUFULIRA UBU E BUSHIKU BAMWENE UKUTI AKWATA UBULANDA
01-201002-011519_bem_fb0_elicit_35  JONI ATI BANE LELO ELYO CANSHININA NGA FWAKA 
01-201002-011519_bem_fb0_elicit_36  NATUMPILE NGANSHI PA KUUPA ULYA KAPENTA 
01-201002-011519_bem_fb0_elicit_37  KWENA NELYO CIBE SHANI PA THIRTY NKAMUKONKA KANO NKAYEMUPESHA FYE UKO AYASHIPESHA
01-201002-011519_bem_fb0_elicit_38  ROBIN ATI ULEFWAYA UKUKONKAKO MWA
01-201002-011519_bem_fb0_elicit_39  JONI NANGU PA CITUKUTUKU KUTI NAYA UKUSHILI MFULA YAKUNTIINYA
01-201002-011519_bem_fb0_elicit_40  INSHIKU SHAKONKAPO JONI ALEMONEKA BULANDABULANDA ASANSAMWIKEKO FYE UBUSHIKU APOKELELE KALATA UKUFUMA KU CHINSALI 
01-201002-011519_bem_fb0_elicit_41  ABAFYASHI BAKWE BALEFWAYA JONI UKTWALA UMUKASHI WAKWE KU MUSHI PAKUTI BAYAMUNONAPO
01-201002-011519_bem_fb0_elicit_42  BUSHIKU BUMO JONI AILE KU TAUNI KU KUSHITA PETROL 
01-201002-011519_bem_fb0_elicit_43  AWE KUTI NGOMU BAKUMANA NA CIBUSA WAKWE JAPHET DAKA BALAPOSHANYA
01-201002-011519_bem_fb0_elicit_44  DAKA ATI WE MWAUME NACIFWAYA UKWISA KU MOBE KU KWISASHININKISHA ILI LYASHI NJUMFWILE UKUTI JANET ALIFYUKA 
01-201002-011519_bem_fb0_elicit_45  BUSHE ICO KUTI CABA CACINE
01-201002-011519_bem_fb0_elicit_46  JONI TE BUFI CACINE E MUKUTI PAPITA INSHIKU PABULA APO AFYUKILA
01-201002-011519_bem_fb0_elicit_47  APO PENE DAKA AIKATA JONI PA KUBEYA ATI LEKA NO KUSHIMIKA JANET NINE NAMUSENDELE NA MU MOTOKA WANDI UKUMUTWALA KU LUSAKA UKUFUMA MU NDOLA 
01-201002-011519_bem_fb0_elicit_48  KABILI NJISHIBA UKUTI AFYUKILE FYE NGA NALIMUBWESEHA KUNO 
01-201002-011519_bem_fb0_elicit_49  LELO AMPEPELE UBUFI UBWINEBWINE ICAKUTI NSHATOTELEPO NA BOWA NGE SHINA LYOBE 
