03-200921-154823_bem_798_elicit_0  UMUTITIKISHA WA MPANGO
03-200921-154823_bem_798_elicit_30  MU CALO CA AUSTRALIA UMUNTU ONSE ALIKWATA INSAMBU SHA KUISALILA NGA ALEFWAYA UNTU ALEFWAYA NALINTU ALEFWAYA UKUUPA 
03-200921-154823_bem_798_elicit_31  CILAPINKANA NAMAFUNDE YA CALO CA AUSTRALIA UKUPATIKISHA UKUTINYA NANGU UKUBELELEKA UMUNTU PAKUTI EGENGILA MU CUPO 
03-200921-154823_bem_798_elicit_32  KABILI CILAPINKANA NAMAFUNDE YA CALO CA AUSTRALIA UKUKOSELESHA NANGU UKUPEKANISHISHAKO UMUNTU ICUPO ICAKUPATIKISHIWA 
03-200921-154823_bem_798_elicit_33  ELYO NOKUSANGWA MWIBUMBA ILYABALEUFYA ICUPO CAKUPATIKISHIWA NGACAKUTI TEIWE CIKUMINE 
03-200921-154823_bem_798_elicit_34  ICI CILEKUMAFYE KU FYUPO FYONSE FIBE FYAMWI FUNDE IFYA NTAMBI NANGUFYE IFYA MAPEPO
03-200921-154823_bem_798_elicit_35  MWALIBAKO UTUBUNGWE UTWALEKENALEKANA MU CALO CA AUSTRALIA UTWINGAMYAFWILISHA
03-200921-154823_bem_798_elicit_36  1800RESPECT KABUNGWE KAMU CALO CA AUSTRALIA AKABOMBELA MUKUPANDA AMANO MU MILANDU YA KULUNGANA NABANTU KU MAKA ELYO NO BUNKALWE NO MUTITIKISHA MU MAYANDA 
03-200921-154823_bem_798_elicit_37  AKA KABUNGWE KALAPELAKO ILYASHI LYA BUMPANDA MANO ILYA LUTU KABILI ILYA NKAMA PALI LAMYA ELYO NAPA INTANETI 
03-200921-154823_bem_798_elicit_38  BA MPANDAMANO BAKOMFWA KULI FINTU MULELANDA UKWASUKA AMEPUSHO YENU ELYO NOKUMITUMA KUMBI UKO MWINGASANGA UBWAFWILISHO MU NCENDE YENU
03-200921-154823_bem_798_elicit_39  TUMENI LAMYA PALI ONE EIGHT ZERO ZERO SEVEN THREE SEVEN SEVEN THREE TWO NANGU KABIYENI PE BULA LYAPA INTANETI ILYABA ONE EIGHT ZERO ZERO RESPECT PA WWWONE EIGHT ZERO ZERO RESPECTORGAU
03-200921-154823_bem_798_elicit_40  MY BLUE SKY KABUNGWE AKABOMFYA INTANETI AKAIPELESHA MUKUPEELA UBWAFWILISHO PA MILANDU YA KUCINGILILA IFYUPO FYAKUPATIKISHIWA 
03-200921-154823_bem_798_elicit_41  UKUPANDA AMANO ELYO NOKUTUMA ABANTU KUNCENDE SHA BWAFWILISHO KUMBI
03-200921-154823_bem_798_elicit_42  TUMENI LAMYA PA ZERO TWO NINE FIVE ONE FOUR EIGHT ONE ONE FIVE TUMENI KAKALATA KAPALI MUSANGE PALI ZERO FOUR EIGHT ONE ZERO SEVEN ZERO EIGHT FOUR FOUR 
03-200921-154823_bem_798_elicit_43  TUMENI INKALATA YAPA INTANETI PA HELPMYBLUESKYORGAU 
03-200921-154823_bem_798_elicit_44  NANGU TANDALENI PE BUULA LYAPA INTANETI ILYABA MY BLUE SKY PA WWWMYBLUESKYORGAU
03-200921-154823_bem_798_elicit_45  ILYASHI LIMBI ILYAPA MILANDU YA MUTITIKISHA WAMU MAYANDA NE FITUPA FYA BWIKALO IFYUPO FYAKUPATIKISHIWA 
03-200921-154823_bem_798_elicit_46  ELYO NOKUSHITISHA KWA BANTU KUTI LYASANGWA PE BUULA LYAPA INTANETI ILYA CIPUTULWA CILOLESHA PA FYAMUKATI KA CALO ILYA WWWHOMEAFFAIRSGOVAU 
03-200921-154823_bem_798_elicit_47  NANGU MUFWAYEFYE IFILEMBO FYAKUTI IFYUPO FYA KUPATIKISHIWA
