01-201005-212422_bem_fb0_elicit_0  ICALENGA UKUTI CIMBWI ABE NO MWENSO
01-201005-212422_bem_fb0_elicit_22  UMUKALAMBA UMBI ATI AH KANSHI BANE NO KWANGUKA CAYANGUKA APO BAISHIBA APO INGILA
01-201005-212422_bem_fb0_elicit_23  IFWE NATUKAYETEYA IKUNKU KU MULU WA MUTI TUKAKWIKEMO NA MAFUMO 
01-201005-212422_bem_fb0_elicit_24  NGA CAISAPITA MU ISAMBA KWENA CIKESALASWA EPO TUKACIPAILE
01-201005-212422_bem_fb0_elicit_25  BONSE BASUMINISHANYA ULUCELO BAIMA BAYATEMA NE CIMUTI ICIKALAMBA ICA LUPANDA BACITEYA NA MU MULAMBA UME CALEPITA 
01-201005-212422_bem_fb0_elicit_26  LEIO TABABIKILEMO IFUMO BONSE BALIKENE UKUTI BAPELE IFUMO PANTU IFYELA FYALIAFISHE PA NSHITA ILYA 
01-201005-212422_bem_fb0_elicit_27  BALETENTONKANYA UKETI ICIMBWI CALIKWATISHA AMAKA KUTI CASENDA IFUMO ICI E CALENGELE UKUTI BATEYE FYE ICIMULANDO ICIKALAMBA CEKACEKA
01-201005-212422_bem_fb0_elicit_28  CIMBWI KULYA AILEIKATILA IMPELEMBE TAFUMINEKO BWANGU AIKEIEKO INSHIKU SHITATU UBWA SHINE NO KUPWA YAPWA
01-201005-212422_bem_fb0_elicit_29  AIMA UKUBWELELAMO KU MWIMBA KUMWAKWE NINSHI NAIKUTA NGANSHI IFUMO LILI NGA KAPOLI
01-201005-212422_bem_fb0_elicit_30  KUTI CILYA ALEBWELA AUMFWA FYE ICIMUTI PA MUKOSHI NA MFYA 
01-201005-212422_bem_fb0_elicit_31  AWE ATOTOBELA FYE PALYA PENE NE CAKUCITA CABULA 
01-201005-212422_bem_fb0_elicit_32  KUTI AITUMBANYA NGANSHI UKUTI AILULULE AWE CAKAANA CAMUCILA AMAKA 
01-201005-212422_bem_fb0_elicit_33  NECO AIKUTISHE NOMBA ALALA FYE UMULAMBALAMBA
01-201005-212422_bem_fb0_elicit_34  ABANTU KU MUSHI ABATI NATUYELENGULA ULUFIMBO TWATEYA CIMBWI
01-201005-212422_bem_fb0_elicit_35  KUTI CILYA BALAPALAMA BAEBA UMO UKUNINA KU MUTI PAKUTI ALENGULE 
01-201005-212422_bem_fb0_elicit_36  KUTI ATI ATILE AMONA FYE NALALA ULUFIMBO NALUMUTININKISHA NA PA MUKOSHI 
01-201005-212422_bem_fb0_elicit_37  ALASHINISHA ABABIYE ATI NACIMWIKATA 
01-201005-212422_bem_fb0_elicit_38  NOMBA UWAKUYAFIKAPO ABULA BONSE BATIINA UMWENSE WABEKATA
01-201005-212422_bem_fb0_elicit_39  NOMBA UWALIPO UMUKALAMBA UMO GSOSA ATI KWENA ILYA NAMA IKALI TATWISHIBE NEFYO IFWANTILWE
01-201005-212422_bem_fb0_elicit_40  E CALENGA PA KUIPAYA NATUCENJELE TUBALE TUKOSHE UMULILO EMO TUFUMBIKE AMAFUMO YESU NGA YAPYA YAKASHIKE TULEILASA LYENA ILEFWA BWANGU 
01-201005-212422_bem_fb0_elicit_41  AWE BONSE BASUMINA BACITA NE CININKWA CA MULILO 
01-201005-212422_bem_fb0_elicit_42  CILYA AMAFUMO YAPYA YAKASHIKA NA CEE BAYEPWILA FYE CA MUMO BATENDEKA NO TUBILO UKUYA KU KULASA CIMBWI 
01-201005-212422_bem_fb0_elicit_43  UWANTANSHI APOOSE FUMO AMULASA FYE PA MATAKO NO WA CIBILI NAO APOOSA AMULASHILA PESAMBA LYA PALYA PALASHILE UMUBIYE 
01-201005-212422_bem_fb0_elicit_44  CIMBWI AUMFWA IFILASO FYAKALIPISHA NECO FYALI NO MULILO AFUNDUMANA FYE UMUKU UMO NE KUNKU LYAWILA NA FILYA 
01-201005-212422_bem_fb0_elicit_45  ABANTU NABO BELE BALEIWILA FYE CIMBWI PALYA PENE BAMULASHILE PA MATAKO LILYA AFUNDUMENE ASHA ANYELA AMAFI KUMO NA MAFUMO 
01-201005-212422_bem_fb0_elicit_46  TE WA KUCEBA NA KUNUMA IYO INE E MIILE
01-201005-212422_bem_fb0_elicit_47  UKO CIMBWI AILE AISHIBA UKUTI ABANCITA FINO BANTU TE FINTU FIMBI IYO KANSHI BALYA BANTU BAKALI NAKULABATIINA
01-201005-212422_bem_fb0_elicit_48  UMONE INE NTILA NINE NAKWATISHA AMAKA UKUCILA ABANTU LELO KANSHI E BANCITA UMUSANGO UNO AWE KANSHI TE BAKUTWALAKO MASANGE 
01-201005-212422_bem_fb0_elicit_49  APA PENE E PAFUMA NO MWENSO WA KUTIINA ABANTU NELYO KAICE KUTI KAMUTIINYA AFULUMUKA ULWINELWINE ASHA ANYA NA MAFI
01-201005-212422_bem_fb0_elicit_50  INAMA NKALI SHONSE ISHA MU MPANGA ISHALECINDIKA CIMBWI KU MULANDU WA BUKALI BWAKWE NOMBA SHAMONA UKUTI CIMBWI ALEKA UKWIKATA INAMA 
01-201005-212422_bem_fb0_elicit_51  UMONE KALE BALEENDELA FYE PAME NA BANKALAMO NOMBA SHAMONA UKUTI AWE ALEKA UKWENDELA PAMO ALEBAKONKA FYE PANUMA 
01-201005-212422_bem_fb0_elicit_52  KUTI NGA BANKALAMO BAIKATA INAMA WENA AYA MU KUKOKOTA FYE AMAFUPA CILYA BAFUMAPO
01-201005-212422_bem_fb0_elicit_53  NOMBA SHONSE NASHO SHAMUSUULA
01-201005-212422_bem_fb0_elicit_54  PALI KANTUNSE KAPELA
01-201005-212422_bem_fb0_elicit_55  ICI CILAMONEKA NA KULI FWE BANTU
01-201005-212422_bem_fb0_elicit_56  UMUNTU UWALI UMUKANKALA ATEMWA ALI NI KAPEKAPE NOMBA NGA INSHIKU SHAMWINAMINA UBUKANKALA BWAKWE BWAPWA 
01-201005-212422_bem_fb0_elicit_57  ABANANKWE BONSE ALEENDA NABO KUTI BAMUSALANGANA NO KUMUSUULA BAMUSUULA
