01-201002-000224_bem_fb0_elicit_0  PANTU NGA WAPAAPA NINSHI UBUKASHANA BWAPWILILILA NAKALYANAKALYA 
01-201002-000224_bem_fb0_elicit_35  APO ACIKALIPA FILYA PA MULANDU WA KALATA NGA KANSHI NGA ITESHA CALO LYA KU BIAOLO NGA LYAISHIBIKWA CILEISABA SHANI
01-201002-000224_bem_fb0_elicit_36  CILYA JONI ASHINGILILA JANET ALEKA NO KUCISA AMALAYA ALATONTONKANYA IFYAKUCITA PA KUPUSUKA KU BUKALI BWAKWA JONI 
01-201002-000224_bem_fb0_elicit_37  ASANGA INSHILA YA MUPEPI KUBEEPA UKULWALA 
01-201002-000224_bem_fb0_elicit_38  PA NSHITA II JANET TAKWALI CINTU CIMBI ICO ALETINISHA MUNO CALO NGO BUKALI BWAKWA JONI
01-201002-000224_bem_fb0_elicit_39  LULYA LUPI AMUMINE MU BIAOLO TATWALEMUTEEKA BWINO NGA AIBUKISHA
01-201002-000224_bem_fb0_elicit_40  JONI AFIKA PA NGANDA PA PAUL AINGILA BALAPOSHANYA NA BABIYE 
01-201002-000224_bem_fb0_elicit_41  BAIKALA BALALYA NE CAKULYA UBWALI CILYA BWAPWA JONI KWATI NAISHIBA UKUTI ABABIYE BALI NE LYASHI LYAKUMWEBA E WATAMPAKO ATI 
01-201002-000224_bem_fb0_elicit_42  BUSHE BANE ILI NAIL KU CIPATALA TAMWALEMONAKO IMYENDELE YA UYU TAUNI GELO NATATAMUNA
01-201002-000224_bem_fb0_elicit_43  ROBIN E MUTANSHI PA KWASUKA ATI MUNE KWENA WITILA IFWE TULI FIMPATANYA IFYAIKELE PAKATI KA NSHILA 
01-201002-000224_bem_fb0_elicit_44  TULEKWEBA ICISHINKA UKUTI IMISANGO YA MWINA MOBE PA NSHITA WALI KU CIPATALA IFWE TAYATUSEKESHA NAKALYA
01-201002-000224_bem_fb0_elicit_45  YAMA BULYA BUSHIKU KUTI TWATI TUPITILE KU BIAOLO NO MUNANDI CANDA UYU TWAMONA PALYA BACINDILA JAIVI 
01-201002-000224_bem_fb0_elicit_46  MULAMU KUTI NGA BAMUSELEBULA KULI ULYA WINE CANGA WALOPWELE BUSHIKU BUMO ULYA UMUNDEBELE 
01-201002-000224_bem_fb0_elicit_47  KABILI TETI UTUNGANYE UMUNTU UULI PA BUKULU KUTI ATEMWA UKUCINSHIWA ULYA MUSANGO 
01-201002-000224_bem_fb0_elicit_48  WENA NGEFYO WISHIBE IFWE TWALIKALIPE SANA NO KUFWAYA UKULOPOLA ULYA CANGA LELO TWATININE UKUSEBANYA MULAMU
01-201002-000224_bem_fb0_elicit_49  MULUMU WENA ATI ASHITUMONA FYE AONGOLOKA BAYAKUMANINA MU CITENGE CIMBI NA KAPANGA WINE ULYA 
