03-201001-100406_bem_798_elicit_0  ABALEEMBELE ICI CITABO NIBA SIMON MWANSA KAPWEPWE 
03-201001-100406_bem_798_elicit_39  BONSE PAMUSHI PACAANI TABA ISHIBE INSALA EMUKUTILA LYONSE BALEEBA ABAIKUTA MULUSUBA NAMAINSA KUMO
03-201001-100406_bem_798_elicit_40  MU MUSHI MWALI INSAKA SHITATU IYABAKALAMBAIYABALUMENDO NEYA MISEPELA ILYA BATILA IMILUBAMFWA
03-201001-100406_bem_798_elicit_41  SHIKULU ANJEBELE UBUPUSANO BWABA PA NSAKA NEFISAKA
03-201001-100406_bem_798_elicit_42  ICISAKA CALEBA KWISANO EKO BALETUMA ABALUMENDO ABACENJELA EKO BAKULILA ABACENJELESHA BEENA BALEBAPELA NABANA BAMFUMU AUPA 
03-201001-100406_bem_798_elicit_43  BALEBATUMA NGABAFIKA FIFTEEN NA TWENTY IMYAKA ELYO FYE NABANONO SAANA
03-201001-100406_bem_798_elicit_44  BALEBAFUNDA UMUCINSHIUKUKANA FWISA PABAKALAMBATAKULI KWIMININA APALI ABAKALAMBA  NANGULA UKULEMA INKONDWA
03-201001-100406_bem_798_elicit_45  TAKULI KUFWAYA MUKA BEENE NANGU KWIPAYA
03-201001-100406_bem_798_elicit_46  NGAWAIPAYA KUMUBIIKA MUNKOLOSO BAOCA MWAPYA AKALALANGANDA
03-201001-100406_bem_798_elicit_47  EMUKUTILA MWALOBA INGANDA YONSE PAMUKU UMO FYE
03-201001-100406_bem_798_elicit_48  BALANDILE NAPAKUKAANA TANA UMUNTU ICILYO
