01-200929-221342_bem_fb0_elicit_0  ICIPANDE CA BUBILI
01-200929-221342_bem_fb0_elicit_35  KANSHI ENA ATEMWISHISHISHE NA JANET 
01-200929-221342_bem_fb0_elicit_36  NELYO KWENA ASHITILE UBWALWA UBWINGI PA NSHITA II BWA KUSANSAMUSHA FYE UMUKASHANA KABILI ENA TAKOLELWE NGA BABIYE NO MUKASHANA WINE
01-200929-221342_bem_fb0_elicit_37  ILYO INGOMA YA JAIVI YATAMPILE UKULILA JANET AIPUSHA JONI NGA KUTI AJAIVA
01-200929-221342_bem_fb0_elicit_38  JONI ASUMINA ELYO JANET ATI KANSHI TULEYA TUFUNGULULEPO AMOLU TWANAKA NO KWIKALA
01-200929-221342_bem_fb0_elicit_39  PA KUCINDA JAIVI NANGU PALI ABANTU ABENGI BANONO ABALEMONEKA NE CIPAALE UKULINGANA NA JONI NA JANET 
01-200929-221342_bem_fb0_elicit_40  PAUL NA ROBIN BENA ICO BASHAMWENE BAKASHANA BAKUCINDA NABO BALECINDA FYE BABILI BWAUMEBWAUME
01-200929-221342_bem_fb0_elicit_41  BATINI AKASUBA NAKO IFYO KAPITA ULUBILO NGA ULESANSAMUKA 
01-200929-221342_bem_fb0_elicit_42  JONI ATI ALOLESHE PA NKOLOKO YAKWE AMONA KWASHALA TEN MINUTES PAKUTI BESALE BIAOLO 
01-200929-221342_bem_fb0_elicit_43  NINSHI BAKANYANGU NABATAMPA KALE UKUFUMYA ABANTU ABABELELE KU MPELA YA BIAOLO 
01-200929-221342_bem_fb0_elicit_44  NA CINE CILIA TEN MINUTES APWA NE NYENJELE YA KWISALA YALILA 
01-200929-221342_bem_fb0_elicit_45  ICISHELE PAUL ROBIN NA JONI NA JANET BAFUMINA PANSE KUTI BABWELELEMO KUMWABO 
01-200929-221342_bem_fb0_elicit_46  BATALA BAMININA PANONO PAKUTI JANET AFWAYE INCINGA YAKWE APO ASHILE 
01-200929-221342_bem_fb0_elicit_47  ASUKA AIMONA ALABWELELA NA PA BALUMENDO
01-200929-221342_bem_fb0_elicit_48  MUKWAI UMO BALI BEMININE BALEPUME LYASHI KUNUMA KWAFUMA NA CILUMENDO UMO IFI 
01-200929-221342_bem_fb0_elicit_49  UYU CILUMENDO KUTI ALAFIKA MUPEPI NA JANET ATALA AMULOLEKESHA KU MIKONSO ELYO KWATI NALIMO UNTU APENA AUMA JANET PA MUSANA PALI CISAASA 
