03-201007-022920_bem_798_elicit_0  SHAMITOMBO ABWELELA KU BUFUMU
03-201007-022920_bem_798_elicit_20  ALONDOLOLA TONSE NE MISANGO YA KULYA KUNTU IFYO BEPAYA BANTU NA FIMBI FYONSE IFYASEKA
03-201007-022920_bem_798_elicit_21  YOANI SHAMITOMBO NAO ATILEFYE ASHIPOLA AYA NA KU KUPOKE MPETE SHA BUKALAMBA 
03-201007-022920_bem_798_elicit_22  NOMBA TALI NA KUSHIFWALA NSHITA NKALAMBA IYOO
03-201007-022920_bem_798_elicit_23  NA KU NGANDA KWINE IYO BAMUPEELE IIPYA TETI AYEKO 
03-201007-022920_bem_798_elicit_24  AILELONDOLOLA FYONSE IFYO WISHI AMWEBELE 
03-201007-022920_bem_798_elicit_25  IFYA MITEKELE YA CAALO KUMWABO 
03-201007-022920_bem_798_elicit_26  NO MUSANGO AENDELEMO UKWISA KU BLUEVILLE 
03-201007-022920_bem_798_elicit_27  NEFYO AMWENE MU NSHILA FYONSE 
03-201007-022920_bem_798_elicit_28  ELYO NOKULOMBA UKUTI APO ICAALO CAKWE CILECULA KU BUBI BWA BANTU NASHA PA BAFUMU 
03-201007-022920_bem_798_elicit_29  CILINGILE UKUTI KANSHI AYATEKE CAALO CAKWE UMWINE
03-201007-022920_bem_798_elicit_30  UMULANDU BAUTWELE KU BAKALAMBA BA MU KAPOKOLA WA KU BLUEVILLE
03-201007-022920_bem_798_elicit_31  BASANGA NOKUTI CINTU CALINGA SAANA SHAMITOMBO NGA NI MFUMU UKO AFUMA UKUTI AYE ASUNGE CAALO CAKWE BWINOBWINO 
03-201007-022920_bem_798_elicit_32  BAMUPCELA NA MALIPILO YA NCITO YONSE INTU ABOMBELE UKULUNDAPO NA KASANCO 
03-201007-022920_bem_798_elicit_33  BAMUPEELE ABANTU ABENGI NA BASHILIKA ABAKUM WAFWA KUSENDA IFIPE NO KUYALWISHA ABANTU BAKWE KU MUSHI NGA CAKUTI BALAFWAYO KUWIPAYA
03-201007-022920_bem_798_elicit_34  PATILI FERDINAND NAO APAMFIWE SAANA UKUYAMONA UYO MUNTU BALETI MUSUNGU AFUMA KU TANZANIA UKO ALALA 
03-201007-022920_bem_798_elicit_35  AALEEFWAYA NO KUYAMONA NGA BALIBIKAKO IFIPEPALA FIMO IFYO ALEENDA NAFYO IFINGAMULONDOLA NGA ININANI 
03-201007-022920_bem_798_elicit_36  ISHINA BAM WINIKE KULI BA MBOYI WAKWE BALETI NI MALILA ICO ALEPIKA NSOFU ISHINGI PAMO NE NAMA SHIMBI 
03-201007-022920_bem_798_elicit_37  NOMBA ICO TELI CIMWAFWE NANGU PANOONO IYOO 
03-201007-022920_bem_798_elicit_38  UMUTIMA UMBI NAO WALOLELE MU KUTI AKAYEFUNDE CAALO CABA MAKUSULI CONSE UBUKILISTIANI
03-201007-022920_bem_798_elicit_39  UBUSHIKU BWA LWENDO BAIMINEFYE ABENGI SAANA 
03-201007-022920_bem_798_elicit_40  ABANTU BAKWA SHAMITOMBO BONSE ABO BAM UPEELE NA BANTU BAKWA PATILI FERDINAND BONSE BAKUKI NA BAKUFUNDA KATIKISHIMU 
03-201007-022920_bem_798_elicit_41  BAASENDELE MFUTI ISHINGI SAANA NE MFALASHI IKUMI LIMO 
03-201007-022920_bem_798_elicit_42  MARIA NA SHAMITOMBO NABO BASEKELE CIBI PA KUTI NOMBA BALAYA MU KUTEKE CAALO CABO ABENE 
03-201007-022920_bem_798_elicit_43  MARIA ENA NA KWISUKULU TEKWAKWANGWA IYOO AMAANO YALIFYE PA MULUME WAKWE NE NCITO INTU AALI NOKUYASANGA KUNTANSHI 
03-201007-022920_bem_798_elicit_44  KA VILOTO KASHELE KU SUKULU PANTU NINSHI LYABUKA NOMBA 
03-201007-022920_bem_798_elicit_45  MU NSHITA YA KUTUSHA MWEKA EMO KALI NOKUYATANDALA KWA SHAMITOMBO 
03-201007-022920_bem_798_elicit_46  WONGO NAO ATILE ASHIBAMONAFYE BAISA AKONKA NA SHAMITOMBO ATI NKAYABA CILOLO OBE 
03-201007-022920_bem_798_elicit_47  MUKA WONGO ENA NINSHI ALIFWE CIKONKO KU FYEBO FYA BA MUMUSHI ILYO BAAMWIKETE NA KOYIKOYI 
03-201007-022920_bem_798_elicit_48  AMAANO YAKWA SHAMITOMBO YONSE YENA YALOLELEFYE PA KUYALUBULE CAALO CAKWE KU NKONDO NA KU CISENSHI
03-201007-022920_bem_798_elicit_49  KALI KASHIMI KAPELA
