03-200924-194133_bem_798_elicit_0  UBWA LELO LESA ALEKUPELA MU MINWE YANDI 
03-200924-194133_bem_798_elicit_15  TULINGILE UKUSAMBILILAKO KULI DABIDI IFYO ALECANKILWA MU FINTU LESA AMUPEELE
03-200924-194133_bem_798_elicit_16  ABOMFESHE BWINO BWINO ICANSO ICINTU AKWETE PANTU ECO AISHIBISHE
03-200924-194133_bem_798_elicit_17  NELYO TWINGAFWALA BWINO NO KUKWATA CIPINGO CA CINGELESHI TATULINGILE UKUIBISHA PANTU ABANTU BAKATWISHIBILE
03-200924-194133_bem_798_elicit_18  KU FINTU TULELANDA NGA CAKUTI TWAISHIBA BWINO ULULIMI LWA CIBEMBA TULINGILE UKULANDA NO KULEMBELA MU CIBEMBA 
03-200924-194133_bem_798_elicit_19  NGA CAKUTI TAPALI FISOLOBELO TULINGILE UKUBOMFYA IFINTU LESA ATUPEELA PAMO NGA BAPWAPWA NA MASHIWI AYASUMA
03-200924-194133_bem_798_elicit_20  DABIDI AITEYENYE BWINO BWINO
03-200924-194133_bem_798_elicit_21  ELYO DABIDI EBA ATI INSHITA YAKULANDA YAPWA NOMBA NATUTENDEKEKO UKUYA LOLELENI PANONO NIFINSHI FILEFWAIKWA
03-200924-194133_bem_798_elicit_22  NALABOMFYA AMALEGENI KANSHI NDEKABILA ILIBWE 
03-200924-194133_bem_798_elicit_23  CAWAMA UKUFUSHAKO EPALI NSHIMULASHILE PAKUBOMFYA ILYANTANSHI
03-200924-194133_bem_798_elicit_24  BUSHE NIKWI NINGAFUMYA AYASUMA KUTI YASANGWA KU KAMANA 
03-200924-194133_bem_798_elicit_25  CILEFWAIKWA UKUYABIKA APAYANGUKA PAKUBULA PANTU TAKWABA INSHITA IKALAMBA
03-200924-194133_bem_798_elicit_26  IFI EFYO DABIDI ACITILE PAKUIPEKANYA CACINE LESA ALI NANKWE LELO TACILEPILIBULO KUTI ALI NOKULEKA UKUCITA NE FINTU IFYALI MU MAKA YAKWE
03-200924-194133_bem_798_elicit_27  NGA CAKUTI ULEYA MUKULANSHANYA ULINGILE UKUTONTONKANYA PA MABWE YASANO AYENGAKWAFWA 
03-200924-194133_bem_798_elicit_28  KABILI CISUMA UKWISHIBA AMALEMBO WALAYABOMFYA NA MEPUSHO YAKWIPUSHA PAMO NE FILANGILILO 
03-200924-194133_bem_798_elicit_29  KUMFWA NGA CAKUTI ULEYA MUKULANDA NA BAKALAMBA BA MILIMO PA MULANDU WA BWAFYA BUMO CISUMA UKWIPUSHAKO ABENA KRISTU BAMBI IFYO BACITILE 
03-200924-194133_bem_798_elicit_30  NGA CAKUTI ULESHIMPA ULUKUTA MU MUSHI UMO 
03-200924-194133_bem_798_elicit_31  CISUMA UKUTONTONKANYA PAMULANDU WA BANTU ABAKUTUNGILILA PAMO NA BENGAKUCINGILILA ELYO NE NSHILA YAKUBILILAMO IMBILA NSUMA 
03-200924-194133_bem_798_elicit_32  MU NCENDE SHINGI ABABOMFI BWAKWA LESA BALABACIMFYA ICO BACITA IFINTU UKWABULA UKUIPEKANYA UKUPITILA MUKUTONTONKANYA
03-200924-194133_bem_798_elicit_33  DABIDI NAKWATA UBUYO MULI UBU BULWI
03-200924-194133_bem_798_elicit_34  CACINE DABIDI ALEFWAYA UKUCIMFYA 
03-200924-194133_bem_798_elicit_35  LELO MULANDU NSHI
03-200924-194133_bem_798_elicit_36  ALIKWETE UBUYO NABUMBI UKUCILAFYE PAKUCIMFYA
03-200924-194133_bem_798_elicit_37  PAKUTI ISONDE LYONSE LIKESHIBE UKUTI MWABA LESA MU ISRAELI
03-200924-194133_bem_798_elicit_38  NO LUKUTA ULU LONSE LULEISHIBO KUTI TE KULUPANGA KABILI TE KWIFUMO YEHOBA ATULILA KABILI UBULWI BWAKWA YEHOBA
03-200924-194133_bem_798_elicit_39  DABIDI AISHIBE UKUTI UBULWI BONSE MULI BUMUPASHI BUTAMBWA NA MABUMBA YABILI
03-200924-194133_bem_798_elicit_40  ISONDE EKUTILA ABANTU ABASHAISHIBA LESA PAMO NA SHIBO KASEBANYA 
03-200924-194133_bem_798_elicit_41  NA BANTU BAKWA LESA
03-200924-194133_bem_798_elicit_42  UKUBAPO KWAKWA LESA KUNTU ABASHAMWISHIBA BALINGILE UKUSAMBILILA KUTI KWALIBA LESA WAKWA ISRAELI 
03-200924-194133_bem_798_elicit_43  LESA AKESHIBILWA MU KUCIMFYA KWESU 
03-200924-194133_bem_798_elicit_44  ECALENGA IFWE FWE BANTU BAKWE TULINGILE UKUSAMBILILA INSHILA UYU LESA APUSUSHISHAMO 
03-200924-194133_bem_798_elicit_45  TULINGILE UKUSAMBILILA UKUTI IFINTU IFYO LESA ENGACITA TEKUTI TUFYELENGANYE 
03-200924-194133_bem_798_elicit_46  KUTI CAWAMA UKULANDA PAMULANDU WA KUCIMFYA KWALE KWALE NE NSHILA FYACITIKILEMO PANTU EMO TWINGESHIBILA IFYO LESA ABOMBA
03-200924-194133_bem_798_elicit_47  TATULINGILE UKULALOLESHAFYE PA MAFYA YANTU TULI NAYO LELO TULOLESHE NA KU FINTU IFYO TWAFILILWE MU NSHIKU SHA KUNUMA
03-200924-194133_bem_798_elicit_48  IFUNTU IFYO TWAFILILWE UKUCITA MULI BUMUBILI KUTI TWAFIPILIBULA FIBE UKUCIMFYA UKUKALAMBA NGA TWASAMBILILA UKUFICITA MULI BULESA MU NSHITA IILEISA 
03-200924-194133_bem_798_elicit_49  IFI EFYACITIKE KULI YESU PA CAPINDAMA KABILI EFYACITIKE KULI DABIDI 
03-200924-194133_bem_798_elicit_50  EFINGACITIKA NA MU MWEO OBE
03-200924-194133_bem_798_elicit_51  DABIDI TAKOKWELE
03-200924-194133_bem_798_elicit_52  NGA CAKUTI FYONSE IFI FYACITWA TEKUTI KUBE ICAKULOLELA KABILI 
03-200924-194133_bem_798_elicit_53  DABIDI ALILEKELE UKUTONTONKANYA PALI BUMUNYINA BWAKWE NELYO PA BUSANSO UBWINGAMUPONENA 
