12-201010-075548_bem_526_elicit_0  UBUSANSO NA MALILA
12-201010-075548_bem_526_elicit_23  AWE KWENA TWASUBILA TWATI KU ISANO TETI BATWITEITE FYE IYO NALIMO NI KU MILANDU ATEMWA KU MALYO 
12-201010-075548_bem_526_elicit_24  ICO TWAMWENE KWALONGENE ABANTU ABENGI TWATILE FYE NALIMO NI KU MILANDU 
12-201010-075548_bem_526_elicit_25  NELYO NALETONTONKANYA IFYO ABANTU BA KULYA KUNTU TABAFULA KUCITA UTUFILYE IYO
12-201010-075548_bem_526_elicit_26  NGA MULYA NTAMPILE UKULANDA TWAFIKA NA KU ISANO 
12-201010-075548_bem_526_elicit_27  TWAPAPILE PA KUMONA ABANTU UBWINGI KWATI BESHILE KU BWINGA
12-201010-075548_bem_526_elicit_28  UMUCINSHI BAILETUPELA LINTU TWAFIKILE KU BANTU WALI UWA KUPAPA 
12-201010-075548_bem_526_elicit_29  TWASANGILE UBWALWA BWA KATATA UBWINGI NGANSHI 
12-201010-075548_bem_526_elicit_30  PA KUMONA UBWALWA BONSE UBU ULYA KUKI WESU ULYA ALETWIPIKILA ALINJITILE PAMBALI 
12-201010-075548_bem_526_elicit_31  ALANJEBA ATI  BAKAFUNDISHA NDEMUSOKA UKUTI TACILINGILE UKUTI MUNWEKO UBU BWALWA 
12-201010-075548_bem_526_elicit_32  PANTU LIMBI ABANTU BA KUNO BALABIKA UMUTI MU BWALWA KWENA TE MFUMU INGABIKAPO IYO NI ABA BENE BANTU BESHILE 
12-201010-075548_bem_526_elicit_33  ILI LYASHI NELYO LYALI ILYA KUNSOKA LELO LYALIMPESESHE AMANO 
12-201010-075548_bem_526_elicit_34  TETI WE MUNTU WEO BETILE NIWE UIFUNGULUSHANYE WATI NSHANWEKO BWALWA KUTI CABA KWATI NIWE KAIFINYE 
12-201010-075548_bem_526_elicit_35  KABILI ABANTU KUTI BAKUSUULA ABATI BALYA NABO UKO BAFUMA TABANGALA 
12-201010-075548_bem_526_elicit_36  EICO ILYO ULYA MUNTU ALANDILE FILYA NALIKENE UKWABULA NO LUSONI NATI NGA NINE BALETELA IMFWA NEKA TE MULANDU KAMFWE FYE 
12-201010-075548_bem_526_elicit_37  KWENA TWALISHIBA UKUTI EKO UMUNWENA WABA NOMBA KWENA NELYO CINGABA IFYO UMUNTU TETI AKWITILE UKUKWIPAYA 
12-201010-075548_bem_526_elicit_38  ICO E PAMO NO KWITA IMBWA NA KAMUTI NUPANGULA MU MINWE
12-201010-075548_bem_526_elicit_39  AWE MWANDI TWATAMPA NO KUNWA UBWALWA BULYA KUTI NGA WAKUNIKA KAPU WAUMFWA NA KU MUKOSHI KWATI NA CIMYA 
12-201010-075548_bem_526_elicit_40  UMO TWALI TWIKALISHE MUPEPI NO MUNGOMO WA BWALWA YALILA INGOMA MUKWAI AWE ABANENSU BALASHINGULUKA CAYAFYA NO KWAFYA
12-201010-075548_bem_526_elicit_41  KUTI UMO BALEPILIBUKA MU CILA CABO UMO ATI ULEKE NCITE IFI ANYANTA UMUBIYE PA LUKASA TWAMONA ULYA BANYANTA AISAIMA NO KWIMA ATI
12-201010-075548_bem_526_elicit_42  BUSHE IWE ICI WANYANTA WANSUULA FYE WE MBWA WE UMUBIYE ATILE  IYO NSHIKUMWENE WE MWAUME WE 
12-201010-075548_bem_526_elicit_43  ALA LWAINGILA ULUPI NO LUBIYE 
12-201010-075548_bem_526_elicit_44  ALA MUKWAI PABA NA KAMUNYANYA INE WINE UMO NJIKALISHE ALA MUKWAI BASUNKA NA KU ITEPE LYA BWALWA NAUMFWA FYE UBWALWA KU ITOLOSHI NA WA 
12-201010-075548_bem_526_elicit_45  NDOLESHE KU ITOLOSHI MUKWAI NALIBOMBA FYE LYONSE LILI FYE UBWALWA BWEKABWEKA 
12-201010-075548_bem_526_elicit_46  UMUTIMA UMBI AUTI MUPAMEMO ULUPI UYO MUNTU ANJITILE UBWALWA AWE NASUULA INSONI SHAISA PANTU PALI IMFUMU 
12-201010-075548_bem_526_elicit_47  ALA MUKWAI PABA NA PUMPUTU PUMPUTU 
12-201010-075548_bem_526_elicit_48  BWANGU BWANGU INE NAYA NA KU KUCINJA IFYAKUFWALA 
12-201010-075548_bem_526_elicit_49  KUTI NDEYA NAMONA ABALELWA BABEKATA BABAKAKA NA MU NSHINGA BAYABAPOSA NA MU NG'ANDA IMO IFI 
