01-201001-204524_bem_fb0_elicit_0  ICIPANDE CALENGA CINE LUBALI
01-201001-204524_bem_fb0_elicit_33  PA NSHITA JANET ALESOMA KALATA ULYA KU MULANDU WA MASHIWI YALIMO JANET PA MENSO PAYALUKA 
01-201001-204524_bem_fb0_elicit_34  MULI KATALA ULYA AMASHIWI YA NSANSA NA YABULANDA 
01-201001-204524_bem_fb0_elicit_35  CINECINE UYU KALATA TAFUMINE KULI BA NYINA AFUMINE KULI ULYA KAPENTA TULUMBWILE KALE CLARA NKOSI 
01-201001-204524_bem_fb0_elicit_36  UNO MUKU CLARA ALEMBELE IFI MUNE MRS BOWA 
01-201001-204524_bem_fb0_elicit_37  ALA NSHILATI NKULABE NA NOMBA NCILI NDEKWIBUKISHA 
01-201001-204524_bem_fb0_elicit_38  KUNO LUSAKA KWA MUTENDE NESUBILO NA IWE NA BWANA OBE MULI UMUTENDE
01-201001-204524_bem_fb0_elicit_39  MUNE UMUNENSU ELIZABETH ZULU ALI NO MWANA 
01-201001-204524_bem_fb0_elicit_40  IFYO ABIPILE WE ALA TETI WISHIBE UKUTI E ULYA AWEME FILYA 
01-201001-204524_bem_fb0_elicit_41  NOKUBA NGA ABALUMENDO BALEPITA KUTI BALEMUSAKA NA MATE
01-201001-204524_bem_fb0_elicit_42  ALA NI NAKULU BANTU ALILEKA NO KUSAMBA WAKWENDA FYE NE FITATILO MU NUMA 
01-201001-204524_bem_fb0_elicit_43  AWE KANSHI MWANDI UBUFYASHI NGA E EFYO BWALULA ABANTU FILYA INE TETI MBUKABILE ATA SEE
01-201001-204524_bem_fb0_elicit_44  JANET APO UMUTIMA TE PA BULANDA NAO AISHIBE UKUTI NGA AKWATA UMWANA AKABA NGA ELIZABETH ZULU 
01-201001-204524_bem_fb0_elicit_45  JANET PA KUFISA UBULANDA BWASOKOLOKA MULI KALATA APETA KALATA BWINOBWINO ABEPA NO KUSEKA
01-201001-204524_bem_fb0_elicit_46  JONI AMWIPUSHA ATI NISHANI BUSHE BAMAYO BAMUTENDE KU LUSAKA
01-201001-204524_bem_fb0_elicit_47  JANET KABILI ASEKA BUCENCE KABILI ATI EE BALI FYE UMUTENDE BALEMUPOSHA NO KUMUPOSHA 
01-201001-204524_bem_fb0_elicit_48  KANSHI ALETI PUTU
01-201001-204524_bem_fb0_elicit_49  JONI APALAMA KU MUKASHI ALAMUCENYA ATI KWENA BAKASHI BANDI KALATA ALEMONEKA NGO USHIMUSEKESHE FIBI NSHI FILIMO
