01-180101-023953_bem_d31_elicit_0  TWAISHIBO KUTI BONSE ABASOSA ICINE KU BANTU BALAPAKASWA
01-180101-023953_bem_d31_elicit_25  EFYO SHIKULU YESU ALIYA MU KUPEKANYA UMWAKWIKALA BONSE ABAMUTETEKELA
01-180101-023953_bem_d31_elicit_26  CISHIMA NSHI ICO MULEKABILA UKWIKALAPO
01-180101-023953_bem_d31_elicit_27  IFISHIMA FIBILI IFYA KUBALILAPO IFYO ABABOMFI BAKWE BAIMBILE ESEKE NA SITNA FYABA ICIPASHO CA CALO UMWABAFYE IFIKANSA NO MUPATIKISHA ELYO NO LUBULI 
01-180101-023953_bem_d31_elicit_28  MUKWAI UKUKUMANA KWESU NGA KWAFULAMO IFIKANSA NINSHI TULI KU LUBALI LWA KU CALO KABILI ABABUMUBILI
01-180101-023953_bem_d31_elicit_29  ICISHIMA CA KULEKELESHA ICO ISAAC AIMBILE NI REHOBOTE 
01-180101-023953_bem_d31_elicit_30  ICI CIKOPE CA FINTU FYA KU MULU NELYO ICIFULO CA KU MULU UMUKABA UKWILEMENA UBWINGI BWA MUTENDE NGEFYO ISAAC AKWETE UMUTENDE PA KUFIKA KU CIFULO ICI 
01-180101-023953_bem_d31_elicit_31  KABILI ICIFULO ICI CA MAPAALO SANA PANTU NI LESA UWAMUPEELE IMPANGA UKUBA IYA KUTUSHAMO KU BALWANI BAKWE
01-180101-023953_bem_d31_elicit_32  NOMBA YEHOBA NATULUNDULWILE MPANGA NO KULEKA TUSANDE MUNO CALO
01-180101-023953_bem_d31_elicit_33  CALICITIKE BUSHIKU BUMO MU MUSHI UWALEITWA KIBARI ICAKUTI SHIKULU BANTU UWE SHINA LYA BAULENI ASANGILE UMUPETO WA KU MOTOKA YAKWE TAKULI 
01-180101-023953_bem_d31_elicit_34  PANUMA YAKULOLEKESHA MUMBALI YA MOTOKA AMWENE AKAKOPE KA NATIONAL REGISTRATION CARD MUPEPI NA PALI UMUPETO UNTU WALUBILE 
01-180101-023953_bem_d31_elicit_35  EFYO ASHIMIKILEKO UMWINA MWAKWE UWAMUPANDILE AMANO YAKULONDOLOLA UMULANDU KULI BAKAPOKOLA
01-180101-023953_bem_d31_elicit_36  ILINTU AFIKILE KUKAPOKOLA BAULENI ASANGILE UMULUMENDO UWE SHINA LYA CHANDE ALELEMBESHA PAMULANDU WA KULUBA KWA KAKOPE KA NATIONAL REGISTRATION CARD KAKWE 
01-180101-023953_bem_d31_elicit_37  ILINTU UMULUMENDO APWILE UKULEMBESHA SHIKULU BANTU NAO ALONDOLWELE IFYO ASANGILE UMUPETO WA KULI MOTOKA YAKWE KUNUMA TAULI MU CIFULO CAUKO 
01-180101-023953_bem_d31_elicit_38  ELYO SHIKULU BANTU ASOKOLWELE NATIONAL REGISTRATION CARD INTU ATOLELE PANCENDE BAKABOLALA BASOKWELE UMUPETO 
01-180101-023953_bem_d31_elicit_39  APO PENE KAPOKOLA UMO ASENDELE CHANDE KU MUPUTULE MU KUMWIPUKISHA 
01-180101-023953_bem_d31_elicit_40  PANUMA YA KULANSHANYA NO KWIPUKISHA CAISHILESANGWA UKUTI CHANDE PAMO NA BALUMENDO BAMBI BABILI EBAIBILE UMUPETO WAKWA BAULENI
01-180101-023953_bem_d31_elicit_41  ECALENGA BONSE BATATU BALIBIKILWE MU KALYATI
01-180101-023953_bem_d31_elicit_42  PANUMA YAKUTI WISHI WAKWA CHANDE TAMWENE MWANA PA BUSHIKU BUMO AILE KU KAPOKOLA KUKULEMBESHA UKULUBA KWA MWANA 
01-180101-023953_bem_d31_elicit_43  KULYA KU KAPOKOLA EKO BAMULONDOLWELELE UMULANDU ONSE 
01-180101-023953_bem_d31_elicit_44  SHIMAPEPO NKUMBU WISHI WAKWA CHANDE AILE BWANGU BWANGU KU NG'ANDA YAKWA BAULENI MUKUPAPATA UKUTI SHIKULU BANTU ABELELEKO ABALUMENDO ULUSE
01-180101-023953_bem_d31_elicit_45  UKULANSHANYA KWABO KWAPWILILE MUKUTI SHIMAPEPO NKUMBU AFWAYE UMUPETO UMBI UWAKUPYANIKISHA PALI ULYA BAIBILE ELYO BAULENI ALAELELA ABALUMENDO BONSE BATATU 
01-180101-023953_bem_d31_elicit_46  AWE SHIMAPEPO ACITILE FYONSE FYALEFWAIKWA PAKUTI ALUBULE SHILYA MPUPU SHITATU
01-180101-023953_bem_d31_elicit_47  ELYO CHANDE PAMO NE MPUPU SHINANKWE BALUBWIKE NO KUSOKWA UKUTI BEKABWEKESHAPO UKWIBA
01-180101-023953_bem_d31_elicit_48  BUSHE UBWELELO CINSHI
01-180101-023953_bem_d31_elicit_49  UBWELELO MUSANGO WA MICITILE YA MUNTU UMWABA UKUSULAKO KU CILUBO UMUNTU MUNANKWE ALUFYENYE UKWABULO KUFWAISHO KUFIKILISHA ICIBWESHA CA CILYA CILUBO 
