03-200925-003120_bem_798_elicit_0  UKUBA UWA MANO MU MENSO YOBE WE MWINE NGE FYASUSHA KASESEMA ESAYA MU
03-200925-003120_bem_798_elicit_22  TWAKAANA UKULOLESHA PA BWAFYA UKUMFWA KU TUSEBO TWA PA MAFUNDISHO YABUFI 
03-200925-003120_bem_798_elicit_23  NANGU UKULANDA IFYO LESA ALEFWAYA UKUTI TUCINGILILE UMUKUNI WAKWE
03-200925-003120_bem_798_elicit_24  IMISEPELA IKATUTEMWA PANTU TULASHITUNGILILA MUFYO ITEMWA 
03-200925-003120_bem_798_elicit_25  IYI NSHILA INGAMONEKA UKUSUNGA UMUTENDE PAKATI KESU 
03-200925-003120_bem_798_elicit_26  TATUFWILE TWABA ABAKUPOSA INSHITA IYITALI MUKUBEBETA MU CIPINGO KABILI NO KULANSHANYA PALI UYU MULANDU 
03-200925-003120_bem_798_elicit_27  LELO TUSUBILAFYE UKUTI FYONSE FILI NOKUBAFYE BWINO
03-200925-003120_bem_798_elicit_28  NGA TWACITA ICI NINSHI TWALABA UKUTILA BUSHIKU BUMO LESA AKATWIPUSHA UKULONDOLOLA 
03-200925-003120_bem_798_elicit_29  PAULO AKONKOMESHA INTUNGULUSHI SHAMU EFESO UKUTILA 
03-200925-003120_bem_798_elicit_30  MULEISUNGA BWINO MULESUNGA NO MUKUNI ONSE MUPASHI WAMUSHILO AMUPEELA UKWANGALILA 
03-200925-003120_bem_798_elicit_31  PANTU IMIMBULU IKALI IKAMWINGILILA ELYO TAYAKAPANYE MUKUNI WAKWA KRISTU
03-200925-003120_bem_798_elicit_32  NAPALI IMWE BENE PAKEMA BAMO ABAKALALANDA IFYA BUFI PAKUTI BONGOLE ABASAMBI ABAKULABAKONKA
03-200925-003120_bem_798_elicit_33  NGA CAKUTILA IFWE NGA BAFYASHI NANGU FWE NTUNGULUSHI TATUCITILEPO NANGU CIMO 
03-200925-003120_bem_798_elicit_34  IMISEPELA YESU KUTI YALUFYA ICITETEKELO CAIKO 
03-200925-003120_bem_798_elicit_35  ELYO NABO BAKAPEELA FYE UMULANDU NIFWE 
03-200925-003120_bem_798_elicit_36  IYI TE NSHILA YAKUPWISHISHAMO UBWAFYA
03-200925-003120_bem_798_elicit_37  INSHILA NAIMBI IYA YANGUKA NAKABILI KUTI TWATILA IYOO TATULEMUSUMINISHA UKUYAKO KULYA 
03-200925-003120_bem_798_elicit_38  IKALENIFYE PA NG'ANDA PANTU ICEBO CAKWA LESA CITILA ALA MWILABEPWA UKWAMPANA NA BANTU BABI KONAULA NE MIBELE YA BANTU BASUMA 
03-200925-003120_bem_798_elicit_39  IFYO TAFITUKWATILE INCITO FIPWILE NAPA PENE 'IYI NSHILA YAKWA KAPOKOLA' IBOMBAFYE PA KASHITAFYE AKANONO 
03-200925-003120_bem_798_elicit_40  LELO IMISEPELA ISHIBE UMULANDU TWAYEBELA IFYO TAYAKATWALILILE UKUKONKA IFYO TWAYEBA UKUCITA  LIBE TAMULASHILESHA NANGULA PANUMA YAKUILESHA
03-200925-003120_bem_798_elicit_41  KUTI YATENDEKA UKULACITA IFYO ILEFWAYA MU BUMFISOLO 
03-200925-003120_bem_798_elicit_42  NANGU UKUTUSHA NOKUYA KUMBI 
03-200925-003120_bem_798_elicit_43  LYENA NINSHI YALUBILILAFYE  LIBE TEFYO TWALEFWAYA
03-200925-003120_bem_798_elicit_44  TE LYONSE TWINGACINGILILA ABANA BESU NE MISEPELA YESU KUKUKANALANSHANYA NA BA MIPEPELE IBI
03-200925-003120_bem_798_elicit_45  LELO KUTI TWABATEYANYA LESA ALEFWAYA UKUTI TUBOMFYE IFYABUPE FYESU IFYABUMUPASHI KUKWAFWILISHA ABANTU UKUTI BABE ABAKALAMBA 
03-200925-003120_bem_798_elicit_46  TABAFWILE UKUTWALILA UKUBA ABAICE ABASENDWA NA MATAMBA UKU NOKU 
03-200925-003120_bem_798_elicit_47  ABASENDWA NO MWELA KONSE UKO WAPUUPILA 
03-200925-003120_bem_798_elicit_48  EMUKUTILA ABASENDWA NA MAFUNDE YA NCENJESHI SHA BANTU 
03-200925-003120_bem_798_elicit_49  ABO EBONGOLA ABANTU NO KUBATWA MU CILUBO KU MANO YABO AYA BUCENJESHI
03-200925-003120_bem_798_elicit_50  LELO NGA TWALALANDA IFYACISHINKA NO MUTIMA WAKUTEMWA LYENA NINSHI TUKAKULA MU NSHILA SHONSE TUKAPALANE NA WENE UULI MUTWE NOYU NI KRISTU
03-200925-003120_bem_798_elicit_51  NATUBAFWILISHE UKUMFWIKISHA ICISHINKA UKULUNGATIKAFYE PA CILUBO ICO BALINGILE UKUMONA 
03-200925-003120_bem_798_elicit_52  NATULANDE NABO PAKUTI TWISHIBE IFYO BASAMBILILE 
03-200925-003120_bem_798_elicit_53  NATUMONE MU FITABO NAMAPEPALA BAPEELWE 
03-200925-003120_bem_798_elicit_54  IFWE PAMO NGA BAFYASHI NANGU INTUNGULUSHI TULINGILE UKUBA PAMO NA BANA BESU PAKUTILA TWINGABAFWILISHA
03-200925-003120_bem_798_elicit_55  ITONTONKANYO LYA WAMISHAPO
03-200925-003120_bem_798_elicit_56  YA TUMINWE NA BAMUNINEFWE BA BW UKUFUMA KU SAMFYA WEST CMML 
03-200925-003120_bem_798_elicit_57  ABATI PALWA SCIENTOLOGY NAPAPATA TE KWESHA UKUBASUMINISHA
03-200925-003120_bem_798_elicit_58  TWALIKWATA NA IFWE KANYEKANYE MU FYABULIMI UWAKUTI NGA MWALANDA NANKWE KUTI APANGA UBUTANTIKO UBWAKUPEELA AMASAMBILILO KU MISEPELA SHESU NGAYO YENE BALEPEELA 
03-200925-003120_bem_798_elicit_59  EE CACINE
