01-201005-222019_bem_fb0_elicit_0  ICO ING'UNI YAPATILA INSHIMU
01-201005-222019_bem_fb0_elicit_51  APO BANDILILE AMANI YANDI NA INE NAKULALYA ABANA BASHIKO E PA KULINGANYA PALI IFI BANCITA 
01-201005-222019_bem_fb0_elicit_52  NA KUBA LINO LINE NALAFUMA PANO NALAYASHIMONA PALYA PENE SHABA NGA TASHIKUKILEPO NALAISAKWEBA
01-201005-222019_bem_fb0_elicit_53  UMUNTUNSE EYA MWANDI TATA WAKULAMPUSUSHA KU CIPOWE E CALENGA UKUFUMA UBUSHIKU BWA LELO WABA ULI CIBUSA WANDI 
01-201005-222019_bem_fb0_elicit_54  INE NSHAKAKUCUSHE NELYO LIMO NA BANA BANDI ABAKALAFYALWA TABAKAKUCUSHE NANGU PANONO
01-201005-222019_bem_fb0_elicit_55  NAENDI TULAMONA NA MUNO NSHIKU INUNI YABIKAPO FYE UKWITILILA INSHIMU
01-201005-222019_bem_fb0_elicit_56  UMUNTU NAO TACUSHA YUNI IYO 
01-201005-222019_bem_fb0_elicit_57  NI APA PENE PAFUMINE UYU MULANDU
01-201005-222019_bem_fb0_elicit_58  PALI KANTUNSE KAPELA
01-201005-222019_bem_fb0_elicit_59  ULKWAMBANA BUCIBUSA NO MUNTU MUBI BUCIBUSA TABUTWALILILA
01-201005-222019_bem_fb0_elicit_60  KABILI UWA LUFYENGO KU BABIYE UMUYA INSHIKU LUKAMWALUKILA NIO
