05-200917-083101_bem_a40_elicit_0  PATILE AKANTUNSE 
05-200917-083101_bem_a40_elicit_39  AWE EFYO BA MUSHIKA BAISHILE BILA IMBILA BABILA ABANTU BAKWA LESA BAKOLONGANA NGE BUMBA
05-200917-083101_bem_a40_elicit_40  EFYO BAISHILE LANDA ATI 
05-200917-083101_bem_a40_elicit_41  KANSHI MWEBO SO WEBO WE CIPUBA PAKUKWATA AKA KAMUTI WAKA MWENE SHANI
05-200917-083101_bem_a40_elicit_42  ICIPUBA CA LONDOLOLA
05-200917-083101_bem_a40_elicit_43  NGA IMWE MWE BANTU CALI SHANI 
05-200917-083101_bem_a40_elicit_44  NA BENA ABATUNTULU BALONDOLOLA 
05-200917-083101_bem_a40_elicit_45  BEBELE YAA  KANSHI ISHIBENI IFYO MWALACITA
05-200917-083101_bem_a40_elicit_46  AWE EFYO ABATUNTULU BAISHILE ESHAKO AWE KAKANA AKAMUTI 
05-200917-083101_bem_a40_elicit_47  AWE EFYO ICIPUBA CAISHILE WE CIPUBA TWISHIBE NGA KA MUTI KOBE ILYO WAISHILE KAMONA IFYO CAISHILEBA
05-200917-083101_bem_a40_elicit_48  AWE CAISA TONDOBOLA
05-200917-083101_bem_a40_elicit_49  KATI KANDI KATI KANDI EKO NAMWENE NEKA
05-200917-083101_bem_a40_elicit_50  KATI KANDI KATI KANDI
05-200917-083101_bem_a40_elicit_51  KATI KANDI EKO NAMWENE NEKA
05-200917-083101_bem_a40_elicit_52  KATI KANDI  KATI KANDI
05-200917-083101_bem_a40_elicit_53  KALIMA LUBUMBA LUBUMBA
05-200917-083101_bem_a40_elicit_54  KU MFUMU KALAYA
05-200917-083101_bem_a40_elicit_55  KATI KANDI
05-200917-083101_bem_a40_elicit_56  KALIMA LUBUMBA LUBUMBA
05-200917-083101_bem_a40_elicit_57  KU MFUMU KALAYA
05-200917-083101_bem_a40_elicit_58  AWE AKAMUTI KA KAENA KATOLOKA KATOLOKA NO LUPIYA ULUFULILE
05-200917-083101_bem_a40_elicit_59  KANSHI UMWINE WA KAMUTI NICI ICIPUBA MWEBO TEKAMUTI KENU  
05-200917-083101_bem_a40_elicit_60  AKASHIMI EPO NAKOMFWILILE
