03-200921-105818_bem_798_elicit_0  BUSHE KUTI MWAICINGILILA SHANI KU BULWELE BWA KOLONAVAILASI TWENTY NINETEEN
03-200921-105818_bem_798_elicit_18  FINSHI MUFWILE UKUCITA NGA CAKUTI MULETUNGANYA UKUTI IMWE LUPWA WENU ATEMWA UMUNTU UMBI NAKWATA IFILANGILILO NE FISHIBILO FYA BULWELE BWA KOLONAVAILASI
03-200921-105818_bem_798_elicit_19  NGA CAKUTI MULETUNGANYA UKUTI NAMUKWATA ATEMWA UMUNTU UMBI NAKWATA IFILANGILILO NE FISHIBILO FYA BULWELE BWA KOLONAVAILASI
03-200921-105818_bem_798_elicit_20  MUFWILE UKUYA KU CIPATALA ICILI MUPEPI MU KUNDAPWA ILYOLINE FYE
03-200921-105818_bem_798_elicit_21  BUSHE FINSHI MFWILE UKUCITA NGA NALITANDALILEPO ICAALO CA CHINA NE FYALO FIMBI UKWAPONA KOLANA MUNSHIKU SHAFUMINEKO
03-200921-105818_bem_798_elicit_22  NGA CAKUTI MWALITANDALILEPO ICAAALO CA CHINA MU NSHIKU IKUMI LIMO NA SHINE ISHAPITA 
03-200921-105818_bem_798_elicit_23  NGA CAKUTI KABILI MULEUMFWA UMUBILI UKUKABA MULEKOOLA ATEMWA UKUSHUPIKWA MU MIPEMENE
03-200921-105818_bem_798_elicit_24  KABIYENI KU CIPATALA ICILI MUPEPI MU KUNDAPWA ILYOLINE FYE
03-200921-105818_bem_798_elicit_25  ISHIBISHENI ABABOMFI BA PA BUMI UKUTI MWALITANDALILE ICAALO CA CHINA
03-200921-105818_bem_798_elicit_26  NGA NAMULWALA TAMUFWILE UKUPALAMANA NA BANTU BAMBI 
03-200921-105818_bem_798_elicit_27  KABILI MUFWILE UKUKONKA INSHILA SHA SUMINISHIWA ISHA KUCINGILILAMO ABANTU KU BULWELE PAKUTI UBULWELE TABWAMBUKIILE BAMBI
03-200921-105818_bem_798_elicit_28  BUSHE UBULWELE BWA KOLONAVAILASI TWENTY NINETEEN BUULWELE NSHI
03-200921-105818_bem_798_elicit_29  UBULWELE BWA KOLONAVAILASI TWENTY NINETEEN BUULWELE UBUFULUNGANYA IMIPEMENE UBULETWA NA KASHIISHI KA KOLONAVAILASI AKAPYA 
03-200921-105818_bem_798_elicit_30  AKA KASHIISHI KALALETA UBWAFYA MU MIPEMENE NGA FILYA FICITA ICIFINE KABILI NGA BWAPITILILA BULALETA UTULUSO
03-200921-105818_bem_798_elicit_31  IMFYO UKULEKA UKUBOMBA KABILI KUTI BWALETA IMFWA
03-200921-105818_bem_798_elicit_32  AKASHIISHI KA KOLONA KAASANGILWE KU CAALO CA CHINA MU MWAKA WA TWENTY NINETEEN ELYO KASALANGANINA KU FYALO FIMBI
03-200921-105818_bem_798_elicit_33  BUSHE FIILANGILILO NSHI NE FISHIBILO UBULWELE BWA KOLONAVAILASI TWENTY NINETEEN BWAKWATA
03-200921-105818_bem_798_elicit_34  ABALWELE BA KOLONAVAILASI TWENTY NINETEEN BALAKWATA FILANGILILO NE FISHIBILO IFINGI 
03-200921-105818_bem_798_elicit_35  KU BALWELE ABENGI UBU BULWELE TABUYA PATALI LELO BAMO BALALWALISHA ICAKUTI BWALETA NO TULASO IMFYO UKULEKA UKUBOMBA ATEMWA IMFWA 
03-200921-105818_bem_798_elicit_36  IFI EFILANGILILO FYA KOLONAVAILASI IFYASEEKA
03-200921-105818_bem_798_elicit_37  UMUBILI UKUKABA
03-200921-105818_bem_798_elicit_38  MU CIFUBA UBUKALI
03-200921-105818_bem_798_elicit_39  ICIFUBA
03-200921-105818_bem_798_elicit_40  UKUPEMASHIKA
03-200921-105818_bem_798_elicit_41  UMUTWE UBUKALI
03-200921-105818_bem_798_elicit_42  UKUSHUPIKWA PA KUPEEMA
03-200921-105818_bem_798_elicit_43  IFILONDA PA MUKOSHI
03-200921-105818_bem_798_elicit_44  UMUNTU NGA AYAMBULA AKASHIISHI KA KOLONAVAILASI TWENTY NINETEEN BUSHE PAPITA INSHIKU SHINGA PAKUTI ALWALE
03-200921-105818_bem_798_elicit_45  UMUNTU NGA AYAMBULA AKASHIISHI KA KOLONAVAILASI PAPITA INSHIKU UKUFUMA PALI BUMO UKUFIKA PA NSHIKU IKUMI LIMO NA SHINE PAKUTI ALWALE
03-200921-105818_bem_798_elicit_46  BUSHE UBULWELE BWA KOLONAVAILASI BUSALANGANA SHANI
03-200921-105818_bem_798_elicit_47  UBU BULWELE BUFUMA KU NAMA ELYO BWAYA KU BANTU
03-200921-105818_bem_798_elicit_48  KABILI BULAFUMA KU MUNTU UMO UULWELE NO KWAMBUKILA UMUNTU UMBI 
03-200921-105818_bem_798_elicit_49  UMUNTU KUTI AYAMBULA UBU BULWELE UKUPITILA MULI ISHI NSHILA
03-200921-105818_bem_798_elicit_50  UKUPALAMANA NO MUNTU UULWELE UBULWELE BWA KOLONAVAILASI TWENTY NINETEEN
03-200921-105818_bem_798_elicit_51  UKUSABUKILWA NO MWELA UWA MENSHIMENSHI UUSABUKA NGA UMULWELE WA KOLONA AKOOLA NO KUTESULA
03-200921-105818_bem_798_elicit_52  NGA CAKUTI UMUBOMFI WA MU CIPATALA UULETANGATA UMULWELE WA KOLONAVAILASI TALEKONKA INSHILA SHAPEELWA ISHAKUICINGILILAMO KU MALWELE
03-200921-105818_bem_798_elicit_53  UKWIKATA INAMA IIKWETE AKASHIISHI KA KOLONA ATEMWA UKWIKATA IFYAKULYA FIMBI IFILEFUMA KULI IYO NAMA
03-200921-105818_bem_798_elicit_54  UKWIKATA IFINTU ATEMWA INCENDE APALI AKASHIISHI KA KOLONA ELYO WAIKATA MU LINSO MU KANWA ATEMWA MU MOONA UKWABULA UKUSAMBA KU MINWE
03-200921-105818_bem_798_elicit_55  UKULYA INAMA NE FYAKULYA FIMBI IFIFUMA KU NAMA IFIKWETE UTUSHIISHI
03-200921-105818_bem_798_elicit_56  BUSHE NI BAANI ABENGAMBULA UBULWELE BWA KOLONAVAILASI
03-200921-105818_bem_798_elicit_57  UMUNTU ONSE KUTI AYAMBULA AKASHIISHI KA KOLONA LELO CALYANGUKA SAANA KU BANTU BAMO PAMO NGA ABA UKWAMBULA AKASHIISHI
03-200921-105818_bem_798_elicit_58  UMUNTU ONSE UULEPALAMANA NO MUNTU UUKWETE AKASHIISHI KA KOLONA PAMO NGA BALUPWA ATEMWA IFIBUSA IFILETANGATA UMULWELE
03-200921-105818_bem_798_elicit_59  ABABOMFI BA MU CIPATALA BONSE
03-200921-105818_bem_798_elicit_60  ABANTU ABALETANDALILA INCENDE UKWAPONA UBULWELE
03-200921-105818_bem_798_elicit_61  ABALI PA BULENDO
03-200921-105818_bem_798_elicit_62  ABABOMFI BA PA FIBANSA FYA NDEKE NA BABOMFI BA MU NDEKE PAMO NA BABOMFI BA MU MIPAKA YA CAALO
03-200921-105818_bem_798_elicit_63  ABANTU ABALEIKATA INAMA NE FYAKULYA FIMBI IFIFUMA KU NAMA IFIKWETE AKASHIISHI KA KOLONA
03-200921-105818_bem_798_elicit_64  ABANTU ABALWALA AMALWELE AYASENDA INSHITA IITALI KABILI AYAYAFYA UKUPOLA
