05-200917-085055_bem_a40_elicit_0  PATILE AKANTU 
05-200917-085055_bem_a40_elicit_50  PATI PAPITE INSHIKU ABANTU BAMBI BAISHILE MONA NO KUSANGA INKALAMO ILEBOBWELA IMBUSHI BAILE FISHA NO MULANDU KU MFUMU  
05-200917-085055_bem_a40_elicit_51  BEBELE ULYA MUNTU MWAPELA ULYA MUSHI ALIKATA INKALAMO EIBOBWELA IMBUSHI SHAKWE 
05-200917-085055_bem_a40_elicit_52  IMFUMU YEBELE ALA UMUSHA ULYA EWANCILE KABIYENI NAINE KANJIKATILENI
05-200917-085055_bem_a40_elicit_53  AWE ABANTU EMO BASOKOKELA MU MPANGA  
05-200917-085055_bem_a40_elicit_55  KUTI IMBUSHI SHALILAMO NO MUPYELELE UBUSHIKU BONSE  
05-200917-085055_bem_a40_elicit_56  IMFUMU YEBELE EYA NA INE INKALAMO YALABOBWELA   
05-200917-085055_bem_a40_elicit_57  KUTI ULUCELO BATI BESULEKO BASANGAFYE IMBUSHI SHONSE ATI UPUU NASHILIWA
05-200917-085055_bem_a40_elicit_58  KAKOLE NAO AISA LOMPOKA MWICINKA KUTI UMUNTU UMO ATI APISHANYEFI AYAWA ASUKA KAKOLE AFULUMUKILA NA MU MPANGA 
05-200917-085055_bem_a40_elicit_59  IMFUMU TEPA BUKALI IYOO YEBELE KEKATENI ULYA MUNTU PA KU MBEPA                                                                                                                              
05-200917-085055_bem_a40_elicit_60  KANSHI CHOMBA NSANGWA MUKWAI NATESHA KALE NO MULANDU NINSHI ALIFULA NE CELA AEBAKO NO MUNTU UMO UKUTILA 
05-200917-085055_bem_a40_elicit_61  KU MUSUMBA NGA UMULANDU WAPWA NDEYA YANGA ELYO UYE BULA ISEMBE UYE UNKOME MU MUTWE WA UMFWA 
05-200917-085055_bem_a40_elicit_62  UMUNTU ULYA EBELE ENDI MUKWAI 
05-200917-085055_bem_a40_elicit_63  ILYO BAILEFIKA KU MUSUMBA IMFUMU YAEBELE CHOMBA NSANGWA FYONSE UKUTILA MONA NOMBA NE MBUSHI SHANDI NASHILOBA  
05-200917-085055_bem_a40_elicit_64  NIWE WALENGA  
05-200917-085055_bem_a40_elicit_65  CHOMBA NSANGWA ALIKENE EBELE 
05-200917-085055_bem_a40_elicit_66  IYEE IYOO MWE MFUMU KWENA AMUNJIPUSHA NGA NALIMUPELE UMUTI NE MBUSHI SHENU NGATA SHIFWILE IYOO
05-200917-085055_bem_a40_elicit_67  IMFUMU YEBELE CISUMA MUNE KABIYE UKANGASHIMEKO SAWE OBE AKESE MBOBWELAKO IMBUSHI SHANDI  
05-200917-085055_bem_a40_elicit_68  NAO EBELE ENDI MUKWAI  NOMBA MWE MFUMU KANTALE NYANGE
05-200917-085055_bem_a40_elicit_69  IMFUMU YEBELE ALE YANGA  
05-200917-085055_bem_a40_elicit_70  AWE AEBA NA BANTU BAKWE ATI MULE NUMBA AMUTI CHOMBA NSANGWA CHOMBA NSANGWA MUKOMA ISEMBE KATONGAMI
05-200917-085055_bem_a40_elicit_72  KAMO KAISA IMA NE SEMBE KUTI NA MU MUTWE WAKWA CHOMBA NSANGWA NA MPAA  
05-200917-085055_bem_a40_elicit_73  AWE ATI NOKUTI  NATULEYA BANTU BANDI
05-200917-085055_bem_a40_elicit_74  IMFUMU ISHIMONAKOFYE YEBELE  
05-200917-085055_bem_a40_elicit_75  ALA UMUSHAFYE UWANDI LELO EWINGEBA KOME SEMBE MU MUTWE NO KUFWA IYOO ALENI BANTU BANDI NAINE NKOMENI NSHAFWE 
05-200917-085055_bem_a40_elicit_76  ABANTU BEBELE  ALA IYOO MWE MFUMU CAPESHA NA MANO LEKENI LEKENI  
05-200917-085055_bem_a40_elicit_77  ABANTU BEBELE ALENI LEKENI MUKWAI
05-200917-085055_bem_a40_elicit_78  IMFUMU YEBELE INKOMENI FYE 
05-200917-085055_bem_a40_elicit_79  ABANTU BATAMPA NAMALUMBO CHIKOLWA CHIKOLWA CHIKOLWA  
05-200917-085055_bem_a40_elicit_80  UMO NOKUBULESEMBE NAMU MUTWE NAKASA AWE NAKUNKUTU PANSHI IMFUMU YANYUNSA NOKULU 
05-200917-085055_bem_a40_elicit_81  ALA FINTU TUMONA KU MENSO FILOCA  
05-200917-085055_bem_a40_elicit_82  CHOMBA NSANGWA ASANGWIKE IMFUMU
