01-200917-202141_bem_d31_elicit_0  ALISHIBA IFIBI PAMO NA MATUNKO AYALI NO KUPONENA ABALUNGAMA KABILI ALAPEKANYE NSHILA YAKUFUMINAMO
01-200917-202141_bem_d31_elicit_18  MU KUSONDWELELA UKWENDAUKA NA MAFUTA UKULASUBA BANTU AMAYANDA IMYOTOKA IFYAKULYA NE FINTU FIMBI TACILEFWAIKWA KABILI CILELANGA UKUFUMA MWISAMBILILO LYA MU CIPINGO CIPYA 
01-200917-202141_bem_d31_elicit_19  NANGULA CINGACITWA NE NTUNGULUSHI MU CILONGANINO ABALEBOMFYA KU BUPILIBULO BUSUMA
01-200917-202141_bem_d31_elicit_20  BUSHE ICILONGANINO CINSHI ICILONGANINO LIBUMBA LYA BANTU ABATETEKELA MULI YESU KRISTU
01-200917-202141_bem_d31_elicit_21  KWALIBA IMISANGO IBILI UMO ICIPINGO CILONDOLWELA PA MULANDU WA CILONGANINO
01-200917-202141_bem_d31_elicit_22  ICILONGANINO CAKWA KRISTU  
01-200917-202141_bem_d31_elicit_23  LIMO LIMO CITWA UMUBILI WAKWA KRISTU NANGU NABWINGA WAKWA KRISTU
01-200917-202141_bem_d31_elicit_24  ULUKUTA  IBUMBA LYA BATETEKELA ABALONGANA KUKUSHINSHIMUNA PAMO NO KUBILA IMBILA NSUMA MU MUSHI UMO BEKALA
01-200917-202141_bem_d31_elicit_25  MU KUTILA MUBILI WAKWA KRISTU CILATWIBUKISHA PA MULANDU WA MUMFWANO UWABA PAKATI KA BANTU BONSE ABATEKELELA
01-200917-202141_bem_d31_elicit_26  KRISTU E MUTWE WA MUBILI
01-200917-202141_bem_d31_elicit_27  TAMWABA UMUNTU UWALINGA UKWITA UMUTWE 
01-200917-202141_bem_d31_elicit_28  CILA LUKUTA MU NCENDE YALUKO LWALIKWATA BACILOLO ABO LESA ABOMFYA KUKUTUNGULULA LELO ABA TABALI UMUTWE WA LUKUTA
01-200917-202141_bem_d31_elicit_29  LUBALI LUMBI ICILONGANINO CAKWA KRISTU CAPASHANIWA KU MUKUNI MU KUTWIBUKISHA UKUTI TULI BAKWA KRISTU UMUCENI MUSUMA UWAPELE UMWEO WAKWE PAMULANDU WA MPANGA
01-200917-202141_bem_d31_elicit_30  YESU ASOSELE PA MULANDU WA KUPANGA MUKUNI UMO UKUFUMA KU MPANGA SHAKWE PAMO NA SHILYA ISHISHALI MWI CINKA
01-200917-202141_bem_d31_elicit_31  ILI LEMBO LILETWIBUKISHO KUTI MU ICILONGANINO CAKWA KRISTU MWABA BA YUDA PAMO NA BENA FYALO UKUBIKWA PAMO NA BENA FYALO UKUBIKWA PAMO NA KACEMA UMO UUBASAKAMANA 
01-200917-202141_bem_d31_elicit_32  KRISTU E KACEMA MUKALAMBA
01-200917-202141_bem_d31_elicit_33  TAKULI MUNCISHANYA WA MUSANGO UULI ONSE PANTU BONSE BALI UMO MULI KRISTU YESU
01-200917-202141_bem_d31_elicit_34  MU KULONDOLOLA ICILONGANINO CAKWA KRISTU PAMO NGA NABWINGA WAKWA KRISTU CILATWIBUKISHA PA MULANDU WA KUTEMWA KWAKWE PALI IFWE PAMO NO BUCUSHI ACULILE PAKUTI TUBE ABAKWE
01-200917-202141_bem_d31_elicit_35  IFWE PAMO NGA NABWINGA WAKWA KRISTU TULINGILE UKUBA ABAMUSHILO KABILI ABAIPELA KULI WENE
01-200917-202141_bem_d31_elicit_36  ISHIWI LYA CILONGANINO LIMO LIMO LILOLA KU NG'ANDA YA MAPEPO 
01-200917-202141_bem_d31_elicit_37  ICI CILATWIBUKISHA UKUTI TULI MU NG'ANDA YAKWA LESA
01-200917-202141_bem_d31_elicit_38  LESA E KAKULA WA IYI NG'ANDA
01-200917-202141_bem_d31_elicit_39  KRISTU E CAKUKULAPO
01-200917-202141_bem_d31_elicit_40  ENA E LIBWE LYA MWEO PANTU TULEKULA
01-200917-202141_bem_d31_elicit_41  YESU ALITASHA PAKALAMBA UBUNTE BWAKWA PETRO PAMULANDU WA CITETEKELO MULI WENE
01-200917-202141_bem_d31_elicit_42  ABANTU BONSE ABATETEKELA MULI KRISTU PAMO NGO MUPUSUSHI BABA MULI IYO NG'ANDA
01-200917-202141_bem_d31_elicit_43  BONSE ABASUMINA MULI YESU KRISTU PAMO NGO MUPUSUSHI KABILI SHIKULU WABO 
01-200917-202141_bem_d31_elicit_44  TAKWABA IMILIMO YAKUBOMBA LELO KUBA FYE UKWINGILA MULI CI CILONGANINO PALYA PENE UMUNTU ASUMINA MULI YESU KRISTU
01-200917-202141_bem_d31_elicit_45  BUSHE CILONGANINO CAKWA KRISTU CATENDEKE LILALI
01-200917-202141_bem_d31_elicit_46  CATENDEKE PA BUSHIKU BWA PENTECOST PANUMA YA NSHIKU AMAKUMI YASANO UKUFUMA APO YESU ATUTUBUKILEKU BAFWA
01-200917-202141_bem_d31_elicit_47  UKUFUMA ILYA NSHITA CICILICILEKULA PE SONDE PONSE 
01-200917-202141_bem_d31_elicit_48  MU NSHITA SHIMO CITWA ICILONGANINO ICISHIMONEKA PAMULANDU WAKUTI TACIMONEKA KABILI TEKUTI UMUNTU ACISONTE 
01-200917-202141_bem_d31_elicit_49  ICI CILONGANINO CATENDEKE MU NSHITA ILYA LESA APONGOLWELE MUPASHI WA MUSHILO PAKATI KA BASAMBI NO KUBABATISHA KUKUBA UMUBILI WAKWA KRISTU
