01-200922-003122_bem_d31_elicit_0  BAKABELENGA BALEKABILA UKULENGA BAFWAISHA UKWISHIBA IFILI MWILYASHI UKUPITILA MUFYO BAMONA
01-200922-003122_bem_d31_elicit_23  ALEFWAYA UKUBOMFYA MOTOKA LELO TAISHIBE UKUTI BAKABOLALA BALIBILE MOTOKA YAKWE MULI BULYA BWINE BUSHIKU
01-200922-003122_bem_d31_elicit_24  ALI UWAKOLWA ILINTU ABWELELE KU NGANDA ICAKUTI TAUMFWILE NE NSHITA UMUKASHI APUNDILE MU MA ZERO THREE HOURS ILYO BAKABOLALA BALEIBA MOTOKA 
01-200922-003122_bem_d31_elicit_25  MUKE ASANGILE CIBI NACISUKA KABILI MOTOKA TAPALI 
01-200922-003122_bem_d31_elicit_26  AFILILWE ICAKUCITA 
01-200922-003122_bem_d31_elicit_27  ELYO AIBUKISHE UKUTI KWALI UMUBOMFI WAKWA LESA PACITENTE PAMWAKWE
01-200922-003122_bem_d31_elicit_28  AILEKONKOSESHA UYU SHIMAPEPO NELYO CALI EMUKU WANTANSHI UKUMUTANDALILA 
01-200922-003122_bem_d31_elicit_29  SHIMAPEPO AISWILE CIBI NO KWIPUSHA MUKE ICO ALEFWAYA 
01-200922-003122_bem_d31_elicit_30  MUKE ALONDOLOLWELE IFYACITIKE ELYO ALOMBELE UKUTI SHIMAPEPO AMWAFWE MUKUTWALA UMUKASHI WAKWE KU CIPATALA 
01-200922-003122_bem_d31_elicit_31  EICO BONSE BABILI BAILE KU NGANDA YAKWA MUKE 
01-200922-003122_bem_d31_elicit_32  BASANGILE MUKA MUKE NALALA TONDOLO
01-200922-003122_bem_d31_elicit_33  BUSHE KUTI MWACITA SHANI NGA CAKUTI CALI NIMWE MWASANGA BENA MWENU NABASANSWA KU FIPONDO KABILI BALI MUPEPI NE MFWA 
01-200922-003122_bem_d31_elicit_34  AWE MUKE CALIMUBIPILE KABILI AMWENE SONDE UKUCEPA NO BWIKALO UKUBIPA ICO TAKWETE UWAKUMWAFWA
01-200922-003122_bem_d31_elicit_35  UMUTI UNTU MUKE ALEKABILA PA MUKASHI WAKWE TAWALI KU CIPATALA LELO WALI KU MUNTU UWACILA IMITI YA KU CIPATALA 
01-200922-003122_bem_d31_elicit_36  SHIMAPEPO AEBELE MUKE UKUFUKAMA PAKUTI BENE BONSE BABILI BALOMBE KABUMBA UWAPULAMO UKUCITO MULIMO WAKWE 
01-200922-003122_bem_d31_elicit_37  APO TAPALAPITA BAMINETI AMAKUMI YATATU UMUKASHI WAKWA MUKE ALIPUPUTWIKE NO KUTENDEKA UKUSAKANYA 
01-200922-003122_bem_d31_elicit_38  LELO MUKE ALIFILILWO KUSUMINA FINTU ALEMONA 
01-200922-003122_bem_d31_elicit_39  ELYO SHIMAPEPO ATWELE MUKE PAMO NO MUKASHI WAKWE KU CIPATALA UKUNTU BAILEPELA MULWELE UMUTI NO KUBALEKA BABWELELE KUNGANDA ILINTU BWACELE
01-200922-003122_bem_d31_elicit_40  IMIKALILE YAKWE MUKE YATENDEKE UKULONDOLOKA
01-200922-003122_bem_d31_elicit_41  EICO ASALILEPO KUYA NA SHIMAPEPO KUKULONGANA PABUSHIKU BWA MULUNGU UBWAKONKELEPO 
01-200922-003122_bem_d31_elicit_42  PALI UBUBUSHIKU UMUTWE WE SAMBILILO WALI PAKATI KA MAFYA KABILI KABILA WA MBILA NSUMA ALEKONKOMESHO KUTI YESU ESHINGANGA UWABELAPO IFWE BONSE 
01-200922-003122_bem_d31_elicit_43  ABELENGELE MU MALUMBO THIRTY FOUR VERSE EIGHTEEN YEHOBA ABA MUPEPI NA BAPUTUKE MISANA KABILI ABAFUNSHIKE MITIMA ALABAPUSUSHA 
01-200922-003122_bem_d31_elicit_44  NGA CAKUTI WALIFUNSHIKO MUTIMA KABILI ULI MU MIKALILE YAYAFYA ITA FYE PALI SHIKULU NAO AKAKWAFWA NELYO UBWAFYA BOBE BUKULE SHANI 
01-200922-003122_bem_d31_elicit_45  UYU LESA UWALESOSA MU NSHITA SHAKALE ALASOSA NA LELO LINE UWAISHILE ALESA NA LELO LINE 
01-200922-003122_bem_d31_elicit_46  IFYO FINE AISHILE PANO ISONDE EFYO ENGESA NA MU BWAFYA BOBE 
01-200922-003122_bem_d31_elicit_47  ENA ESA MUKUFIKILISHE FYO IWE WAFILWA
01-200922-003122_bem_d31_elicit_48  IFI EFYALI UKUPILIBUKA KWAKWA MUKE 
01-200922-003122_bem_d31_elicit_49  AILWIKE UKUTI INCITO IISUMA UKWIKALA BWINO UKUKWATA ING'ANDA IIKALAMBA PAMO NO MUKASHI UWA MUNYINU TAFYABA E BUCINGO BWA MIKALILE YA PE NA PE 
