01-180101-060018_bem_d31_elicit_0  UBUSEKO UKUKWELELA KWA CISHINKA UKWAPWILILIKA KULETO BUSEKO NE NSANSA
01-180101-060018_bem_d31_elicit_18  UBWELELO KUTI BWALENGA UMUNTU UKUPILIBUKA UKUFUMA KU MIBELE IIBI
01-180101-060018_bem_d31_elicit_19  UKUKWATA UMUTIMA WAKWELELA TACIPELELA FYE PAKUSANGAMO UBUSUMA 
01-180101-060018_bem_d31_elicit_20  LELO CALOLA MU KUPASHANYA UKWANGWA UKWALI MULI KRISTU NO BUNTU KWAKWA YESU UWALI CIBUSA WA BABEMBU
01-180101-060018_bem_d31_elicit_21  ECALENGA ABENA KRISTU PAMO NE NKUTA BALINGILE UKUSAMBILILA UKUKWATA UMUTIMA WA KWELELA 
01-180101-060018_bem_d31_elicit_22  IYI ENSHILA YEKA IINGALENGA ABENA KRISTU NELYO INKUTA UKUCETEKELA UKWELELWA IMEMBU SHABO 
01-180101-060018_bem_d31_elicit_23  TULEIBUKISHA UKUTI APASHILI UBWELELO AMAPEPO TEKUTI YAFIKE KU MULU
01-180101-060018_bem_d31_elicit_24  NAKUBA NI BALYA ABAIMONA UKWISHIBA EBALINGILE UKWAFWA ABASHAISHIBA
01-180101-060018_bem_d31_elicit_25  UKUPEKANYA PROGRAMME MU CILONGANINO
01-180101-060018_bem_d31_elicit_26  MULI NATULEYA NUMBER ZERO TWO SLASH TWO THOUSAND AND NINE PAGE SEVEN PESAMBA MWALI ILYASHI LIMO ILYALELANDA PA MULANDU WAKUPEKANYA KWA PROGRAMME MU FILONGANINO
01-180101-060018_bem_d31_elicit_27  PROGRAMME MUSUMA UWAWAMA NI PROGRAMME WATANTIKWA AMASHINA YA BABOMFI PAMOPENE NE MITWE YA MASAMBILILO NANGU AMASHIMIKO ELYO NA MALEMBO YANTU YALI NOKUBOMFIWA
01-180101-060018_bem_d31_elicit_28  PROGRAMME YALIWAMA PANTU ILAFWILISHA KULI ULYA ALETUNGULULA PAMO NGA CHAIRMAN NANGU SPEAKER 
01-180101-060018_bem_d31_elicit_29  ELYO KABILI CILAFWILISHA NA KU BENI ABALEISA UKWISHIBA BWINO UBUTANTIKO IFYO BULI MU KULONGANA
01-180101-060018_bem_d31_elicit_30  FIMBI IFILONGANINO FILABIKA NEFIPAMPA NOTICE BOARD APO BONSE BAFWILE UKUMONA PROGRAMME YA CHURCH IFYO UBUTANTIKO BULI
01-180101-060018_bem_d31_elicit_31  TULI NOKUTWALILILA UKULAMILOMBELAKO
01-180101-060018_bem_d31_elicit_32  KULI BA EDITOR
01-180101-060018_bem_d31_elicit_33  ICANTANSHI NDEMUPOSHA MWISHINA LYA MFUMU YESU YESU KRISTU KALUBULA WESU 
01-180101-060018_bem_d31_elicit_34  POSHENI AKABUNGWE KENU KONSE AKEMININAKO MU KULEMBA NO KUPEKANYA MAGAZINE UWITWA NATULEYA 
01-180101-060018_bem_d31_elicit_35  NAPOSHA BA OBED MWAPE LEVY CHIBU FRANK KALOMBE MARCO VEDDER GABRIEL KABELA ELYO NA BONSE ABO NASHAKO 
01-180101-060018_bem_d31_elicit_36  TULI NOKUTWALILILA UKULAMILOMBELAKO KULI KABUMBA MUKULU PAKUTI UMULIMO WAKUPEKANYA IYI MAGAZINE YA NATULEYA ITWALILILE UKWABULA UKUFILWA
01-180101-060018_bem_d31_elicit_37  ABANTU BAMBI KUTI BAMONA UKUTI IYI MAGAZINE TAIWEME NI PAMULANDU WAKUTI TABABELENGA ICIPINGO CAKWA LESA MUKULU 
01-180101-060018_bem_d31_elicit_38  NOKUMFWA IFYO CALANDA PAMULANDU WA KUSABANKANYA ICEBO CAKWA LESA MUKUBILA IMBILA NSUMA ELYO NA MUKULEMBA AMABUKU AYALI NGELI ILYA NATULEYA 
01-180101-060018_bem_d31_elicit_39  MATTHEW TWENTY EIGHT EIGHTEEN TO TWENTY UMWINE YESU KRISTU EWAKONKOMESHE PAMULANDU WAKUBILA ICEBO KU BASAMBI BAKWE
01-180101-060018_bem_d31_elicit_40  ELYO ILI BUKU LYA NATULEYA TE BUKU LYA MAPOLITICS AWE LI BUKU LYAKUTWAFWA MU BWINA KRISTU BWESU PAMO PENE NE FILONGANINO IFILI MUPEPI NEFILI UKUTALI
01-180101-060018_bem_d31_elicit_41  ABANTU ABENGI PAMO PENE NA BENA KRISTU BAMO BATEMWA UKUPOSA IMPIYA ISHINGI MUKUSHITA AMAPEPALA YE LYASHI LYA CALO PAMO NABA MAGAZINE BA CALO UMUSHABA IFYA KWAFWA NANGU UBUPUSUSHO 
01-180101-060018_bem_d31_elicit_42  KULI BONSE MUKWAI NATULESHITA MAGAZINE YA NATULEYA NOKUBELENGAMO ELYO NOKWAFWANA MUMASUKO AYEPUSHIWA 
01-180101-060018_bem_d31_elicit_43  MULI ICI EKUTUNGILILA BAMUNYINEFWE ELYO NE FILONGANINO FYESU TEKWIKALILAFYE UKUSUSHA UMO SHACELA AWE
01-180101-060018_bem_d31_elicit_44  BA EDITOR LEMBENI KALATA UYU MULI MAGAZINE IKAKONKAPO
01-180101-060018_bem_d31_elicit_45  MWINENUKA MUKUCITA ICA WAMA
01-180101-060018_bem_d31_elicit_46  LESA AMUPAALE
01-180101-060018_bem_d31_elicit_47  NANGULA UKUTENDEKA KWA FILONGANINO FYA CHRISTIAN BRETHREN MU ZAMBIA KULI NE MYAKA UKUCILA NA PA MWANDA UMO 
01-180101-060018_bem_d31_elicit_48  CABULANDA UKUTI KUNUMA KWALIFYE INTUNGULUSHI SHESU SHINONO SHAISHIBE BWINO BWINO UBUKANKALA BWAKUBOMBA IMILIMO YA MISEPELA 
01-180101-060018_bem_d31_elicit_49  ILELO FILEYALUKA
01-180101-060018_bem_d31_elicit_50  IMISEPELA IYINGI MU NCENDE ISHALEKANALEKANA NAYIKWATILA UTUBUNGWE TWAIKO 
01-180101-060018_bem_d31_elicit_51  LIMO LIMO ILAKUMANA NE MISEPELA IMBI MUKUKOSELESHANYA NOKUSAMBILILA UKUFUMA MU CEBO CAKWA LESA 
