12-201007-181124_bem_526_elicit_0  UMUNANDI APOLA UBWINGA BWAKWE
12-201007-181124_bem_526_elicit_15  CILYA IMFUMU YABWELELAMO AWE TWAYA NA KU KUFUNDISHA
12-201007-181124_bem_526_elicit_16  NAYAMBA UKUSHIMIKILA UMUNANDI IFYO AKO KAKASHANA KAILETAPA AMENSHI KABOMBESHE NEFYO KALI NO BULANDA PA BULWELE BWAKWE 
12-201007-181124_bem_526_elicit_17  NAMONA UMUNANDI UMUTIMA WACINJA AKATEMWA NGANSHI ATI KALINGA UKUKOPA 
12-201007-181124_bem_526_elicit_18  ASUKA AKEPUSHA ATI BUSHE TAUFWAYA KUUPWA 
12-201007-181124_bem_526_elicit_19  NAKO AKATI NDAFWAYA MUKWAI 
12-201007-181124_bem_526_elicit_20  CILYA TWAPWA FYE ISUKULU NAMONA BAYA NA MU SANDA NA KAKASHANA KENE AKO BALALANDA NA INE ICO NAISHIBE ILYASHI 
12-201007-181124_bem_526_elicit_21  NAFUMAPO NAYANDEYANGALA KUMBI PAKUTI BELACITA NSONI PA KUMFWANA ABENE
12-201007-181124_bem_526_elicit_22  UKO NAILE NASANGA ABANTU BALETUMYA UKUKOBOLA AMASAKA AWE NA INE NALABAFWAKO BWANGUBWANGU TWAPWA TWAYA NA KU MUSHI
12-201007-181124_bem_526_elicit_23  AWE BATUBILA NOMBA II NSHITA YENA TATWAILEKO IYO BATULETELAKO FYE MU ITEPE TWALANWA 
12-201007-181124_bem_526_elicit_24  NAIPUSHA UMUNANDI NATI BUSHE MULANDILE SHANI NO MUKASHANA 
12-201007-181124_bem_526_elicit_25  NAUMFWA ATI FYE MUNE NDERUPA NE NSALAMU NDETWALA LELO LINE 
12-201007-181124_bem_526_elicit_26  NA CINE NAMONA UMUNANDI ACINCILA SANA 
12-201007-181124_bem_526_elicit_27  CILYA TWAPWA FYE UKUNWA UBWALWA ICUNGULO AITA NO MUNTU UKUTI AMUTWALILE INSALAMU KU BAFYASHI BA MUKASHANA 
12-201007-181124_bem_526_elicit_28  AWE ULYA MUNTU UKUBWELELA KULI IFWE ASOSA FYE ATI BASUMINA 
12-201007-181124_bem_526_elicit_29  AWE INE NALAMUSEKA NATI BUSHE NGA ABAPATILI BAISA IWE UKASHALA KUNO MWA NAUMFWA ASUMINA ATI CE NKASHALA 
12-201007-181124_bem_526_elicit_30  NACO NGA BAFWAYA UKUTI NKAYE KANO NKASENDE NO MUKASHI WANDI
12-201007-181124_bem_526_elicit_31  ICO KU CALO KULYA TABAISHIBA BWINGA BAMUPINGWILE FYE UKUTWALA INDALAMA AMAKUMI YANE EPELA 
12-201007-181124_bem_526_elicit_32  NOMBA ICO APO TWAILLE TATWAFOLELE NANGU MWESHI UMO NAO ABALAYA FYE UKUTI NKAMUPELA 
12-201007-181124_bem_526_elicit_33  ICO NABO BESHIBE UKUTI NI KAFUNDISHA AWE BASUMINA UKUBOFYA ICUNGULO NAMONA UMUNANDI AKUKA NA MU SANDA TWALESENDAMA NANKWE 
12-201007-181124_bem_526_elicit_34  AYA KU KAYANDA KAMBI NGA FILYA EMO BALASENDAMA NO MUKASHI WAKWE 
12-201007-181124_bem_526_elicit_35  NOMBA IFWE TWASHALA BABILI NA KUKI MULI CILYA CIPOMPA CESU UMWATALALA NA TONDOLO
12-201007-181124_bem_526_elicit_36   AWE NOMBA MUKWAI KUTI UMUNANDI ALEFUMA FYE MU SANDA IYAKABA KUTI LIBILILIBILI TWAMONA ICIPE CA BWALI CAFIKA UKUFUMA KWA BATICA 
12-201007-181124_bem_526_elicit_37  NOMBA IMINAILE E ISHALENSEKESHA KUTI WATI TABABA NA MINWE 
12-201007-181124_bem_526_elicit_38  UMUNANDI WENA ICO AUPA ATENDEKA NO KULIMA KWA BANAFYALA NOMBA ALEKA NO KULUMBULA KUMWABO ALATILA FYE NKAYAFOLE IMPIYA NKABWELELA KUNO KWINE 
12-201007-181124_bem_526_elicit_39  ICO ABAKASHI BAKWE BAKULILE KALE AWE KUTI PA MYESHI IBILI NE FUMO LYAMONEKA
12-201007-181124_bem_526_elicit_40  NOMBA UMUNANDI NGA NAMWIPUSHA NATI BUSHE UKAYA SHANI KUMWENU NA BAKASHI
12-201007-181124_bem_526_elicit_41  KUTI ALUBA NE CA KUNGASUKA
12-201007-181124_bem_526_elicit_42  NECO BAWISHIFYALA BALIFWILE PASHELE FYE BANAFYALA BEKA TE PA BWAFYA 
