03-201002-051828_bem_798_elicit_0  BATILA SUMBU LYANDI LAALA TUMONE IMILILE YABAKAYA
03-201002-051828_bem_798_elicit_32  NGOKASAMBILISHA ABANA BOBE ATEMWA BAKABA ABANTU YAWE YAWE
03-201002-051828_bem_798_elicit_33  NGAMULALYA BWINO PAMALIPILO MUPOKA
03-201002-051828_bem_798_elicit_34  KUFYO CIKABA KULI MWEBABOMFI NGA MWAKOTA
03-201002-051828_bem_798_elicit_35  NEFYO MUKAFWA NEEFYO MUKASHIIKWA
03-201002-051828_bem_798_elicit_36  IYABULUMA TAILYA
03-201002-051828_bem_798_elicit_37  APO ABASUNGU NABATULANGA AMAANO YABI IFWE TUFWILE TWAFUNDA ABANA BESU AMAANO YASUMA
03-201002-051828_bem_798_elicit_38  MU LONDON ABANAKASHI ABACENDE BAALI EIGHTEEN THOUSANDMU FRANCE FIFTEEN THOUSAND UMWAKA WAFUMINEKO BAALI SIXTY THOUSAND
03-201002-051828_bem_798_elicit_39  ULWAMBO LUPEMBA CIBINDA
03-201002-051828_bem_798_elicit_40  UMUSUNGU NALEBOMBAKO NOMUNANKWE BATENDEKA UKWAMBA FWEBATIFI BEENA BALETI NALIMO NSHAISHIBA ICISUNGU TABAISHIBE ATI NALEEYA KU NIGHT SUKULU
03-201002-051828_bem_798_elicit_41  BALETI ABEENA AFRICA TABAFUNNDWA
03-201002-051828_bem_798_elicit_42  CASANGWA NOKUTILA TABATASHA IYOO NOWAIMBILE UKUTILA TULEBOMBA TULEBACULILA BAMWANSAKABINGA ALILUNGIKE SAANA
03-201002-051828_bem_798_elicit_43  NECIBEMBA CITILA IFIBALALA FITULIKILA KUMO NOKUTIILAICAALO NIMATAKO MANGALA WILA
03-201002-051828_bem_798_elicit_44  AKAPATULULA
03-201002-051828_bem_798_elicit_45  NDONA ANTUMA AWE BANKANKAMBA APO NAYA ABATI MUNO TAMWINGILA BATIFI
03-201002-051828_bem_798_elicit_46  ICAMPUSWISHE CIPEPALA UYU NDONA AMPELE
03-201002-051828_bem_798_elicit_47  AKAPATULULA KAISHILE PAMULANDU WA MWENSO  MUKUITEMWA PAKUTI TWILYA IFYO UMUSUNGU ALYA
03-201002-051828_bem_798_elicit_48  NAKONKA KU AIRPORT MUKUKONKELA UMUNABO JIM UKUFUMA KU SALISBURY
03-201002-051828_bem_798_elicit_49  NAKUMANYA DR WAKU AMERICA UMWINA UGANDA  KAMPALA DR ED LEEJONES ALEEBOMBA KU NEW YORK HOSPITAL
