01-200917-234543_bem_d31_elicit_0  UBUBOMFI BWAKWA YESU BWATENDEKA ILINTU ALI NE MYAKA NALIMO AMAKUMI YATATU
01-200917-234543_bem_d31_elicit_26  ABATUMWA BALE SHIPA PAMO NO KUKOSA MUKUSHIMIKE MBILA NSUMA PAMULANDU WAKUBAPO KWA MUPASHI WA MUSHILO 
01-200917-234543_bem_d31_elicit_27  ELYO NAIFWE BENE TWINGABOMBA NGA CAKUTI MUPASHI WA MUSHILO ALI MU MYEO YESU 
01-200917-234543_bem_d31_elicit_28  TATULINGILE UKUSHINTILILA PA BUKONSE BWESU NELYO FINTU TWAISHIBA NELYO AMASAMBILILO NELYO IFYO TWAISHIBE CEBO NELYO AMAKA YA NDALAMA PANTU TAFYAFWA
01-200917-234543_bem_d31_elicit_29  LELO LESA MUPASHI WA MUSHILO AKATUPELA UBUCINGO PAMO NE USHANSHISHO ILINTI TULI MU BUBOMFI
01-200917-234543_bem_d31_elicit_30  ISHIWI LYAFUMINE KUMULU LILEIMININAKO UKUSUMINISHA PAMO NO KUBEKWA KUNTU LESA TATA AKWATA MU MWANA WAKWE
01-200917-234543_bem_d31_elicit_31  MU MILIMO YONSE INTU TUBOMBA CIKANKALA UKWISHIBO KUTI TULECITO BUFWAYO BWAKWA TATA UWA KUMULU 
01-200917-234543_bem_d31_elicit_32  NELYO TASOSA NE SHIWI ILINGOFWIKA PAMO NGA FINTU CALI ILYA NSHITA KULABE NSHILA LESA ATWEBELAMO KUTI TULI MUBWITE BWAKWE 
01-200917-234543_bem_d31_elicit_33  INSHILA IMO ALATULENGO KUBA BAPAMFIWA KU MUTIMA NA MU MATONTONKANYO 
01-200917-234543_bem_d31_elicit_34  KULABA UKUKWATA ICIMONWA CA MILIMO YA KUNSHIKU SHA KUNTANSHI PAMO NE NKUMBU KU MUTIMA 
01-200917-234543_bem_d31_elicit_35  INTUNGULUSHI SHESU MU BWINA KRISTU NASHO SHILAFWILISHA PAKUSOKOLOLO BWITE BWAKWA LESA
01-200917-234543_bem_d31_elicit_36  MARKO ALONDOLOLA IFYO INSHITA YAKWESHA YALI PAKUTULANGA MUBUBOMFI MWALIBE FINTU IFYAKUTONTONKANYAPO
01-200917-234543_bem_d31_elicit_37  TATULINGILE UKUTONTONKANYA UKUTI TUKALASANGALALA NSHITA SHONSE PAKUBOMBA IMILIMO LESA AKALATUBIKAMO
01-200917-234543_bem_d31_elicit_38  KUKALABA NE NSHITA SHA FYAKWESHA PAMO NA MATUNKO
01-200917-234543_bem_d31_elicit_39  YESU ATENDEKE UKUSHIMIKILA MU GALILE 
01-200917-234543_bem_d31_elicit_40  PANUMA YOHANE NABIKWA MU CIFUNGO 
01-200917-234543_bem_d31_elicit_41  KUTI TWAMONO KUTI NELYO ABABOMFI BAKWA KRISTU BENGALEKA UKUBOMBA KUKUPATIKISHIWA NA BANTU UKUBILA KWA MBILA NSUMA TEKUTI KWIMININE IYO 
01-200917-234543_bem_d31_elicit_42  LILYA LINE UMUBOMFI UMO ALELEKA UKUBOMBA KULEBA BAMBI ABALETENDEKO KUBOMBA LIMO MU MAKA AYACILA UWABALILEPO
01-200917-234543_bem_d31_elicit_43  IFI EFYO TWAMONA APA YESU ATENDEKO BUBOMFI UBUKALAMBA UKUCILA BUBOMFI BWAKWA YOHANE KABATISHA UWALI NOMBA MU CIFUNGO
01-200917-234543_bem_d31_elicit_44  KABILI TWAMONO KUTI YESU AKWATE BUMBA ILYO ASAMBILISHE MILIMO NA MUKUYA KWANSHITA ALIBAPELE UBUBOMFI BWAKWE
01-200917-234543_bem_d31_elicit_45  CISUMA KULI IFWE UKUBA ABAIBUKILA KUTILA UBUBOMFI LESA ATUPELA TABWABA UBWAKWA CILAMUNTU LELO KUBOMBELA PAMO NA BABWANANYINA 
01-200917-234543_bem_d31_elicit_46  EICO NATUSAMBILISHEKO ABANTU BAMBI ABENGATWALILILA NGA CAKUTI TATULIPO
01-200917-234543_bem_d31_elicit_47  KWALIBA INSOSELO IITILA PAFWA BANTU PASHALA BANTU
01-200917-234543_bem_d31_elicit_48  UMUSANGO ABASAMBI BANTANSHI BABOMBELEMO ULETULANGO KUPAMFIWA PAMO NE FINTU IFYABA MU BUSAMBI 
01-200917-234543_bem_d31_elicit_49  UKWABULO KUWAYAWAYA BASHILE NCITO SHABO NE NDUPWA NE FIBUSA PAMULANDU WAKUKONKA YESU
